### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log_file/Lenovo-Yoga-530-newBatt-Fedora_idle_-_1.txt
# minimum_soc	:	30
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
00:00:00	 99.56%	10:08:16
00:00:10	 99.54%	10:19:16
00:00:20	 99.53%	10:33:01
00:00:30	 99.51%	10:40:08
00:00:40	 99.48%	10:24:20
00:00:50	 99.45%	10:54:43
00:01:00	 99.43%	11:25:38
00:01:10	 99.40%	11:59:26
00:01:20	 99.40%	12:24:30
00:01:30	 99.37%	12:49:23
00:01:40	 99.35%	13:05:27
00:01:50	 99.34%	13:24:12
00:02:00	 99.31%	13:44:07
00:02:10	 99.31%	13:58:09
00:02:20	 99.29%	14:02:22
00:02:30	 99.28%	14:02:11
00:02:40	 99.23%	14:01:50
00:02:50	 99.23%	14:02:20
00:03:00	 99.21%	14:01:40
00:03:10	 99.20%	14:01:29
00:03:20	 99.18%	14:02:32
00:03:30	 99.15%	14:01:08
00:03:40	 99.15%	14:01:23
00:03:50	 99.14%	14:01:42
00:04:00	 99.12%	14:01:32
00:04:10	 99.90%	14:01:06
00:04:20	 99.70%	14:01:25
00:04:30	 99.70%	14:01:11
00:04:40	 99.60%	14:01:15
00:04:50	 99.40%	14:01:34
00:05:00	 99.10%	14:00:39
00:05:10	 98.98%	14:00:43
00:05:20	 98.98%	14:01:42
00:05:30	 98.95%	14:00:23
00:05:40	 98.93%	14:00:12
00:05:50	 98.90%	14:00:46
00:06:00	 98.90%	14:01:15
00:06:10	 98.89%	14:00:20
00:06:20	 98.87%	14:00:10
00:06:30	 98.84%	14:00:29
00:06:40	 98.82%	14:00:33
00:06:50	 98.82%	14:00:33
00:07:00	 98.81%	14:00:08
00:07:10	 98.79%	14:00:12
00:07:20	 98.76%	14:00:02
00:07:30	 98.76%	14:00:02
00:07:40	 98.75%	13:59:51
00:07:50	 98.73%	13:59:55
00:08:00	 98.70%	14:00:00
00:08:10	 98.68%	13:59:34
00:08:20	 98.67%	13:59:53
00:08:30	 98.65%	13:59:13
00:08:40	 98.62%	14:00:02
00:08:50	 98.59%	13:59:51
00:09:00	 98.59%	13:59:51
00:09:10	 98.57%	13:59:41
00:09:20	 98.56%	13:59:15
00:09:30	 98.54%	13:58:50
00:09:40	 98.51%	13:59:39
00:09:50	 98.51%	13:59:24
00:10:00	 98.50%	13:59:13
00:10:10	 98.48%	13:58:48
00:10:20	 98.45%	13:59:07
00:10:30	 98.43%	13:58:27
00:10:40	 98.43%	13:59:26
00:10:50	 98.42%	13:58:46
00:11:00	 98.40%	13:58:36
00:11:10	 98.35%	13:58:15
00:11:20	 98.35%	13:58:15
00:11:30	 98.34%	13:59:17
00:11:40	 98.31%	13:58:08
00:11:50	 98.29%	13:57:43
00:12:00	 98.28%	13:58:17
00:12:10	 98.28%	13:57:47
00:12:20	 98.26%	13:57:22
00:12:30	 98.23%	13:57:56
00:12:40	 98.20%	13:57:30
00:12:50	 98.18%	13:57:49
00:13:00	 98.18%	13:57:35
00:13:10	 98.17%	13:57:53
00:13:20	 98.15%	13:58:12
00:13:30	 98.12%	13:57:47
00:13:40	 98.10%	13:56:53
00:13:50	 98.10%	13:57:22
00:14:00	 98.60%	13:57:30
00:14:10	 98.40%	13:56:50
00:14:20	 98.30%	13:56:54
00:14:30	 98.30%	13:56:40
00:14:40	 98.10%	13:56:44
00:14:50	 97.98%	13:57:03
00:15:00	 97.96%	13:56:52
00:15:10	 97.96%	13:56:38
00:15:20	 97.95%	13:57:11
00:15:30	 97.93%	13:56:17
00:15:40	 97.90%	13:56:35
00:15:50	 97.89%	13:55:56
00:16:00	 97.89%	13:57:09
00:16:10	 97.87%	13:56:14
00:16:20	 97.84%	13:55:49
00:16:30	 97.81%	13:55:39
00:16:40	 97.79%	13:55:43
00:16:50	 97.78%	13:55:47
00:17:00	 97.76%	13:56:06
00:17:10	 97.73%	13:55:55
00:17:20	 97.71%	13:55:30
00:17:30	 97.71%	13:55:45
00:17:40	 97.70%	13:55:34
00:17:50	 97.68%	13:55:24
00:18:00	 97.65%	13:55:13
00:18:10	 97.64%	13:54:48
00:18:20	 97.64%	13:54:48
00:18:30	 97.62%	13:54:37
00:18:40	 97.59%	13:54:56
00:18:50	 97.57%	13:55:00
00:19:00	 97.56%	13:55:48
00:19:10	 97.56%	13:54:50
00:19:20	 97.54%	13:54:54
00:19:30	 97.51%	13:54:29
00:19:40	 97.48%	13:54:22
00:19:50	 97.48%	13:54:22
00:20:00	 97.45%	13:54:26
00:20:10	 97.43%	13:53:46
00:20:20	 97.40%	13:54:05
00:20:30	 97.39%	13:53:40
00:20:40	 97.39%	13:53:40
00:20:50	 97.37%	13:53:44
00:21:00	 97.34%	13:54:47
00:21:10	 97.32%	13:54:07
00:21:20	 97.31%	13:53:12
00:21:30	 97.31%	13:53:12
00:21:40	 97.29%	13:53:46
00:21:50	 97.26%	13:53:21
00:22:00	 97.25%	13:53:25
00:22:10	 97.23%	13:53:00
00:22:20	 97.20%	13:54:02
00:22:30	 97.18%	13:52:38
00:22:40	 97.17%	13:52:43
00:22:50	 97.17%	13:52:57
00:23:00	 97.15%	13:52:47
00:23:10	 97.12%	13:52:36
00:23:20	 97.10%	13:52:26
00:23:30	 97.90%	13:52:15
00:23:40	 97.90%	13:52:15
00:23:50	 97.60%	13:52:04
00:24:00	 97.40%	13:51:54
00:24:10	 97.10%	13:51:58
00:24:20	 97.00%	13:51:47
00:24:30	 96.98%	13:51:22
00:24:40	 96.95%	13:51:26
00:24:50	 96.93%	13:51:30
00:25:00	 96.92%	13:51:49
00:25:10	 96.92%	13:51:20
00:25:20	 96.90%	13:51:09
00:25:30	 96.87%	13:50:59
00:25:40	 96.85%	13:50:33
00:25:50	 96.84%	13:50:52
00:26:00	 96.84%	13:51:07
00:26:10	 96.81%	13:51:11
00:26:20	 96.79%	13:51:15
00:26:30	 96.76%	13:50:10
00:26:40	 96.76%	13:50:54
00:26:50	 96.73%	13:50:29
00:27:00	 96.71%	13:50:18
00:27:10	 96.70%	13:50:07
00:27:20	 96.67%	13:51:39
00:27:30	 96.67%	13:50:26
00:27:40	 96.65%	13:51:29
00:27:50	 96.62%	13:49:36
00:28:00	 96.60%	13:49:54
00:28:10	 96.59%	13:49:29
00:28:20	 96.59%	13:49:44
00:28:30	 96.56%	13:49:19
00:28:40	 96.53%	13:49:12
00:28:50	 96.51%	13:48:47
00:29:00	 96.51%	13:48:47
00:29:10	 96.48%	13:49:06
00:29:20	 96.46%	13:48:55
00:29:30	 96.45%	13:49:58
00:29:40	 96.43%	13:49:18
00:29:50	 96.43%	13:48:48
00:30:00	 96.40%	13:48:23
00:30:10	 96.39%	13:48:27
00:30:20	 96.37%	13:48:31
00:30:30	 96.37%	13:48:31
00:30:40	 96.34%	13:48:21
00:30:50	 96.32%	13:47:55
00:31:00	 96.28%	13:47:49
00:31:10	 96.28%	13:48:18
00:31:20	 96.26%	13:48:08
00:31:30	 96.23%	13:48:26
00:31:40	 96.21%	13:48:16
00:31:50	 96.20%	13:47:07
00:32:00	 96.20%	13:47:36
00:32:10	 96.18%	13:47:25
00:32:20	 96.15%	13:47:15
00:32:30	 96.14%	13:47:19
00:32:40	 96.12%	13:47:08
00:32:50	 96.90%	13:46:57
00:33:00	 96.70%	13:47:01
00:33:10	 96.60%	13:46:36
00:33:20	 96.40%	13:46:11
00:33:30	 96.40%	13:46:11
00:33:40	 96.10%	13:47:28
00:33:50	 96.00%	13:46:04
00:34:00	 95.98%	13:45:54
00:34:10	 95.95%	13:45:58
00:34:20	 95.95%	13:45:43
00:34:30	 95.93%	13:46:02
00:34:40	 95.92%	13:45:51
00:34:50	 95.87%	13:45:30
00:35:00	 95.87%	13:45:30
00:35:10	 95.84%	13:45:49
00:35:20	 95.82%	13:44:54
00:35:30	 95.81%	13:45:13
00:35:40	 95.79%	13:45:31
00:35:50	 95.79%	13:45:17
00:36:00	 95.76%	13:44:52
00:36:10	 95.75%	13:44:56
00:36:20	 95.73%	13:45:00
00:36:30	 95.70%	13:44:20
00:36:40	 95.70%	13:44:49
00:36:50	 95.68%	13:44:53
00:37:00	 95.67%	13:44:28
00:37:10	 95.62%	13:44:36
00:37:20	 95.62%	13:44:21
00:37:30	 95.60%	13:44:10
00:37:40	 95.59%	13:44:14
00:37:50	 95.56%	13:43:49
00:38:00	 95.56%	13:44:48
00:38:10	 95.54%	13:43:53
00:38:20	 95.53%	13:43:43
00:38:30	 95.50%	13:43:46
00:38:40	 95.48%	13:43:50
00:38:50	 95.48%	13:42:52
00:39:00	 95.45%	13:42:42
00:39:10	 95.43%	13:43:29
00:39:20	 95.42%	13:42:35
00:39:30	 95.40%	13:43:52
00:39:40	 95.37%	13:42:57
00:39:50	 95.35%	13:42:47
00:40:00	 95.34%	13:42:21
00:40:10	 95.31%	13:42:25
00:40:20	 95.31%	13:42:40
00:40:30	 95.29%	13:42:15
00:40:40	 95.28%	13:41:50
00:40:50	 95.26%	13:42:37
00:41:00	 95.23%	13:41:57
00:41:10	 95.23%	13:41:57
00:41:20	 95.20%	13:42:20
00:41:30	 95.18%	13:41:55
00:41:40	 95.15%	13:41:44
00:41:50	 95.15%	13:41:30
00:42:00	 95.14%	13:41:19
00:42:10	 95.10%	13:40:54
00:42:20	 95.90%	13:40:58
00:42:30	 95.60%	13:41:31
00:42:40	 95.60%	13:41:02
00:42:50	 95.40%	13:40:22
00:43:00	 95.30%	13:40:26
00:43:10	 95.10%	13:40:44
00:43:20	 94.98%	13:40:34
00:43:30	 94.96%	13:40:23
00:43:40	 94.95%	13:39:58
00:43:50	 94.93%	13:40:02
00:44:00	 94.90%	13:40:20
00:44:10	 94.90%	13:40:06
00:44:20	 94.89%	13:40:09
00:44:30	 94.87%	13:40:13
00:44:40	 94.84%	13:39:19
00:44:50	 94.82%	13:39:08
00:45:00	 94.82%	13:39:38
00:45:10	 94.81%	13:39:27
00:45:20	 94.76%	13:38:51
00:45:30	 94.76%	13:39:06
00:45:40	 94.75%	13:38:55
00:45:50	 94.71%	13:39:28
00:46:00	 94.68%	13:17:10
00:46:10	 94.68%	13:30:43
00:46:20	 94.65%	13:38:41
00:46:30	 94.64%	13:38:16
00:46:40	 94.62%	13:38:35
00:46:50	 94.59%	13:38:09
00:47:00	 94.59%	13:37:55
00:47:10	 94.57%	13:37:59
00:47:20	 94.56%	13:37:48
00:47:30	 94.54%	13:37:08
00:47:40	 94.51%	13:37:41
00:47:50	 94.50%	13:37:45
00:48:00	 94.48%	13:37:20
00:48:10	 94.45%	13:36:55
00:48:20	 94.43%	13:36:59
00:48:30	 94.43%	13:36:59
00:48:40	 94.42%	13:36:48
00:48:50	 94.40%	13:36:52
00:49:00	 94.37%	13:36:41
00:49:10	 94.35%	13:36:16
00:49:20	 94.35%	13:36:45
00:49:30	 94.32%	13:36:34
00:49:40	 94.31%	13:37:22
00:49:50	 94.26%	13:35:48
00:50:00	 94.26%	13:36:02
00:50:10	 94.25%	13:35:37
00:50:20	 94.23%	13:35:41
00:50:30	 94.20%	13:35:31
00:50:40	 94.18%	13:36:18
00:50:50	 94.18%	13:35:49
00:51:00	 94.17%	13:35:38
00:51:10	 94.15%	13:35:28
00:51:20	 94.12%	13:35:46
00:51:30	 94.10%	13:34:52
00:51:40	 94.90%	13:35:54
00:51:50	 94.60%	13:35:14
00:52:00	 94.40%	13:34:34
00:52:10	 94.30%	13:34:09
00:52:20	 94.30%	13:34:38
00:52:30	 94.10%	13:34:27
00:52:40	 93.98%	13:34:17
00:52:50	 93.96%	13:33:52
00:53:00	 93.96%	13:34:20
00:53:10	 93.93%	13:34:10
00:53:20	 93.92%	13:33:59
00:53:30	 93.90%	13:33:05
00:53:40	 93.87%	13:34:36
00:53:50	 93.85%	13:33:27
00:54:00	 93.84%	13:33:16
00:54:10	 93.81%	13:33:20
00:54:20	 93.79%	13:33:10
00:54:30	 93.79%	13:33:10
00:54:40	 93.78%	13:32:59
00:54:50	 93.76%	13:33:03
00:55:00	 93.73%	13:32:52
00:55:10	 93.71%	13:32:27
00:55:20	 93.71%	13:32:56
00:55:30	 93.68%	13:32:05
00:55:40	 93.65%	13:32:53
00:55:50	 93.64%	13:31:59
00:56:00	 93.64%	13:32:13
00:56:10	 93.62%	13:32:31
00:56:20	 93.59%	13:31:23
00:56:30	 93.57%	13:31:41
00:56:40	 93.56%	13:31:45
00:56:50	 93.56%	13:31:30
00:57:00	 93.53%	13:31:05
00:57:10	 93.51%	13:31:23
00:57:20	 93.46%	13:31:16
00:57:30	 93.46%	13:31:02
00:57:40	 93.45%	13:32:18
00:57:50	 93.43%	13:31:10
00:58:00	 93.40%	13:30:44
00:58:10	 93.39%	13:30:19
00:58:20	 93.39%	13:30:19
00:58:30	 93.37%	13:30:37
00:58:40	 93.34%	13:30:41
00:58:50	 93.32%	13:30:02
00:59:00	 93.31%	13:29:51
00:59:10	 93.31%	13:30:34
00:59:20	 93.26%	13:30:27
00:59:30	 93.25%	13:29:48
00:59:40	 93.23%	13:30:20
00:59:50	 93.23%	13:30:35
01:00:00	 93.20%	13:29:26
01:00:10	 93.18%	13:29:01
01:00:20	 93.17%	13:31:01
01:00:30	 93.17%	13:29:19
01:00:40	 93.14%	13:29:23
01:00:50	 93.12%	13:28:44
01:01:00	 93.90%	13:30:28
01:01:10	 93.70%	13:28:51
01:01:20	 93.60%	13:28:40
01:01:30	 93.40%	13:28:44
01:01:40	 93.10%	13:28:19
01:01:50	 93.00%	13:28:08
01:02:00	 93.00%	13:27:54
01:02:10	 92.98%	13:27:43
01:02:20	 92.95%	13:28:01
01:02:30	 92.93%	13:27:36
01:02:40	 92.92%	13:28:09
01:02:50	 92.92%	13:27:25
01:03:00	 92.87%	13:28:02
01:03:10	 92.85%	13:27:37
01:03:20	 92.84%	13:26:57
01:03:30	 92.84%	13:26:43
01:03:40	 92.81%	13:27:01
01:03:50	 92.79%	13:27:04
01:04:00	 92.78%	13:27:37
01:04:10	 92.75%	13:26:29
01:04:20	 92.75%	13:27:26
01:04:30	 92.73%	13:26:03
01:04:40	 92.70%	13:26:36
01:04:50	 92.68%	13:26:25
01:05:00	 92.67%	13:26:29
01:05:10	 92.65%	13:26:18
01:05:20	 92.62%	13:25:39
01:05:30	 92.60%	13:25:28
01:05:40	 92.59%	13:26:00
01:05:50	 92.59%	13:25:32
01:06:00	 92.56%	13:25:07
01:06:10	 92.54%	13:25:10
01:06:20	 92.53%	13:25:57
01:06:30	 92.51%	13:24:49
01:06:40	 92.51%	13:25:18
01:06:50	 92.46%	13:24:56
01:07:00	 92.45%	13:25:00
01:07:10	 92.43%	13:24:35
01:07:20	 92.43%	13:24:06
01:07:30	 92.40%	13:24:53
01:07:40	 92.39%	13:24:13
01:07:50	 92.35%	13:24:31
01:08:00	 92.35%	13:23:34
01:08:10	 92.34%	13:24:49
01:08:20	 92.31%	13:23:55
01:08:30	 92.29%	13:23:30
01:08:40	 92.28%	13:23:34
01:08:50	 92.26%	13:23:38
01:09:00	 92.23%	13:23:13
01:09:10	 92.21%	13:23:16
01:09:20	 92.20%	13:23:05
01:09:30	 92.20%	13:23:05
01:09:40	 92.18%	13:22:55
01:09:50	 92.15%	13:22:44
01:10:00	 92.14%	13:22:48
01:10:10	 92.12%	13:22:23
01:10:20	 92.12%	13:23:20
01:10:30	 92.90%	13:22:12
01:10:40	 92.60%	13:22:19
01:10:50	 92.40%	13:22:23
01:11:00	 92.40%	13:22:37
01:11:10	 92.10%	13:22:26
01:11:20	 92.00%	13:22:16
01:11:30	 91.96%	13:21:36
01:11:40	 91.95%	13:21:54
01:11:50	 91.95%	13:22:23
01:12:00	 91.93%	13:20:46
01:12:10	 91.90%	13:21:04
01:12:20	 91.89%	13:22:05
01:12:30	 91.87%	13:20:57
01:12:40	 91.84%	13:20:46
01:12:50	 91.82%	13:20:35
01:13:00	 91.81%	13:20:25
01:13:10	 91.79%	13:20:28
01:13:20	 91.79%	13:20:57
01:13:30	 91.76%	13:20:03
01:13:40	 91.75%	13:19:52
01:13:50	 91.73%	13:20:25
01:14:00	 91.70%	13:19:45
01:14:10	 91.68%	13:20:03
01:14:20	 91.67%	13:19:38
01:14:30	 91.65%	13:19:42
01:14:40	 91.62%	13:19:17
01:14:50	 91.62%	13:19:17
01:15:00	 91.60%	13:19:20
01:15:10	 91.57%	13:19:24
01:15:20	 91.56%	13:19:13
01:15:30	 91.56%	13:18:30
01:15:40	 91.54%	13:18:48
01:15:50	 91.51%	13:18:37
01:16:00	 91.48%	13:18:16
01:16:10	 91.48%	13:18:30
01:16:20	 91.45%	13:18:19
01:16:30	 91.43%	13:18:08
01:16:40	 91.42%	13:17:58
01:16:50	 91.40%	13:17:47
01:17:00	 91.40%	13:18:30
01:17:10	 91.37%	13:17:50
01:17:20	 91.35%	13:19:49
01:17:30	 91.34%	13:17:29
01:17:40	 91.31%	13:18:30
01:17:50	 91.29%	13:17:07
01:18:00	 91.28%	13:16:42
01:18:10	 91.26%	13:17:15
01:18:20	 91.23%	13:18:30
01:18:30	 91.23%	13:16:35
01:18:40	 91.21%	13:16:39
01:18:50	 91.18%	13:16:42
01:19:00	 91.17%	13:16:17
01:19:10	 91.15%	13:16:35
01:19:20	 91.15%	13:16:06
01:19:30	 91.12%	13:16:10
01:19:40	 91.90%	13:15:34
01:19:50	 91.60%	13:15:38
01:20:00	 91.60%	13:16:06
01:20:10	 91.40%	13:15:27
01:20:20	 91.30%	13:15:45
01:20:30	 91.10%	13:15:05
01:20:40	 90.98%	13:15:23
01:20:50	 90.98%	13:15:09
01:21:00	 90.96%	13:15:12
01:21:10	 90.93%	13:14:51
01:21:20	 90.90%	13:14:40
01:21:30	 90.90%	13:14:54
01:21:40	 90.89%	13:14:29
01:21:50	 90.87%	13:14:04
01:22:00	 90.84%	13:14:36
01:22:10	 90.82%	13:13:57
01:22:20	 90.82%	13:14:54
01:22:30	 90.79%	13:14:01
01:22:40	 90.78%	13:14:04
01:22:50	 90.76%	13:13:25
01:23:00	 90.73%	13:13:42
01:23:10	 90.71%	13:13:46
01:23:20	 90.70%	13:13:35
01:23:30	 90.68%	13:13:10
01:23:40	 90.68%	13:13:39
01:23:50	 90.65%	13:13:14
01:24:00	 90.64%	13:13:46
01:24:10	 90.62%	13:14:03
01:24:20	 90.59%	13:12:27
01:24:30	 90.59%	13:12:56
01:24:40	 90.57%	13:12:45
01:24:50	 90.54%	13:12:09
01:25:00	 90.51%	13:12:12
01:25:10	 90.51%	13:11:58
01:25:20	 90.50%	13:12:02
01:25:30	 90.48%	13:11:51
01:25:40	 90.45%	13:11:54
01:25:50	 90.43%	13:11:29
01:26:00	 90.43%	13:11:58
01:26:10	 90.40%	13:11:04
01:26:20	 90.39%	13:11:22
01:26:30	 90.37%	13:11:11
01:26:40	 90.34%	13:11:15
01:26:50	 90.32%	13:10:50
01:27:00	 90.31%	13:10:53
01:27:10	 90.29%	13:10:42
01:27:20	 90.26%	13:10:31
01:27:30	 90.26%	13:10:31
01:27:40	 90.25%	13:10:49
01:27:50	 90.23%	13:10:24
01:28:00	 90.20%	13:10:56
01:28:10	 90.18%	13:10:03
01:28:20	 90.17%	13:09:52
01:28:30	 90.15%	13:09:27
01:28:40	 90.12%	13:10:56
01:28:50	 90.10%	13:09:05
01:29:00	 90.10%	13:09:48
01:29:10	 90.90%	13:09:37
01:29:20	 90.60%	13:10:09
01:29:30	 90.40%	13:09:30
01:29:40	 90.40%	13:09:44
01:29:50	 90.10%	13:09:05
01:30:00	 89.98%	13:08:43
01:30:10	 89.95%	13:08:32
01:30:20	 89.95%	13:08:46
01:30:30	 89.93%	13:08:36
01:30:40	 89.92%	13:08:25
01:30:50	 89.90%	13:08:28
01:31:00	 89.87%	13:07:49
01:31:10	 89.87%	13:08:03
01:31:20	 89.85%	13:07:52
01:31:30	 89.84%	13:07:27
01:31:40	 89.79%	13:07:48
01:31:50	 89.79%	13:07:20
01:32:00	 89.78%	13:07:38
01:32:10	 89.76%	13:08:24
01:32:20	 89.73%	13:07:02
01:32:30	 89.71%	13:06:51
01:32:40	 89.71%	13:07:05
01:32:50	 89.70%	13:07:09
01:33:00	 89.68%	13:06:29
01:33:10	 89.65%	13:06:33
01:33:20	 89.62%	13:06:22
01:33:30	 89.60%	13:06:11
01:33:40	 89.59%	13:06:15
01:33:50	 89.56%	13:05:50
01:34:00	 89.54%	13:06:07
01:34:10	 89.54%	13:06:21
01:34:20	 89.53%	13:05:56
01:34:30	 89.51%	13:05:45
01:34:40	 89.48%	13:05:35
01:34:50	 89.46%	13:04:56
01:35:00	 89.46%	13:05:52
01:35:10	 89.43%	13:04:34
01:35:20	 89.40%	13:04:51
01:35:30	 89.39%	13:04:55
01:35:40	 89.39%	13:05:09
01:35:50	 89.37%	13:04:58
01:36:00	 89.34%	13:04:19
01:36:10	 89.32%	13:04:36
01:36:20	 89.31%	13:04:11
01:36:30	 89.31%	13:04:26
01:36:40	 89.29%	13:04:01
01:36:50	 89.26%	13:04:04
01:37:00	 89.23%	13:03:53
01:37:10	 89.21%	13:03:28
01:37:20	 89.20%	13:04:28
01:37:30	 89.18%	13:03:21
01:37:40	 89.15%	13:06:00
01:37:50	 89.15%	13:03:10
01:38:00	 89.14%	13:03:41
01:38:10	 89.12%	13:03:02
01:38:20	 89.90%	13:03:06
01:38:30	 89.70%	13:02:55
01:38:40	 89.70%	13:03:37
01:38:50	 89.40%	13:02:19
01:39:00	 89.10%	13:02:22
01:39:10	 89.00%	13:02:26
01:39:20	 89.00%	13:02:40
01:39:30	 88.98%	13:01:47
01:39:40	 88.95%	13:02:18
01:39:50	 88.93%	13:02:07
01:40:00	 88.92%	13:02:53
01:40:10	 88.92%	13:01:28
01:40:20	 88.87%	13:01:21
01:40:30	 88.84%	13:00:56
01:40:40	 88.82%	13:02:24
