# Welcome to BatterySoCMonitor version 2.1.1!
# sample_rate	:	10
# output_rate	:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log_files/Lenovo-Yoga-530-Fedora_idle_-_2.txt
# minimum_soc	:	30
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	None
# workers	:	None

timeExecuted	bat %	timeRemaining	consumption	time / %
hh:mm:ss		hh:mm:ss	(median)	(median)
---------	-------	---------	-----------	---------

00:00:00	 99.98%	13:01:51	  -1.00% / h	00:00:00?
00:00:10	 99.95%	15:10:50	  7.20% / h	00:08:20
00:00:20	 99.93%	15:12:56	  7.20% / h	00:08:20
00:00:30	 99.90%	15:28:13	 10.80% / h	00:05:33
00:00:40	 99.87%	11:47:16	  9.59% / h	00:06:15
00:00:50	 99.87%	15:07:33	  9.59% / h	00:06:15
00:01:00	 99.85%	12:41:44	  7.20% / h	00:08:20
00:01:10	 99.84%	12:54:56	  7.20% / h	00:08:20
00:01:20	 99.79%	13:06:31	  8.74% / h	00:06:52
00:01:30	 99.79%	13:20:19	  8.74% / h	00:06:52
00:01:40	 99.76%	13:26:08	  7.59% / h	00:07:54
00:01:50	 99.75%	13:35:39	  7.55% / h	00:07:56
00:02:00	 99.73%	13:40:18	  7.53% / h	00:07:58
00:02:10	 99.70%	13:45:57	  7.50% / h	00:08:00
00:02:20	 99.70%	13:49:57	  7.50% / h	00:08:00
00:02:30	 99.67%	13:56:16	  7.46% / h	00:08:03
00:02:40	 99.65%	13:56:35	  7.44% / h	00:08:04
00:02:50	 99.62%	13:57:51	  7.41% / h	00:08:05
00:03:00	 99.62%	13:57:51	  7.41% / h	00:08:05
00:03:10	 99.60%	13:58:10	  7.00% / h	00:08:34
00:03:20	 99.59%	13:57:59	  7.00% / h	00:08:34
00:03:30	 99.56%	13:58:03	  7.10% / h	00:08:33
00:03:40	 99.54%	13:58:08	  7.30% / h	00:08:32
00:03:50	 99.53%	13:57:57	  7.40% / h	00:08:32
00:04:00	 99.51%	13:57:47	  7.40% / h	00:08:31
00:04:10	 99.48%	13:58:05	  7.40% / h	00:08:31
00:04:20	 99.48%	14:00:45	  7.40% / h	00:08:31
00:04:30	 99.45%	14:00:39	  7.50% / h	00:08:30
00:04:40	 99.43%	13:57:34	  7.70% / h	00:08:29
00:04:50	 99.40%	13:58:07	  7.20% / h	00:08:20
00:05:00	 99.40%	13:57:53	  7.20% / h	00:08:20
00:05:10	 99.37%	13:57:42	  6.96% / h	00:08:37
00:05:20	 99.35%	13:57:32	  6.96% / h	00:08:37
00:05:30	 99.34%	13:57:36	  6.96% / h	00:08:36
00:05:40	 99.31%	13:57:26	  6.98% / h	00:08:36
00:05:50	 99.29%	13:57:01	  6.99% / h	00:08:35
00:06:00	 99.28%	13:57:20	  6.99% / h	00:08:35
00:06:10	 99.26%	13:57:09	  7.00% / h	00:08:34
00:06:20	 99.23%	13:56:59	  7.00% / h	00:08:34
00:06:30	 99.23%	13:56:59	  7.00% / h	00:08:34
00:06:40	 99.20%	13:57:07	  7.10% / h	00:08:33
00:06:50	 99.18%	13:57:26	  7.10% / h	00:08:33
00:07:00	 99.15%	13:59:12	  7.10% / h	00:08:33
00:07:10	 99.15%	13:57:44	  7.10% / h	00:08:33
00:07:20	 99.14%	13:56:36	  6.87% / h	00:08:44
00:07:30	 99.12%	13:57:09	  6.87% / h	00:08:44
00:07:40	 99.70%	13:56:48	  7.40% / h	00:08:31
00:07:50	 99.70%	13:58:59	  7.40% / h	00:08:31
00:08:00	 99.60%	13:58:34	  6.88% / h	00:08:42
00:08:10	 99.40%	13:59:22	  6.90% / h	00:08:42
00:08:20	 99.10%	13:58:42	  6.98% / h	00:08:36
00:08:30	 98.98%	13:56:21	  6.98% / h	00:08:35
00:08:40	 98.96%	13:55:56	  6.99% / h	00:08:35
00:08:50	 98.95%	13:55:46	  6.99% / h	00:08:35
00:09:00	 98.93%	13:56:04	  7.00% / h	00:08:35
00:09:10	 98.90%	13:56:08	  7.00% / h	00:08:34
00:09:20	 98.90%	13:56:52	  7.00% / h	00:08:34
00:09:30	 98.89%	13:55:58	  6.87% / h	00:08:43
00:09:40	 98.84%	13:55:37	  7.00% / h	00:08:34
00:09:50	 98.82%	13:55:41	  7.00% / h	00:08:33
00:10:00	 98.82%	13:55:27	  7.00% / h	00:08:33
00:10:10	 98.81%	13:55:31	  6.90% / h	00:08:42
00:10:20	 98.79%	13:55:35	  6.90% / h	00:08:41
00:10:30	 98.76%	13:55:25	  6.91% / h	00:08:41
00:10:40	 98.76%	13:55:10	  6.91% / h	00:08:41
00:10:50	 98.75%	13:55:29	  6.80% / h	00:08:49
00:11:00	 98.70%	13:55:08	  6.92% / h	00:08:40
00:11:10	 98.68%	13:55:26	  6.92% / h	00:08:40
00:11:20	 98.68%	13:55:26	  6.92% / h	00:08:40
00:11:30	 98.67%	13:55:01	  6.83% / h	00:08:47
00:11:40	 98.65%	13:55:05	  6.83% / h	00:08:47
00:11:50	 98.62%	13:54:41	  6.88% / h	00:08:42
00:12:00	 98.59%	13:54:30	  6.90% / h	00:08:42
00:12:10	 98.57%	13:55:03	  6.90% / h	00:08:42
00:12:20	 98.56%	13:54:53	  6.90% / h	00:08:41
00:12:30	 98.54%	13:54:13	  6.91% / h	00:08:41
