### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log_file/Lenovo-Yoga-530-newBatt-Fedora_videoNoSound_-_1.txt
# minimum_soc	:	30
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
00:00:00	 99.95%	06:54:10
00:00:10	 99.92%	06:54:53
00:00:20	 99.87%	06:56:04
00:00:30	 99.79%	06:15:46
00:00:40	 99.76%	06:23:30
00:00:50	 99.70%	06:19:25
00:01:00	 99.67%	08:25:18
00:01:10	 99.62%	07:59:57
00:01:20	 99.59%	07:30:09
00:01:30	 99.54%	07:11:14
00:01:40	 99.48%	06:55:48
00:01:50	 99.45%	06:46:41
00:02:00	 99.40%	06:40:08
00:02:10	 99.34%	06:32:00
00:02:20	 99.31%	06:27:56
00:02:30	 99.26%	06:27:57
00:02:40	 99.23%	06:30:32
00:02:50	 99.18%	06:38:01
00:03:00	 99.15%	06:33:46
00:03:10	 99.90%	06:30:11
00:03:20	 99.60%	06:19:36
00:03:30	 98.98%	06:09:37
00:03:40	 98.95%	06:07:58
00:03:50	 98.90%	06:05:43
00:04:00	 98.84%	06:07:35
00:04:10	 98.82%	06:09:57
00:04:20	 98.76%	06:09:18
00:04:30	 98.73%	06:02:01
00:04:40	 98.68%	06:04:25
00:04:50	 98.65%	06:02:40
00:05:00	 98.59%	06:01:39
00:05:10	 98.54%	06:02:06
00:05:20	 98.50%	06:01:49
00:05:30	 98.45%	06:02:24
00:05:40	 98.42%	06:07:06
00:05:50	 98.35%	06:12:49
00:06:00	 98.34%	06:19:05
00:06:10	 98.28%	06:24:25
00:06:20	 98.26%	06:21:59
00:06:30	 98.18%	06:16:29
00:06:40	 98.15%	06:13:21
00:06:50	 98.10%	06:10:23
00:07:00	 98.60%	06:08:51
00:07:10	 98.30%	06:08:59
00:07:20	 97.96%	06:10:31
00:07:30	 97.93%	06:06:51
00:07:40	 97.89%	06:05:37
00:07:50	 97.84%	06:10:12
00:08:00	 97.79%	06:01:20
00:08:10	 97.73%	05:58:18
00:08:20	 97.70%	05:57:16
00:08:30	 97.64%	05:55:50
00:08:40	 97.62%	05:57:00
00:08:50	 97.56%	06:02:27
00:09:00	 97.51%	06:03:49
00:09:10	 97.48%	06:06:48
00:09:20	 97.43%	06:10:54
00:09:30	 97.39%	06:12:32
00:09:40	 97.32%	06:03:22
00:09:50	 97.31%	06:00:34
00:10:00	 97.25%	06:02:27
00:10:10	 97.20%	05:59:14
00:10:20	 97.17%	06:00:21
00:10:30	 97.12%	06:02:25
00:10:40	 97.90%	06:00:09
00:10:50	 97.10%	05:58:36
00:11:00	 96.98%	05:56:36
00:11:10	 96.92%	05:54:56
00:11:20	 96.87%	05:55:30
00:11:30	 96.84%	05:53:56
00:11:40	 96.79%	05:52:43
00:11:50	 96.76%	05:54:34
00:12:00	 96.70%	05:59:04
00:12:10	 96.67%	06:02:29
00:12:20	 96.60%	06:07:18
00:12:30	 96.59%	06:13:50
00:12:40	 96.53%	06:15:29
00:12:50	 96.48%	06:13:44
00:13:00	 96.43%	06:08:28
00:13:10	 96.40%	06:03:32
00:13:20	 96.37%	06:03:34
00:13:30	 96.31%	06:04:56
00:13:40	 96.28%	06:05:43
00:13:50	 96.21%	06:03:10
00:14:00	 96.18%	06:03:12
00:14:10	 96.14%	06:01:00
00:14:20	 96.70%	05:53:38
00:14:30	 96.40%	05:52:28
00:14:40	 95.98%	05:50:36
00:14:50	 95.95%	05:51:01
00:15:00	 95.89%	05:51:19
00:15:10	 95.84%	05:52:56
00:15:20	 95.81%	05:57:09
00:15:30	 95.76%	06:04:34
00:15:40	 95.73%	06:07:55
00:15:50	 95.68%	06:11:49
00:16:00	 95.62%	06:10:20
00:16:10	 95.59%	06:03:26
00:16:20	 95.54%	06:01:24
00:16:30	 95.50%	06:01:49
00:16:40	 95.45%	06:00:52
00:16:50	 95.40%	06:04:44
00:17:00	 95.37%	06:01:21
00:17:10	 95.31%	05:58:28
00:17:20	 95.28%	05:57:43
00:17:30	 95.23%	05:53:07
00:17:40	 95.20%	05:50:49
00:17:50	 95.14%	05:49:14
00:18:00	 95.60%	05:47:10
00:18:10	 95.30%	05:47:25
00:18:20	 94.98%	05:51:08
00:18:30	 94.95%	05:49:47
00:18:40	 94.90%	05:52:53
00:18:50	 94.87%	05:58:51
00:19:00	 94.82%	06:02:06
00:19:10	 94.79%	06:00:44
00:19:20	 94.75%	05:56:37
00:19:30	 94.68%	05:54:45
00:19:40	 94.64%	05:53:33
00:19:50	 94.59%	05:51:41
00:20:00	 94.54%	05:52:03
00:20:10	 94.51%	05:52:09
00:20:20	 94.45%	05:49:07
00:20:30	 94.42%	05:49:27
00:20:40	 94.35%	05:48:02
00:20:50	 94.31%	05:46:44
00:21:00	 94.26%	05:44:18
00:21:10	 94.20%	05:43:46
00:21:20	 94.17%	05:42:38
00:21:30	 94.12%	05:45:53
00:21:40	 94.90%	05:49:34
00:21:50	 94.40%	05:55:11
00:22:00	 94.10%	05:59:07
00:22:10	 93.96%	06:04:49
00:22:20	 93.92%	06:04:02
00:22:30	 93.87%	06:00:23
00:22:40	 93.84%	05:58:29
00:22:50	 93.79%	05:56:31
00:23:00	 93.71%	05:51:30
00:23:10	 93.70%	05:51:55
00:23:20	 93.64%	05:51:54
00:23:30	 93.59%	05:50:05
00:23:40	 93.56%	05:47:03
00:23:50	 93.48%	05:44:41
00:24:00	 93.46%	05:42:57
00:24:10	 93.40%	05:42:54
00:24:20	 93.37%	05:41:28
00:24:30	 93.31%	05:40:59
00:24:40	 93.26%	05:41:46
00:24:50	 93.23%	05:47:12
00:25:00	 93.18%	05:50:10
00:25:10	 93.14%	05:53:39
00:25:20	 93.90%	05:58:06
00:25:30	 93.60%	05:58:36
00:25:40	 93.00%	05:55:13
00:25:50	 92.98%	05:50:48
00:26:00	 92.92%	05:51:20
00:26:10	 92.87%	05:48:42
00:26:20	 92.84%	05:50:37
00:26:30	 92.78%	05:50:34
00:26:40	 92.73%	05:51:05
00:26:50	 92.67%	05:44:23
00:27:00	 92.65%	05:41:37
00:27:10	 92.59%	05:39:48
00:27:20	 92.54%	05:38:10
00:27:30	 92.51%	05:36:43
00:27:40	 92.45%	05:35:37
00:27:50	 92.40%	05:36:53
00:28:00	 92.35%	05:39:21
00:28:10	 92.31%	05:44:27
00:28:20	 92.28%	05:52:07
00:28:30	 92.21%	05:41:19
00:28:40	 92.18%	05:43:39
00:28:50	 92.14%	05:41:19
00:29:00	 92.90%	05:38:15
00:29:10	 92.40%	05:34:55
00:29:20	 92.00%	05:34:36
00:29:30	 91.95%	05:35:39
00:29:40	 91.90%	05:38:13
00:29:50	 91.84%	05:35:34
00:30:00	 91.79%	05:34:26
00:30:10	 91.75%	05:35:17
00:30:20	 91.70%	05:33:45
00:30:30	 91.67%	05:32:39
00:30:40	 91.62%	05:32:33
00:30:50	 91.56%	05:31:20
00:31:00	 91.51%	05:32:50
00:31:10	 91.48%	05:36:25
00:31:20	 91.43%	05:40:09
00:31:30	 91.40%	05:44:36
00:31:40	 91.35%	05:51:04
00:31:50	 91.31%	05:51:33
00:32:00	 91.26%	05:50:35
00:32:10	 91.21%	05:46:54
00:32:20	 91.17%	05:43:45
00:32:30	 91.12%	05:42:32
00:32:40	 91.60%	05:43:17
00:32:50	 91.30%	05:42:01
00:33:00	 90.98%	05:36:58
00:33:10	 90.95%	05:35:40
00:33:20	 90.89%	05:34:06
00:33:30	 90.82%	05:32:04
00:33:40	 90.78%	05:31:28
00:33:50	 90.73%	05:29:30
00:34:00	 90.70%	05:29:46
00:34:10	 90.65%	05:28:48
00:34:20	 90.59%	05:34:03
00:34:30	 90.57%	05:38:22
00:34:40	 90.51%	05:41:27
00:34:50	 90.50%	05:47:40
00:35:00	 90.43%	05:47:39
00:35:10	 90.39%	05:43:36
00:35:20	 90.34%	05:40:13
00:35:30	 90.29%	05:35:32
00:35:40	 90.25%	05:35:13
00:35:50	 90.18%	05:36:13
00:36:00	 90.17%	05:38:13
00:36:10	 90.10%	05:35:11
00:36:20	 90.60%	05:32:45
00:36:30	 90.10%	05:31:08
00:36:40	 89.95%	05:27:59
00:36:50	 89.92%	05:28:02
00:37:00	 89.87%	05:26:57
00:37:10	 89.81%	05:28:19
00:37:20	 89.78%	05:27:35
00:37:30	 89.73%	05:30:50
00:37:40	 89.70%	05:33:45
00:37:50	 89.62%	05:38:23
00:38:00	 89.60%	05:40:36
00:38:10	 89.54%	05:41:58
00:38:20	 89.51%	05:40:20
00:38:30	 89.46%	05:36:25
00:38:40	 89.40%	05:36:14
00:38:50	 89.37%	05:31:49
00:39:00	 89.31%	05:30:34
00:39:10	 89.29%	05:30:42
00:39:20	 89.23%	05:28:38
00:39:30	 89.18%	05:28:10
00:39:40	 89.14%	05:25:31
00:39:50	 89.70%	05:25:15
00:40:00	 89.40%	05:23:05
00:40:10	 89.00%	05:22:44
00:40:20	 88.93%	05:24:14
00:40:30	 88.90%	05:22:36
00:40:40	 88.84%	05:25:58
00:40:50	 88.81%	05:29:05
00:41:00	 88.75%	05:35:22
00:41:10	 88.73%	05:35:56
00:41:20	 88.67%	05:41:13
00:41:30	 88.62%	05:37:33
00:41:40	 88.59%	05:35:52
00:41:50	 88.54%	05:31:30
00:42:00	 88.48%	05:30:18
00:42:10	 88.43%	05:29:08
00:42:20	 88.40%	05:29:21
00:42:30	 88.35%	05:29:12
00:42:40	 88.29%	05:26:39
00:42:50	 88.26%	05:26:20
00:43:00	 88.20%	05:25:31
00:43:10	 88.15%	05:21:36
00:43:20	 88.12%	05:24:04
00:43:30	 88.60%	05:21:56
00:43:40	 88.30%	05:18:50
00:43:50	 87.96%	05:21:14
00:44:00	 87.93%	05:27:16
00:44:10	 87.87%	05:30:39
00:44:20	 87.84%	05:34:25
00:44:30	 87.79%	05:36:33
00:44:40	 87.76%	05:36:38
00:44:50	 87.70%	05:32:08
00:45:00	 87.65%	05:30:52
00:45:10	 87.62%	05:28:53
00:45:20	 87.56%	05:25:56
00:45:30	 87.51%	05:26:49
00:45:40	 87.48%	05:26:47
00:45:50	 87.42%	05:24:51
00:46:00	 87.37%	05:22:05
00:46:10	 87.31%	05:20:19
00:46:20	 87.29%	05:21:42
00:46:30	 87.23%	05:19:52
00:46:40	 87.18%	05:17:22
00:46:50	 87.15%	05:17:58
00:47:00	 87.90%	05:17:56
00:47:10	 87.40%	05:21:07
00:47:20	 86.98%	05:24:42
00:47:30	 86.96%	05:29:15
00:47:40	 86.90%	05:35:11
00:47:50	 86.85%	05:32:03
00:48:00	 86.84%	05:27:13
00:48:10	 86.78%	05:24:53
00:48:20	 86.73%	05:23:30
00:48:30	 86.68%	05:21:18
00:48:40	 86.64%	05:22:22
00:48:50	 86.59%	05:22:50
00:49:00	 86.54%	05:19:35
00:49:10	 86.48%	05:16:07
00:49:20	 86.43%	05:17:03
00:49:30	 86.39%	05:15:59
00:49:40	 86.34%	05:13:19
00:49:50	 86.29%	05:13:27
00:50:00	 86.26%	05:12:38
00:50:10	 86.20%	05:14:50
00:50:20	 86.17%	05:17:28
00:50:30	 86.90%	05:21:22
00:50:40	 86.70%	05:26:20
00:50:50	 86.40%	05:29:15
00:51:00	 85.98%	05:31:53
00:51:10	 85.93%	05:27:44
00:51:20	 85.87%	05:23:40
00:51:30	 85.85%	05:20:49
00:51:40	 85.79%	05:20:06
00:51:50	 85.76%	05:22:10
00:52:00	 85.70%	05:21:28
00:52:10	 85.65%	05:17:32
00:52:20	 85.60%	05:15:39
00:52:30	 85.54%	05:15:57
00:52:40	 85.51%	05:13:13
00:52:50	 85.46%	05:11:59
00:53:00	 85.40%	05:10:47
00:53:10	 85.37%	05:10:59
00:53:20	 85.29%	05:11:06
00:53:30	 85.28%	05:15:58
00:53:40	 85.23%	05:16:13
00:53:50	 85.20%	05:21:37
00:54:00	 85.15%	05:26:26
00:54:10	 85.90%	05:26:01
00:54:20	 85.60%	05:24:30
00:54:30	 85.00%	05:20:25
00:54:40	 84.95%	05:16:31
00:54:50	 84.90%	05:15:40
00:55:00	 84.84%	05:16:20
00:55:10	 84.82%	05:17:11
00:55:20	 84.76%	05:14:32
00:55:30	 84.73%	05:13:26
00:55:40	 84.67%	05:11:40
00:55:50	 84.62%	05:10:06
00:56:00	 84.59%	05:09:20
00:56:10	 84.51%	05:08:16
00:56:20	 84.48%	05:07:55
00:56:30	 84.43%	05:07:28
00:56:40	 84.37%	05:10:53
00:56:50	 84.35%	05:14:32
00:57:00	 84.29%	05:18:19
00:57:10	 84.28%	05:21:47
00:57:20	 84.21%	05:24:36
00:57:30	 84.17%	05:22:21
00:57:40	 84.10%	05:17:52
00:57:50	 84.60%	05:15:26
00:58:00	 84.30%	05:12:38
00:58:10	 83.96%	05:10:42
00:58:20	 83.93%	05:13:32
00:58:30	 83.87%	05:01:50
00:58:40	 83.82%	05:00:00
00:58:50	 83.78%	05:03:27
00:59:00	 83.71%	04:59:13
00:59:10	 83.68%	04:57:22
00:59:20	 83.64%	04:57:09
00:59:30	 83.56%	04:56:47
00:59:40	 83.51%	04:56:36
00:59:50	 83.48%	05:00:13
01:00:00	 83.43%	05:04:59
01:00:10	 83.39%	05:10:02
01:00:20	 83.34%	05:13:11
01:00:30	 83.31%	05:17:16
01:00:40	 83.25%	05:15:36
01:00:50	 83.23%	05:12:07
01:01:00	 83.17%	05:09:25
01:01:10	 83.10%	05:08:10
01:01:20	 83.60%	05:08:55
01:01:30	 83.30%	05:08:18
01:01:40	 82.98%	05:09:20
01:01:50	 82.92%	05:05:33
01:02:00	 82.87%	05:04:26
01:02:10	 82.84%	05:03:00
01:02:20	 82.78%	05:01:13
01:02:30	 82.73%	05:01:52
01:02:40	 82.68%	05:02:46
01:02:50	 82.64%	04:59:42
01:03:00	 82.59%	05:00:26
01:03:10	 82.53%	05:03:19
01:03:20	 82.51%	05:09:04
01:03:30	 82.45%	05:13:10
01:03:40	 82.40%	05:15:46
01:03:50	 82.37%	05:15:06
01:04:00	 82.32%	05:11:00
01:04:10	 82.26%	05:07:19
01:04:20	 82.21%	05:06:46
01:04:30	 82.18%	05:04:59
01:04:40	 82.12%	05:06:40
01:04:50	 82.70%	05:07:44
01:05:00	 82.40%	05:05:46
01:05:10	 81.98%	05:01:57
01:05:20	 81.93%	05:00:31
01:05:30	 81.87%	04:59:55
01:05:40	 81.82%	04:58:27
01:05:50	 81.79%	04:58:16
01:06:00	 81.75%	04:57:38
01:06:10	 81.70%	04:59:01
01:06:20	 81.65%	05:01:49
01:06:30	 81.60%	05:02:16
01:06:40	 81.54%	05:06:59
01:06:50	 81.53%	05:10:28
01:07:00	 81.46%	05:09:21
01:07:10	 81.42%	05:08:16
01:07:20	 81.37%	05:04:08
01:07:30	 81.31%	05:03:19
01:07:40	 81.28%	05:00:43
01:07:50	 81.23%	05:02:10
01:08:00	 81.18%	04:59:41
01:08:10	 81.14%	04:58:22
01:08:20	 81.70%	04:56:12
01:08:30	 81.30%	04:56:48
01:08:40	 80.98%	04:55:34
01:08:50	 80.93%	04:53:24
01:09:00	 80.89%	04:53:42
01:09:10	 80.82%	04:51:50
01:09:20	 80.79%	04:53:17
01:09:30	 80.75%	04:57:43
01:09:40	 80.70%	05:00:52
01:09:50	 80.67%	05:03:59
01:10:00	 80.59%	05:07:21
01:10:10	 80.57%	05:08:00
01:10:20	 80.51%	05:04:13
01:10:30	 80.48%	05:01:25
01:10:40	 80.43%	04:59:23
01:10:50	 80.37%	04:58:51
01:11:00	 80.34%	05:01:11
01:11:10	 80.28%	04:59:20
01:11:20	 80.23%	04:56:01
01:11:30	 80.18%	04:54:47
01:11:40	 80.12%	04:56:37
01:11:50	 80.90%	04:56:25
01:12:00	 80.30%	04:55:29
01:12:10	 79.98%	04:53:09
01:12:20	 79.95%	04:49:52
01:12:30	 79.89%	04:50:39
01:12:40	 79.85%	04:53:55
01:12:50	 79.79%	04:54:19
01:13:00	 79.76%	04:59:53
01:13:10	 79.71%	05:02:57
01:13:20	 79.65%	05:03:45
01:13:30	 79.62%	05:01:19
01:13:40	 79.56%	04:56:33
01:13:50	 79.51%	04:54:56
01:14:00	 79.46%	04:52:48
01:14:10	 79.43%	04:54:04
01:14:20	 79.39%	04:55:43
01:14:30	 79.32%	04:54:48
01:14:40	 79.29%	04:51:35
01:14:50	 79.23%	04:51:54
01:15:00	 79.18%	04:49:55
01:15:10	 79.15%	04:48:56
01:15:20	 79.70%	04:49:15
01:15:30	 79.40%	04:47:57
01:15:40	 78.98%	04:48:05
01:15:50	 78.93%	04:51:35
01:16:00	 78.90%	04:53:26
01:16:10	 78.85%	04:57:01
01:16:20	 78.81%	04:58:59
01:16:30	 78.78%	05:00:14
01:16:40	 78.73%	04:58:08
01:16:50	 78.67%	04:55:45
01:17:00	 78.60%	04:52:15
01:17:10	 78.56%	04:51:48
01:17:20	 78.51%	04:51:05
01:17:30	 78.48%	04:54:25
01:17:40	 78.43%	04:51:45
01:17:50	 78.39%	04:48:26
01:18:00	 78.34%	04:47:38
01:18:10	 78.28%	04:45:33
01:18:20	 78.23%	04:45:39
01:18:30	 78.18%	04:44:36
01:18:40	 78.12%	04:45:12
01:18:50	 78.70%	04:44:28
01:19:00	 78.40%	04:46:52
01:19:10	 78.00%	04:49:42
01:19:20	 77.95%	04:55:01
01:19:30	 77.90%	04:56:38
01:19:40	 77.87%	04:58:04
01:19:50	 77.81%	04:57:43
01:20:00	 77.76%	04:54:42
01:20:10	 77.70%	04:50:44
01:20:20	 77.67%	04:49:24
01:20:30	 77.62%	04:48:33
01:20:40	 77.56%	04:49:12
01:20:50	 77.51%	04:50:18
01:21:00	 77.45%	04:48:34
01:21:10	 77.42%	04:46:17
01:21:20	 77.37%	04:42:09
01:21:30	 77.31%	04:42:23
01:21:40	 77.28%	04:40:47
01:21:50	 77.23%	04:41:39
01:22:00	 77.18%	04:40:23
01:22:10	 77.12%	04:44:13
01:22:20	 77.90%	04:46:14
01:22:30	 77.40%	04:49:08
01:22:40	 76.98%	04:51:56
01:22:50	 76.96%	04:55:16
01:23:00	 76.90%	04:51:56
01:23:10	 76.87%	04:49:04
01:23:20	 76.82%	04:47:22
01:23:30	 76.76%	04:45:49
01:23:40	 76.71%	04:44:24
01:23:50	 76.65%	04:44:53
01:24:00	 76.59%	04:44:33
01:24:10	 76.57%	04:40:00
01:24:20	 76.51%	04:40:15
01:24:30	 76.48%	04:37:40
01:24:40	 76.43%	04:36:56
01:24:50	 76.37%	04:36:51
01:25:00	 76.32%	04:36:36
01:25:10	 76.26%	04:35:07
01:25:20	 76.23%	04:37:16
01:25:30	 76.18%	04:41:04
01:25:40	 76.12%	04:44:47
01:25:50	 76.90%	04:49:04
01:26:00	 76.40%	04:52:53
01:26:10	 76.10%	04:50:16
01:26:20	 75.93%	04:44:25
01:26:30	 75.90%	04:43:37
01:26:40	 75.85%	04:43:06
01:26:50	 75.79%	04:40:30
01:27:00	 75.76%	04:42:45
01:27:10	 75.70%	04:41:40
01:27:20	 75.65%	04:39:59
01:27:30	 75.62%	04:37:41
01:27:40	 75.54%	04:38:07
01:27:50	 75.51%	04:37:41
01:28:00	 75.46%	04:34:32
01:28:10	 75.40%	04:33:11
01:28:20	 75.37%	04:33:14
01:28:30	 75.31%	04:26:01
01:28:40	 75.26%	04:29:55
01:28:50	 75.23%	04:33:59
01:29:00	 75.15%	04:36:43
01:29:10	 75.12%	04:41:36
01:29:20	 75.60%	04:44:53
01:29:30	 75.10%	04:38:58
01:29:40	 74.98%	04:38:08
01:29:50	 74.92%	04:37:38
01:30:00	 74.87%	04:35:46
01:30:10	 74.84%	04:36:29
01:30:20	 74.79%	04:37:29
01:30:30	 74.75%	04:35:00
01:30:40	 74.67%	04:33:38
01:30:50	 74.62%	04:35:08
01:31:00	 74.59%	04:32:06
01:31:10	 74.53%	04:32:54
01:31:20	 74.48%	04:30:43
01:31:30	 74.43%	04:29:53
01:31:40	 74.37%	04:31:23
01:31:50	 74.34%	04:34:44
01:32:00	 74.29%	04:36:51
01:32:10	 74.26%	04:41:04
01:32:20	 74.21%	04:44:32
01:32:30	 74.15%	04:46:26
01:32:40	 74.90%	04:42:21
01:32:50	 74.60%	04:39:11
01:33:00	 74.10%	04:34:15
01:33:10	 73.95%	04:33:40
01:33:20	 73.93%	04:35:39
01:33:30	 73.87%	04:35:38
01:33:40	 73.82%	04:32:46
01:33:50	 73.79%	04:31:21
01:34:00	 73.73%	04:31:38
01:34:10	 73.67%	04:29:32
01:34:20	 73.62%	04:29:13
01:34:30	 73.56%	04:29:12
01:34:40	 73.51%	04:28:00
01:34:50	 73.45%	04:27:55
01:35:00	 73.43%	04:32:13
01:35:10	 73.37%	04:32:58
01:35:20	 73.34%	04:36:58
01:35:30	 73.29%	04:40:31
01:35:40	 73.26%	04:41:34
01:35:50	 73.18%	04:40:05
01:36:00	 73.15%	04:36:29
01:36:10	 73.90%	04:33:42
01:36:20	 73.40%	04:30:59
01:36:30	 72.98%	04:30:47
01:36:40	 72.96%	04:34:03
01:36:50	 72.90%	04:30:43
01:37:00	 72.87%	04:28:50
01:37:10	 72.81%	04:27:56
01:37:20	 72.76%	04:26:00
01:37:30	 72.71%	04:25:51
01:37:40	 72.65%	04:24:48
01:37:50	 72.59%	04:24:34
01:38:00	 72.56%	04:23:01
01:38:10	 72.51%	04:27:06
01:38:20	 72.48%	04:27:58
01:38:30	 72.43%	04:32:11
01:38:40	 72.37%	04:34:15
01:38:50	 72.34%	04:36:08
01:39:00	 72.29%	04:36:14
01:39:10	 72.25%	04:32:47
01:39:20	 72.18%	04:28:44
01:39:30	 72.12%	04:28:08
01:39:40	 72.90%	04:28:09
01:39:50	 72.10%	04:29:13
01:40:00	 71.98%	04:28:13
01:40:10	 71.93%	04:25:53
01:40:20	 71.87%	04:23:30
01:40:30	 71.84%	04:21:48
01:40:40	 71.78%	04:21:35
