### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log_file/Lenovo-Yoga-530-newBatt_8x_CpuLoad_-_1.txt
# minimum_soc	:	30
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	['cpuLoad', 'cpuLoad', 'cpuLoad', 'cpuLoad', 'cpuLoad', 'cpuLoad', 'cpuLoad', 'cpuLoad']

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
00:00:00	 99.92%	11:35:25
00:00:10	 99.70%	01:11:45
00:00:20	 99.46%	02:14:49
00:00:30	 99.31%	02:13:56
00:00:40	 99.15%	02:11:14
00:00:50	 99.40%	02:11:38
00:01:00	 98.90%	02:11:47
00:01:10	 98.76%	02:26:50
00:01:20	 98.65%	02:24:12
00:01:30	 98.51%	02:21:35
00:01:40	 98.37%	02:19:37
00:01:50	 98.26%	02:17:58
00:02:00	 98.10%	02:16:24
00:02:10	 97.98%	02:15:43
00:02:20	 97.87%	02:15:05
00:02:30	 97.70%	02:13:33
00:02:40	 97.56%	02:13:22
00:02:50	 97.43%	02:12:01
00:03:00	 97.31%	02:11:08
00:03:10	 97.17%	02:10:35
00:03:20	 97.10%	02:09:50
00:03:30	 96.90%	02:09:23
00:03:40	 96.76%	02:09:15
00:03:50	 96.62%	02:08:44
00:04:00	 96.51%	02:07:59
00:04:10	 96.37%	02:07:56
00:04:20	 96.20%	02:07:38
00:04:30	 96.60%	02:07:18
00:04:40	 95.93%	02:06:51
00:04:50	 95.79%	02:06:51
00:05:00	 95.67%	02:06:36
00:05:10	 95.54%	02:06:17
00:05:20	 95.40%	02:05:58
00:05:30	 95.26%	02:05:53
00:05:40	 95.14%	02:06:01
00:05:50	 94.98%	02:05:54
00:06:00	 94.87%	02:05:35
00:06:10	 94.70%	02:05:15
00:06:20	 94.57%	02:05:20
00:06:30	 94.43%	02:04:48
00:06:40	 94.31%	02:04:30
00:06:50	 94.17%	02:04:11
00:07:00	 94.30%	02:04:12
00:07:10	 93.90%	02:04:03
00:07:20	 93.78%	02:04:11
00:07:30	 93.64%	02:03:59
00:07:40	 93.48%	02:03:30
00:07:50	 93.37%	02:03:18
00:08:00	 93.20%	02:03:04
00:08:10	 93.70%	02:03:02
00:08:20	 92.93%	02:02:35
00:08:30	 92.81%	02:02:33
00:08:40	 92.67%	02:02:36
00:08:50	 92.53%	02:02:33
00:09:00	 92.40%	02:02:04
00:09:10	 92.26%	02:02:02
00:09:20	 92.12%	02:01:32
00:09:30	 92.00%	02:01:34
00:09:40	 91.87%	02:01:11
00:09:50	 91.73%	02:01:15
00:10:00	 91.57%	02:01:04
00:10:10	 91.45%	02:00:43
00:10:20	 91.31%	02:00:43
00:10:30	 91.15%	02:00:27
00:10:40	 91.10%	01:59:57
00:10:50	 90.89%	01:59:43
00:11:00	 90.76%	01:59:29
00:11:10	 90.59%	01:59:46
00:11:20	 90.48%	01:59:36
00:11:30	 90.34%	01:59:04
00:11:40	 90.18%	01:58:49
00:11:50	 90.60%	01:58:47
00:12:00	 89.93%	01:58:25
00:12:10	 89.79%	01:58:20
00:12:20	 89.65%	01:58:21
00:12:30	 89.51%	01:57:46
00:12:40	 89.39%	01:58:19
00:12:50	 89.23%	01:57:37
00:13:00	 89.90%	01:57:45
00:13:10	 88.98%	01:57:24
00:13:20	 88.82%	01:57:06
00:13:30	 88.68%	01:57:04
00:13:40	 88.56%	01:56:42
00:13:50	 88.40%	01:56:44
00:14:00	 88.28%	01:56:14
00:14:10	 88.12%	01:55:57
00:14:20	 87.98%	01:56:07
00:14:30	 87.84%	01:55:37
00:14:40	 87.70%	01:55:43
00:14:50	 87.56%	01:55:17
00:15:00	 87.43%	01:55:04
00:15:10	 87.31%	01:55:17
00:15:20	 87.15%	01:54:57
00:15:30	 87.30%	01:54:37
00:15:40	 86.90%	01:54:39
00:15:50	 86.76%	01:54:33
00:16:00	 86.62%	01:54:08
00:16:10	 86.46%	01:53:57
00:16:20	 86.34%	01:53:56
00:16:30	 86.18%	01:53:39
00:16:40	 86.60%	01:53:35
00:16:50	 85.93%	01:53:08
00:17:00	 85.79%	01:52:58
00:17:10	 85.65%	01:52:45
00:17:20	 85.51%	01:52:29
00:17:30	 85.39%	01:52:34
00:17:40	 85.21%	01:52:23
00:17:50	 85.70%	01:52:14
00:18:00	 84.93%	01:51:47
00:18:10	 84.79%	01:51:42
00:18:20	 84.67%	01:51:24
00:18:30	 84.50%	01:51:03
00:18:40	 84.37%	01:51:00
00:18:50	 84.23%	01:50:53
00:19:00	 84.10%	01:50:24
00:19:10	 83.95%	01:50:17
00:19:20	 83.82%	01:50:09
00:19:30	 83.68%	01:49:49
00:19:40	 83.56%	01:49:36
00:19:50	 83.39%	01:49:37
00:20:00	 83.26%	01:49:32
00:20:10	 83.12%	01:49:07
00:20:20	 82.98%	01:48:50
00:20:30	 82.84%	01:48:57
00:20:40	 82.71%	01:48:41
00:20:50	 82.56%	01:48:27
00:21:00	 82.43%	01:48:28
00:21:10	 82.29%	01:48:09
00:21:20	 82.15%	01:47:58
00:21:30	 81.98%	01:47:40
00:21:40	 81.85%	01:47:49
00:21:50	 81.70%	01:47:31
00:22:00	 81.56%	01:47:05
00:22:10	 81.42%	01:46:59
00:22:20	 81.29%	01:46:50
00:22:30	 81.15%	01:46:36
00:22:40	 81.10%	01:46:37
00:22:50	 80.87%	01:46:35
00:23:00	 80.75%	01:46:25
00:23:10	 80.57%	01:45:56
00:23:20	 80.45%	01:45:43
00:23:30	 80.31%	01:45:28
00:23:40	 80.17%	01:45:17
00:23:50	 80.30%	01:45:19
00:24:00	 79.89%	01:45:16
00:24:10	 79.76%	01:44:59
00:24:20	 79.62%	01:44:30
00:24:30	 79.46%	01:44:45
00:24:40	 79.32%	01:44:19
00:24:50	 79.20%	01:44:15
00:25:00	 79.60%	01:43:59
00:25:10	 78.90%	01:43:37
00:25:20	 78.76%	01:43:40
00:25:30	 78.59%	01:43:28
00:25:40	 78.46%	01:43:07
00:25:50	 78.32%	01:42:48
00:26:00	 78.18%	01:42:31
00:26:10	 78.40%	01:42:29
00:26:20	 77.89%	01:42:24
00:26:30	 77.76%	01:42:12
00:26:40	 77.62%	01:41:42
00:26:50	 77.48%	01:41:29
00:27:00	 77.34%	01:41:20
00:27:10	 77.20%	01:41:13
00:27:20	 77.60%	01:40:56
00:27:30	 76.90%	01:40:48
00:27:40	 76.76%	01:40:40
00:27:50	 76.64%	01:40:14
00:28:00	 76.50%	01:40:06
00:28:10	 76.34%	01:40:04
00:28:20	 76.20%	01:39:36
00:28:30	 76.60%	01:39:46
00:28:40	 75.92%	01:39:20
00:28:50	 75.78%	01:39:31
00:29:00	 75.64%	01:39:07
00:29:10	 75.46%	01:38:51
00:29:20	 75.32%	01:38:42
00:29:30	 75.18%	01:38:15
00:29:40	 75.60%	01:38:08
00:29:50	 74.90%	01:38:33
00:30:00	 74.75%	01:37:45
00:30:10	 74.62%	01:37:40
00:30:20	 74.48%	01:37:41
00:30:30	 74.34%	01:37:18
00:30:40	 74.18%	01:37:07
00:30:50	 74.60%	01:37:12
00:31:00	 73.90%	01:37:00
00:31:10	 73.76%	01:36:50
00:31:20	 73.62%	01:36:19
00:31:30	 73.48%	01:36:25
00:31:40	 73.34%	01:36:03
00:31:50	 73.20%	01:36:00
00:32:00	 73.60%	01:35:56
00:32:10	 72.90%	01:35:27
00:32:20	 72.76%	01:35:15
00:32:30	 72.64%	01:34:59
00:32:40	 72.50%	01:34:50
00:32:50	 72.34%	01:35:03
00:33:00	 72.18%	01:34:44
00:33:10	 72.10%	01:34:22
00:33:20	 71.87%	01:34:17
00:33:30	 71.76%	01:34:07
00:33:40	 71.60%	01:33:58
00:33:50	 71.46%	01:33:31
00:34:00	 71.31%	01:33:21
00:34:10	 71.18%	01:33:14
00:34:20	 71.40%	01:33:26
00:34:30	 70.89%	01:32:51
00:34:40	 70.75%	01:32:44
00:34:50	 70.60%	01:32:35
00:35:00	 70.45%	01:32:36
00:35:10	 70.31%	01:32:05
00:35:20	 70.18%	01:31:59
00:35:30	 70.30%	01:31:57
00:35:40	 69.89%	01:31:34
00:35:50	 69.75%	01:31:33
00:36:00	 69.59%	01:31:18
00:36:10	 69.45%	01:30:58
00:36:20	 69.37%	01:37:37
00:36:30	 69.31%	01:49:04
00:36:40	 69.15%	01:41:28
00:36:50	 69.90%	01:50:41
00:37:00	 68.93%	01:44:27
00:37:10	 68.79%	01:41:13
00:37:20	 68.71%	01:51:47
00:37:30	 68.57%	01:43:29
00:37:40	 68.48%	01:52:34
00:37:50	 68.32%	01:45:40
00:38:00	 68.18%	01:41:53
00:38:10	 68.90%	01:48:07
00:38:20	 67.95%	01:43:52
00:38:30	 67.81%	01:41:28
00:38:40	 67.73%	01:46:01
00:38:50	 67.59%	01:42:06
00:39:00	 67.46%	01:50:38
00:39:10	 67.35%	01:43:48
00:39:20	 67.21%	01:40:38
00:39:30	 67.12%	01:50:42
00:39:40	 66.96%	01:42:13
00:39:50	 66.84%	01:39:44
00:40:00	 66.76%	01:44:22
00:40:10	 66.62%	01:40:49
00:40:20	 66.48%	01:42:54
00:40:30	 66.40%	01:44:07
00:40:40	 66.26%	01:40:48
00:40:50	 66.12%	01:43:59
00:41:00	 66.30%	01:42:54
00:41:10	 65.87%	01:39:33
00:41:20	 65.73%	01:40:34
00:41:30	 65.64%	01:42:03
00:41:40	 65.50%	01:38:30
00:41:50	 65.37%	01:41:17
00:42:00	 65.29%	01:40:48
00:42:10	 65.15%	01:37:15
00:42:20	 65.40%	01:43:00
00:42:30	 64.90%	01:39:43
00:42:40	 64.76%	01:36:23
00:42:50	 64.68%	01:40:39
00:43:00	 64.53%	01:38:42
00:43:10	 64.39%	01:35:24
00:43:20	 64.29%	01:41:49
00:43:30	 64.15%	01:37:58
00:43:40	 64.10%	01:34:33
00:43:50	 63.93%	01:43:59
00:44:00	 63.77%	01:36:54
00:44:10	 63.63%	01:33:29
00:44:20	 63.54%	01:43:50
00:44:30	 63.39%	01:35:53
00:44:40	 63.25%	01:32:43
00:44:50	 63.14%	01:42:12
00:45:00	 63.00%	01:35:09
00:45:10	 62.86%	01:32:19
00:45:20	 62.75%	01:38:22
00:45:30	 62.64%	01:34:52
00:45:40	 62.50%	01:32:01
00:45:50	 62.34%	01:30:55
00:46:00	 62.25%	01:34:41
00:46:10	 62.10%	01:31:49
00:46:20	 61.96%	01:29:03
00:46:30	 61.88%	01:39:02
00:46:40	 61.74%	01:31:58
00:46:50	 61.60%	01:29:04
00:47:00	 61.46%	01:33:54
00:47:10	 61.36%	01:33:04
00:47:20	 61.22%	01:30:23
00:47:30	 61.70%	01:31:49
00:47:40	 60.97%	01:33:02
00:47:50	 60.84%	01:30:12
00:48:00	 60.68%	01:27:15
00:48:10	 60.60%	01:32:42
00:48:20	 60.46%	01:30:16
00:48:30	 60.32%	01:27:29
00:48:40	 60.21%	01:33:54
00:48:50	 60.10%	01:30:19
00:49:00	 59.92%	01:27:42
00:49:10	 59.82%	01:31:14
00:49:20	 59.71%	01:30:24
00:49:30	 59.56%	01:27:40
00:49:40	 59.42%	01:29:07
00:49:50	 59.34%	01:35:05
00:50:00	 59.20%	01:27:49
00:50:10	 59.40%	01:25:15
00:50:20	 58.95%	01:34:25
00:50:30	 58.81%	01:27:54
00:50:40	 58.65%	01:25:01
00:50:50	 58.57%	01:31:32
00:51:00	 58.42%	01:27:42
00:51:10	 58.27%	01:25:06
00:51:20	 58.10%	01:24:23
00:51:30	 58.30%	01:27:38
00:51:40	 57.88%	01:25:06
00:51:50	 57.74%	01:22:28
00:52:00	 57.64%	01:32:25
00:52:10	 57.50%	01:25:11
00:52:20	 57.36%	01:22:38
00:52:30	 57.21%	01:31:32
00:52:40	 57.11%	01:25:06
00:52:50	 56.97%	01:22:52
00:53:00	 56.82%	01:28:40
00:53:10	 56.72%	01:25:05
00:53:20	 56.59%	01:22:39
00:53:30	 56.43%	01:21:42
00:53:40	 56.35%	01:25:58
00:53:50	 56.21%	01:23:34
00:54:00	 56.60%	01:21:08
00:54:10	 55.96%	01:28:00
00:54:20	 55.82%	01:23:56
00:54:30	 55.68%	01:21:07
00:54:40	 55.56%	01:25:01
00:54:50	 55.46%	01:23:44
00:55:00	 55.29%	01:21:07
00:55:10	 55.17%	01:22:33
00:55:20	 55.40%	01:23:37
00:55:30	 54.90%	01:21:08
00:55:40	 54.75%	01:18:19
00:55:50	 54.67%	01:23:29
00:56:00	 54.53%	01:21:15
00:56:10	 54.39%	01:18:45
00:56:20	 54.28%	01:25:11
00:56:30	 54.17%	01:21:16
00:56:40	 54.00%	01:18:40
00:56:50	 53.89%	01:22:39
00:57:00	 53.78%	01:21:10
00:57:10	 53.60%	01:18:41
00:57:20	 53.49%	01:16:23
00:57:30	 53.39%	01:21:46
00:57:40	 53.21%	01:18:35
00:57:50	 53.70%	01:16:11
00:58:00	 52.96%	01:24:45
00:58:10	 52.82%	01:18:31
00:58:20	 52.68%	01:16:49
00:58:30	 52.57%	01:22:26
00:58:40	 52.43%	01:18:23
00:58:50	 52.29%	01:16:07
00:59:00	 52.15%	01:19:49
00:59:10	 52.70%	01:19:03
00:59:20	 51.92%	01:16:02
00:59:30	 51.77%	01:13:44
00:59:40	 51.67%	01:21:17
00:59:50	 51.53%	01:16:01
01:00:00	 51.38%	01:14:11
01:00:10	 51.27%	01:22:12
01:00:20	 51.14%	01:16:59
01:00:30	 50.99%	01:15:01
01:00:40	 50.85%	01:16:31
01:00:50	 50.75%	01:17:32
01:01:00	 50.61%	01:14:39
01:01:10	 50.46%	01:16:01
01:01:20	 50.39%	01:16:59
01:01:30	 50.22%	01:14:36
01:01:40	 50.70%	01:12:40
01:01:50	 50.00%	01:14:45
01:02:00	 49.85%	01:14:33
01:02:10	 49.68%	01:12:18
01:02:20	 49.59%	01:15:51
01:02:30	 49.45%	01:14:40
01:02:40	 49.29%	01:12:15
01:02:50	 49.21%	01:14:51
01:03:00	 49.60%	01:14:10
01:03:10	 48.90%	01:11:44
01:03:20	 48.81%	01:15:49
01:03:30	 48.68%	01:13:43
01:03:40	 48.53%	01:11:37
01:03:50	 48.42%	01:09:40
01:04:00	 48.29%	01:13:26
01:04:10	 48.17%	01:18:15
01:04:20	 48.30%	01:12:07
01:04:30	 47.89%	01:09:53
01:04:40	 47.78%	01:15:54
01:04:50	 47.64%	01:11:38
01:05:00	 47.47%	01:09:18
01:05:10	 47.32%	01:12:56
01:05:20	 47.25%	01:11:21
01:05:30	 47.90%	01:09:10
01:05:40	 46.93%	01:07:16
01:05:50	 46.85%	01:11:09
01:06:00	 46.71%	01:08:59
01:06:10	 46.54%	01:06:50
01:06:20	 46.45%	01:14:29
01:06:30	 46.32%	01:08:50
01:06:40	 46.17%	01:06:35
01:06:50	 46.70%	01:10:46
01:07:00	 45.93%	01:08:20
01:07:10	 45.77%	01:06:05
01:07:20	 45.67%	01:10:57
01:07:30	 45.53%	01:08:49
01:07:40	 45.38%	01:06:38
01:07:50	 45.29%	01:09:37
01:08:00	 45.15%	01:08:17
01:08:10	 44.99%	01:06:14
01:08:20	 44.89%	01:09:41
01:08:30	 44.77%	01:07:43
01:08:40	 44.60%	01:05:37
01:08:50	 44.52%	01:07:57
01:09:00	 44.38%	01:06:59
01:09:10	 44.22%	01:05:03
01:09:20	 44.10%	01:08:26
01:09:30	 43.99%	01:06:27
01:09:40	 43.84%	01:04:24
01:09:50	 43.70%	01:06:04
01:10:00	 43.60%	01:06:05
01:10:10	 43.45%	01:04:05
01:10:20	 43.28%	01:02:03
01:10:30	 43.21%	01:05:50
01:10:40	 43.30%	01:03:35
01:10:50	 42.92%	01:02:13
01:11:00	 42.82%	01:05:21
01:11:10	 42.64%	01:03:11
01:11:20	 42.50%	01:01:03
01:11:30	 42.42%	01:04:54
01:11:40	 42.28%	01:02:42
01:11:50	 42.14%	01:01:26
01:12:00	 42.20%	01:04:13
01:12:10	 41.86%	01:02:07
01:12:20	 41.71%	00:59:58
01:12:30	 41.63%	01:03:44
01:12:40	 41.47%	01:01:35
01:12:50	 41.34%	01:05:13
01:13:00	 41.24%	01:02:57
01:13:10	 41.90%	01:00:47
01:13:20	 40.96%	01:06:20
01:13:30	 40.85%	01:02:12
01:13:40	 40.70%	00:59:59
01:13:50	 40.56%	01:03:28
01:14:00	 40.46%	01:01:24
01:14:10	 40.31%	00:59:23
01:14:20	 40.17%	01:02:05
01:14:30	 40.90%	01:01:36
01:14:40	 39.92%	00:59:27
01:14:50	 39.78%	01:00:10
01:15:00	 39.70%	01:00:56
01:15:10	 39.53%	00:58:43
01:15:20	 39.40%	01:00:31
01:15:30	 39.28%	01:00:13
01:15:40	 39.11%	00:58:01
01:15:50	 38.97%	00:58:53
01:16:00	 38.89%	00:59:37
01:16:10	 38.72%	00:57:35
01:16:20	 38.63%	00:59:21
01:16:30	 38.50%	00:58:58
01:16:40	 38.34%	00:57:01
01:16:50	 38.20%	00:57:44
01:17:00	 38.11%	00:58:24
01:17:10	 37.95%	00:56:31
01:17:20	 37.81%	00:54:35
01:17:30	 37.72%	01:00:21
01:17:40	 37.56%	00:56:06
01:17:50	 37.42%	00:54:13
01:18:00	 37.32%	00:58:03
01:18:10	 37.17%	00:55:47
01:18:20	 37.30%	00:54:04
01:18:30	 36.88%	00:53:14
01:18:40	 36.78%	00:55:31
01:18:50	 36.64%	00:53:55
01:19:00	 36.45%	00:51:57
01:19:10	 36.35%	00:58:01
01:19:20	 36.22%	00:53:32
01:19:30	 36.60%	00:51:43
01:19:40	 35.97%	00:54:53
01:19:50	 35.82%	00:53:02
01:20:00	 35.67%	00:51:15
01:20:10	 35.57%	00:57:08
01:20:20	 35.42%	00:52:38
01:20:30	 35.28%	00:51:42
01:20:40	 35.20%	00:53:51
01:20:50	 35.30%	00:52:14
01:21:00	 34.89%	00:50:12
01:21:10	 34.78%	00:55:55
01:21:20	 34.64%	00:51:33
01:21:30	 34.47%	00:50:17
01:21:40	 34.39%	00:52:50
01:21:50	 34.25%	00:51:19
01:22:00	 34.90%	00:49:28
01:22:10	 33.99%	00:52:51
01:22:20	 33.85%	00:50:45
01:22:30	 33.67%	00:49:05
01:22:40	 33.57%	00:50:54
01:22:50	 33.46%	00:50:31
01:23:00	 33.28%	00:48:38
01:23:10	 33.21%	00:51:55
01:23:20	 33.40%	00:49:49
01:23:30	 32.89%	00:48:05
01:23:40	 32.78%	00:50:04
01:23:50	 32.65%	00:49:17
01:24:00	 32.49%	00:47:38
01:24:10	 32.39%	00:49:42
01:24:20	 32.27%	00:48:51
01:24:30	 32.10%	00:47:14
01:24:40	 32.00%	00:50:42
01:24:50	 31.87%	00:48:20
01:25:00	 31.71%	00:46:38
01:25:10	 31.60%	00:45:59
01:25:20	 31.46%	00:47:47
01:25:30	 31.32%	00:46:09
01:25:40	 31.23%	00:51:07
01:25:50	 31.70%	00:47:09
01:26:00	 30.92%	00:45:24
01:26:10	 30.82%	00:48:44
01:26:20	 30.67%	00:46:25
01:26:30	 30.50%	00:44:45
01:26:40	 30.37%	00:48:00
01:26:50	 30.28%	00:45:48
01:27:00	 30.10%	00:44:09
01:27:10	 30.10%	00:48:50
01:27:20	 29.89%	00:45:10
Batteries state of charge reached the minimum level. Terminating script.

# Script started at 18.12.2021 10:43:36 with 100% and expected runtime of 11:35:25.
# Script terminated at 18.12.2021 12:10:56 with 30% and expected runtime of 00:45:10.
Goodbye!
