### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log_file/Lenovo-Yoga-530-newBatt_charge_-_1.txt
# minimum_soc	:	None
# maximum_soc	:	100
# cmd_start	:	None
# cmd_end	:	None
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
00:00:00	 31.21%	00:00:00?
00:00:10	 31.35%	00:00:00?
00:00:20	 31.53%	00:00:00?
00:00:30	 31.67%	00:00:00?
00:00:40	 31.82%	00:00:00?
00:00:50	 32.00%	00:00:00?
00:01:00	 32.15%	00:00:00?
00:01:10	 32.31%	00:00:00?
00:01:20	 32.45%	00:00:00?
00:01:30	 32.59%	00:00:00?
00:01:40	 32.78%	00:00:00?
00:01:50	 32.92%	00:00:00?
00:02:00	 33.70%	00:00:00?
00:02:10	 33.21%	00:00:00?
00:02:20	 33.39%	00:00:00?
00:02:30	 33.53%	00:00:00?
00:02:40	 33.67%	00:00:00?
00:02:50	 33.85%	00:00:00?
00:03:00	 33.99%	00:00:00?
00:03:10	 34.17%	00:00:00?
00:03:20	 34.32%	00:00:00?
00:03:30	 34.46%	00:00:00?
00:03:40	 34.60%	00:00:00?
00:03:50	 34.78%	00:00:00?
00:04:00	 34.92%	00:00:00?
00:04:10	 35.70%	00:00:00?
00:04:20	 35.21%	00:00:00?
00:04:30	 35.36%	00:00:00?
00:04:40	 35.54%	00:00:00?
00:04:50	 35.68%	00:00:00?
00:05:00	 35.85%	00:00:00?
00:05:10	 36.00%	00:00:00?
00:05:20	 36.14%	00:00:00?
00:05:30	 36.32%	00:00:00?
00:05:40	 36.46%	00:00:00?
00:05:50	 36.61%	00:00:00?
00:06:00	 36.75%	00:00:00?
00:06:10	 36.95%	00:00:00?
00:06:20	 37.90%	00:00:00?
00:06:30	 37.22%	00:00:00?
00:06:40	 37.38%	00:00:00?
00:06:50	 37.52%	00:00:00?
00:07:00	 37.71%	00:00:00?
00:07:10	 37.85%	00:00:00?
00:07:20	 38.00%	00:00:00?
00:07:30	 38.15%	00:00:00?
00:07:40	 38.32%	00:00:00?
00:07:50	 38.49%	00:00:00?
00:08:00	 38.63%	00:00:00?
00:08:10	 38.77%	00:00:00?
00:08:20	 38.92%	00:00:00?
00:08:30	 39.10%	00:00:00?
00:08:40	 39.24%	00:00:00?
00:08:50	 39.39%	00:00:00?
00:09:00	 39.53%	00:00:00?
00:09:10	 39.71%	00:00:00?
00:09:20	 39.85%	00:00:00?
00:09:30	 40.00%	00:00:00?
00:09:40	 40.17%	00:00:00?
00:09:50	 40.31%	00:00:00?
00:10:00	 40.50%	00:00:00?
00:10:10	 40.64%	00:00:00?
00:10:20	 40.78%	00:00:00?
00:10:30	 40.92%	00:00:00?
00:10:40	 41.10%	00:00:00?
00:10:50	 41.25%	00:00:00?
00:11:00	 41.39%	00:00:00?
00:11:10	 41.53%	00:00:00?
00:11:20	 41.72%	00:00:00?
00:11:30	 41.86%	00:00:00?
00:11:40	 42.20%	00:00:00?
00:11:50	 42.17%	00:00:00?
00:12:00	 42.32%	00:00:00?
00:12:10	 42.49%	00:00:00?
00:12:20	 42.64%	00:00:00?
00:12:30	 42.79%	00:00:00?
00:12:40	 42.93%	00:00:00?
00:12:50	 43.11%	00:00:00?
00:13:00	 43.27%	00:00:00?
00:13:10	 43.40%	00:00:00?
00:13:20	 43.56%	00:00:00?
00:13:30	 43.74%	00:00:00?
00:13:40	 43.88%	00:00:00?
00:13:50	 44.30%	00:00:00?
00:14:00	 44.17%	00:00:00?
00:14:10	 44.35%	00:00:00?
00:14:20	 44.50%	00:00:00?
00:14:30	 44.64%	00:00:00?
00:14:40	 44.81%	00:00:00?
00:14:50	 44.96%	00:00:00?
00:15:00	 45.10%	00:00:00?
00:15:10	 45.25%	00:00:00?
00:15:20	 45.39%	00:00:00?
00:15:30	 45.59%	00:00:00?
00:15:40	 45.72%	00:00:00?
00:15:50	 45.86%	00:00:00?
00:16:00	 46.20%	00:00:00?
00:16:10	 46.20%	00:00:00?
00:16:20	 46.35%	00:00:00?
00:16:30	 46.49%	00:00:00?
00:16:40	 46.64%	00:00:00?
00:16:50	 46.82%	00:00:00?
00:17:00	 46.97%	00:00:00?
00:17:10	 47.13%	00:00:00?
00:17:20	 47.27%	00:00:00?
00:17:30	 47.45%	00:00:00?
00:17:40	 47.60%	00:00:00?
00:17:50	 47.74%	00:00:00?
00:18:00	 47.89%	00:00:00?
00:18:10	 48.70%	00:00:00?
00:18:20	 48.18%	00:00:00?
00:18:30	 48.35%	00:00:00?
00:18:40	 48.50%	00:00:00?
00:18:50	 48.67%	00:00:00?
00:19:00	 48.81%	00:00:00?
00:19:10	 48.96%	00:00:00?
00:19:20	 49.11%	00:00:00?
00:19:30	 49.29%	00:00:00?
00:19:40	 49.45%	00:00:00?
00:19:50	 49.59%	00:00:00?
00:20:00	 49.72%	00:00:00?
00:20:10	 49.92%	00:00:00?
00:20:20	 50.60%	00:00:00?
00:20:30	 50.21%	00:00:00?
00:20:40	 50.35%	00:00:00?
00:20:50	 50.53%	00:00:00?
00:21:00	 50.67%	00:00:00?
00:21:10	 50.82%	00:00:00?
00:21:20	 50.99%	00:00:00?
00:21:30	 51.13%	00:00:00?
00:21:40	 51.28%	00:00:00?
00:21:50	 51.43%	00:00:00?
00:22:00	 51.60%	00:00:00?
00:22:10	 51.77%	00:00:00?
00:22:20	 51.90%	00:00:00?
00:22:30	 52.40%	00:00:00?
00:22:40	 52.20%	00:00:00?
00:22:50	 52.34%	00:00:00?
00:23:00	 52.52%	00:00:00?
00:23:10	 52.67%	00:00:00?
00:23:20	 52.81%	00:00:00?
00:23:30	 52.97%	00:00:00?
00:23:40	 53.14%	00:00:00?
00:23:50	 53.29%	00:00:00?
00:24:00	 53.45%	00:00:00?
00:24:10	 53.59%	00:00:00?
00:24:20	 53.78%	00:00:00?
00:24:30	 53.92%	00:00:00?
00:24:40	 54.60%	00:00:00?
00:24:50	 54.21%	00:00:00?
00:25:00	 54.39%	00:00:00?
00:25:10	 54.52%	00:00:00?
00:25:20	 54.67%	00:00:00?
00:25:30	 54.82%	00:00:00?
00:25:40	 54.99%	00:00:00?
00:25:50	 55.13%	00:00:00?
00:26:00	 55.29%	00:00:00?
00:26:10	 55.43%	00:00:00?
00:26:20	 55.61%	00:00:00?
00:26:30	 55.77%	00:00:00?
00:26:40	 55.90%	00:00:00?
00:26:50	 56.60%	00:00:00?
00:27:00	 56.24%	00:00:00?
00:27:10	 56.38%	00:00:00?
00:27:20	 56.53%	00:00:00?
00:27:30	 56.67%	00:00:00?
00:27:40	 56.85%	00:00:00?
00:27:50	 57.00%	00:00:00?
00:28:00	 57.14%	00:00:00?
00:28:10	 57.31%	00:00:00?
00:28:20	 57.45%	00:00:00?
00:28:30	 57.60%	00:00:00?
00:28:40	 57.78%	00:00:00?
00:28:50	 57.92%	00:00:00?
00:29:00	 58.90%	00:00:00?
00:29:10	 58.22%	00:00:00?
00:29:20	 58.36%	00:00:00?
00:29:30	 58.52%	00:00:00?
00:29:40	 58.70%	00:00:00?
00:29:50	 58.85%	00:00:00?
00:30:00	 58.99%	00:00:00?
00:30:10	 59.13%	00:00:00?
00:30:20	 59.32%	00:00:00?
00:30:30	 59.46%	00:00:00?
00:30:40	 59.63%	00:00:00?
00:30:50	 59.77%	00:00:00?
00:31:00	 59.92%	00:00:00?
00:31:10	 60.10%	00:00:00?
00:31:20	 60.24%	00:00:00?
00:31:30	 60.39%	00:00:00?
00:31:40	 60.57%	00:00:00?
00:31:50	 60.71%	00:00:00?
00:32:00	 60.85%	00:00:00?
00:32:10	 61.00%	00:00:00?
00:32:20	 61.17%	00:00:00?
00:32:30	 61.31%	00:00:00?
00:32:40	 61.45%	00:00:00?
00:32:50	 61.61%	00:00:00?
00:33:00	 61.78%	00:00:00?
00:33:10	 61.95%	00:00:00?
00:33:20	 62.90%	00:00:00?
00:33:30	 62.22%	00:00:00?
00:33:40	 62.42%	00:00:00?
00:33:50	 62.56%	00:00:00?
00:34:00	 62.71%	00:00:00?
00:34:10	 62.85%	00:00:00?
00:34:20	 63.30%	00:00:00?
00:34:30	 63.17%	00:00:00?
00:34:40	 63.32%	00:00:00?
00:34:50	 63.46%	00:00:00?
00:35:00	 63.64%	00:00:00?
00:35:10	 63.77%	00:00:00?
00:35:20	 63.93%	00:00:00?
00:35:30	 64.70%	00:00:00?
00:35:40	 64.26%	00:00:00?
00:35:50	 64.40%	00:00:00?
00:36:00	 64.54%	00:00:00?
00:36:10	 64.70%	00:00:00?
00:36:20	 64.87%	00:00:00?
00:36:30	 65.10%	00:00:00?
00:36:40	 65.17%	00:00:00?
00:36:50	 65.31%	00:00:00?
00:37:00	 65.50%	00:00:00?
00:37:10	 65.64%	00:00:00?
00:37:20	 65.78%	00:00:00?
00:37:30	 65.95%	00:00:00?
00:37:40	 66.10%	00:00:00?
00:37:50	 66.26%	00:00:00?
00:38:00	 66.42%	00:00:00?
00:38:10	 66.56%	00:00:00?
00:38:20	 66.73%	00:00:00?
00:38:30	 66.89%	00:00:00?
00:38:40	 67.10%	00:00:00?
00:38:50	 67.18%	00:00:00?
00:39:00	 67.34%	00:00:00?
00:39:10	 67.48%	00:00:00?
00:39:20	 67.62%	00:00:00?
00:39:30	 67.78%	00:00:00?
00:39:40	 67.95%	00:00:00?
00:39:50	 68.90%	00:00:00?
00:40:00	 68.26%	00:00:00?
00:40:10	 68.40%	00:00:00?
00:40:20	 68.57%	00:00:00?
00:40:30	 68.73%	00:00:00?
00:40:40	 68.87%	00:00:00?
00:40:50	 69.30%	00:00:00?
00:41:00	 69.18%	00:00:00?
00:41:10	 69.35%	00:00:00?
00:41:20	 69.48%	00:00:00?
00:41:30	 69.64%	00:00:00?
00:41:40	 69.81%	00:00:00?
00:41:50	 69.95%	00:00:00?
00:42:00	 70.10%	00:00:00?
00:42:10	 70.26%	00:00:00?
00:42:20	 70.42%	00:00:00?
00:42:30	 70.59%	00:00:00?
00:42:40	 70.73%	00:00:00?
00:42:50	 70.87%	00:00:00?
00:43:00	 71.60%	00:00:00?
00:43:10	 71.20%	00:00:00?
00:43:20	 71.34%	00:00:00?
00:43:30	 71.48%	00:00:00?
00:43:40	 71.65%	00:00:00?
00:43:50	 71.79%	00:00:00?
00:44:00	 71.93%	00:00:00?
00:44:10	 72.10%	00:00:00?
00:44:20	 72.26%	00:00:00?
00:44:30	 72.43%	00:00:00?
00:44:40	 72.57%	00:00:00?
00:44:50	 72.71%	00:00:00?
00:45:00	 72.90%	00:00:00?
00:45:10	 73.40%	00:00:00?
00:45:20	 73.18%	00:00:00?
00:45:30	 73.34%	00:00:00?
00:45:40	 73.50%	00:00:00?
00:45:50	 73.65%	00:00:00?
00:46:00	 73.79%	00:00:00?
00:46:10	 73.95%	00:00:00?
00:46:20	 74.12%	00:00:00?
00:46:30	 74.26%	00:00:00?
00:46:40	 74.43%	00:00:00?
00:46:50	 74.56%	00:00:00?
00:47:00	 74.73%	00:00:00?
00:47:10	 74.87%	00:00:00?
00:47:20	 75.10%	00:00:00?
00:47:30	 75.15%	00:00:00?
00:47:40	 75.32%	00:00:00?
00:47:50	 75.46%	00:00:00?
00:48:00	 75.64%	00:00:00?
00:48:10	 75.78%	00:00:00?
00:48:20	 75.93%	00:00:00?
00:48:30	 76.90%	00:00:00?
00:48:40	 76.23%	00:00:00?
00:48:50	 76.34%	00:00:00?
00:49:00	 76.54%	00:00:00?
00:49:10	 76.65%	00:00:00?
00:49:20	 76.82%	00:00:00?
00:49:30	 76.95%	00:00:00?
00:49:40	 77.12%	00:00:00?
00:49:50	 77.26%	00:00:00?
00:50:00	 77.40%	00:00:00?
00:50:10	 77.54%	00:00:00?
00:50:20	 77.70%	00:00:00?
00:50:30	 77.82%	00:00:00?
00:50:40	 77.98%	00:00:00?
00:50:50	 78.90%	00:00:00?
00:51:00	 78.26%	00:00:00?
00:51:10	 78.40%	00:00:00?
00:51:20	 78.53%	00:00:00?
00:51:30	 78.67%	00:00:00?
00:51:40	 78.84%	00:00:00?
00:51:50	 78.93%	00:00:00?
00:52:00	 79.60%	00:00:00?
00:52:10	 79.20%	00:00:00?
00:52:20	 79.37%	00:00:00?
00:52:30	 79.46%	00:00:00?
00:52:40	 79.62%	00:00:00?
00:52:50	 79.73%	00:00:00?
00:53:00	 79.89%	00:00:00?
00:53:10	 80.10%	00:00:00?
00:53:20	 80.12%	00:00:00?
00:53:30	 80.25%	00:00:00?
00:53:40	 80.40%	00:00:00?
00:53:50	 80.51%	00:00:00?
00:54:00	 80.64%	00:00:00?
00:54:10	 80.76%	00:00:00?
00:54:20	 80.90%	00:00:00?
00:54:30	 81.30%	00:00:00?
00:54:40	 81.15%	00:00:00?
00:54:50	 81.26%	00:00:00?
00:55:00	 81.37%	00:00:00?
00:55:10	 81.51%	00:00:00?
00:55:20	 81.62%	00:00:00?
00:55:30	 81.73%	00:00:00?
00:55:40	 81.87%	00:00:00?
00:55:50	 82.00%	00:00:00?
00:56:00	 82.90%	00:00:00?
00:56:10	 82.20%	00:00:00?
00:56:20	 82.34%	00:00:00?
00:56:30	 82.45%	00:00:00?
00:56:40	 82.56%	00:00:00?
00:56:50	 82.68%	00:00:00?
00:57:00	 82.79%	00:00:00?
00:57:10	 82.90%	00:00:00?
00:57:20	 83.00%	00:00:00?
00:57:30	 83.12%	00:00:00?
00:57:40	 83.25%	00:00:00?
00:57:50	 83.34%	00:00:00?
00:58:00	 83.45%	00:00:00?
00:58:10	 83.56%	00:00:00?
00:58:20	 83.68%	00:00:00?
00:58:30	 83.78%	00:00:00?
00:58:40	 83.89%	00:00:00?
00:58:50	 83.98%	00:00:00?
00:59:00	 84.10%	00:00:00?
00:59:10	 84.20%	00:00:00?
00:59:20	 84.29%	00:00:00?
00:59:30	 84.40%	00:00:00?
00:59:40	 84.51%	00:00:00?
00:59:50	 84.62%	00:00:00?
01:00:00	 84.70%	00:00:00?
01:00:10	 84.81%	00:00:00?
01:00:20	 84.90%	00:00:00?
01:00:30	 85.10%	00:00:00?
01:00:40	 85.12%	00:00:00?
01:00:50	 85.21%	00:00:00?
01:01:00	 85.29%	00:00:00?
01:01:10	 85.40%	00:00:00?
01:01:20	 85.51%	00:00:00?
01:01:30	 85.59%	00:00:00?
01:01:40	 85.70%	00:00:00?
01:01:50	 85.79%	00:00:00?
01:02:00	 85.87%	00:00:00?
01:02:10	 85.95%	00:00:00?
01:02:20	 86.70%	00:00:00?
01:02:30	 86.17%	00:00:00?
01:02:40	 86.26%	00:00:00?
01:02:50	 86.34%	00:00:00?
01:03:00	 86.43%	00:00:00?
01:03:10	 86.51%	00:00:00?
01:03:20	 86.62%	00:00:00?
01:03:30	 86.70%	00:00:00?
01:03:40	 86.79%	00:00:00?
01:03:50	 86.87%	00:00:00?
01:04:00	 86.96%	00:00:00?
01:04:10	 87.40%	00:00:00?
01:04:20	 87.15%	00:00:00?
01:04:30	 87.23%	00:00:00?
01:04:40	 87.31%	00:00:00?
01:04:50	 87.40%	00:00:00?
01:05:00	 87.48%	00:00:00?
01:05:10	 87.56%	00:00:00?
01:05:20	 87.64%	00:00:00?
01:05:30	 87.73%	00:00:00?
01:05:40	 87.81%	00:00:00?
01:05:50	 87.89%	00:00:00?
01:06:00	 87.96%	00:00:00?
01:06:10	 88.30%	00:00:00?
01:06:20	 88.14%	00:00:00?
01:06:30	 88.21%	00:00:00?
01:06:40	 88.28%	00:00:00?
01:06:50	 88.35%	00:00:00?
01:07:00	 88.43%	00:00:00?
01:07:10	 88.53%	00:00:00?
01:07:20	 88.59%	00:00:00?
01:07:30	 88.67%	00:00:00?
01:07:40	 88.75%	00:00:00?
01:07:50	 88.82%	00:00:00?
01:08:00	 88.92%	00:00:00?
01:08:10	 89.00%	00:00:00?
01:08:20	 89.60%	00:00:00?
01:08:30	 89.14%	00:00:00?
01:08:40	 89.20%	00:00:00?
01:08:50	 89.29%	00:00:00?
01:09:00	 89.34%	00:00:00?
01:09:10	 89.40%	00:00:00?
01:09:20	 89.46%	00:00:00?
01:09:30	 89.54%	00:00:00?
01:09:40	 89.62%	00:00:00?
01:09:50	 89.71%	00:00:00?
01:10:00	 89.78%	00:00:00?
01:10:10	 89.84%	00:00:00?
01:10:20	 89.90%	00:00:00?
01:10:30	 89.95%	00:00:00?
01:10:40	 90.40%	00:00:00?
01:10:50	 90.10%	00:00:00?
01:11:00	 90.18%	00:00:00?
01:11:10	 90.25%	00:00:00?
01:11:20	 90.31%	00:00:00?
01:11:30	 90.37%	00:00:00?
01:11:40	 90.43%	00:00:00?
01:11:50	 90.51%	00:00:00?
01:12:00	 90.57%	00:00:00?
01:12:10	 90.64%	00:00:00?
01:12:20	 90.70%	00:00:00?
01:12:30	 90.76%	00:00:00?
01:12:40	 90.82%	00:00:00?
01:12:50	 90.90%	00:00:00?
01:13:00	 90.95%	00:00:00?
01:13:10	 91.10%	00:00:00?
01:13:20	 91.60%	00:00:00?
01:13:30	 91.15%	00:00:00?
01:13:40	 91.18%	00:00:00?
01:13:50	 91.26%	00:00:00?
01:14:00	 91.31%	00:00:00?
01:14:10	 91.37%	00:00:00?
01:14:20	 91.43%	00:00:00?
01:14:30	 91.48%	00:00:00?
01:14:40	 91.56%	00:00:00?
01:14:50	 91.62%	00:00:00?
01:15:00	 91.67%	00:00:00?
01:15:10	 91.70%	00:00:00?
01:15:20	 91.79%	00:00:00?
01:15:30	 91.84%	00:00:00?
01:15:40	 91.89%	00:00:00?
01:15:50	 91.95%	00:00:00?
01:16:00	 92.00%	00:00:00?
01:16:10	 92.60%	00:00:00?
01:16:20	 92.12%	00:00:00?
01:16:30	 92.18%	00:00:00?
01:16:40	 92.21%	00:00:00?
01:16:50	 92.28%	00:00:00?
01:17:00	 92.34%	00:00:00?
01:17:10	 92.39%	00:00:00?
01:17:20	 92.43%	00:00:00?
01:17:30	 92.51%	00:00:00?
01:17:40	 92.54%	00:00:00?
01:17:50	 92.59%	00:00:00?
01:18:00	 92.65%	00:00:00?
01:18:10	 92.68%	00:00:00?
01:18:20	 92.75%	00:00:00?
01:18:30	 92.79%	00:00:00?
01:18:40	 92.84%	00:00:00?
01:18:50	 92.92%	00:00:00?
01:19:00	 92.95%	00:00:00?
01:19:10	 93.00%	00:00:00?
01:19:20	 93.40%	00:00:00?
01:19:30	 93.90%	00:00:00?
01:19:40	 93.17%	00:00:00?
01:19:50	 93.20%	00:00:00?
01:20:00	 93.23%	00:00:00?
01:20:10	 93.31%	00:00:00?
01:20:20	 93.34%	00:00:00?
01:20:30	 93.39%	00:00:00?
01:20:40	 93.43%	00:00:00?
01:20:50	 93.46%	00:00:00?
01:21:00	 93.53%	00:00:00?
01:21:10	 93.57%	00:00:00?
01:21:20	 93.62%	00:00:00?
01:21:30	 93.68%	00:00:00?
01:21:40	 93.71%	00:00:00?
01:21:50	 93.76%	00:00:00?
01:22:00	 93.79%	00:00:00?
01:22:10	 93.85%	00:00:00?
01:22:20	 93.87%	00:00:00?
01:22:30	 93.93%	00:00:00?
01:22:40	 93.96%	00:00:00?
01:22:50	 94.30%	00:00:00?
01:23:00	 94.60%	00:00:00?
01:23:10	 94.10%	00:00:00?
01:23:20	 94.15%	00:00:00?
01:23:30	 94.18%	00:00:00?
01:23:40	 94.25%	00:00:00?
01:23:50	 94.26%	00:00:00?
01:24:00	 94.31%	00:00:00?
01:24:10	 94.35%	00:00:00?
01:24:20	 94.42%	00:00:00?
01:24:30	 94.43%	00:00:00?
01:24:40	 94.50%	00:00:00?
01:24:50	 94.51%	00:00:00?
01:25:00	 94.57%	00:00:00?
01:25:10	 94.59%	00:00:00?
01:25:20	 94.64%	00:00:00?
01:25:30	 94.68%	00:00:00?
01:25:40	 94.75%	00:00:00?
01:25:50	 94.76%	00:00:00?
01:26:00	 94.81%	00:00:00?
01:26:10	 94.84%	00:00:00?
01:26:20	 94.89%	00:00:00?
01:26:30	 94.90%	00:00:00?
01:26:40	 94.96%	00:00:00?
01:26:50	 94.98%	00:00:00?
01:27:00	 95.40%	00:00:00?
01:27:10	 95.60%	00:00:00?
01:27:20	 95.10%	00:00:00?
01:27:30	 95.15%	00:00:00?
01:27:40	 95.20%	00:00:00?
01:27:50	 95.23%	00:00:00?
01:28:00	 95.26%	00:00:00?
01:28:10	 95.31%	00:00:00?
01:28:20	 95.34%	00:00:00?
01:28:30	 95.37%	00:00:00?
01:28:40	 95.40%	00:00:00?
01:28:50	 95.43%	00:00:00?
01:29:00	 95.48%	00:00:00?
01:29:10	 95.53%	00:00:00?
01:29:20	 95.56%	00:00:00?
01:29:30	 95.59%	00:00:00?
01:29:40	 95.62%	00:00:00?
01:29:50	 95.65%	00:00:00?
01:30:00	 95.68%	00:00:00?
01:30:10	 95.70%	00:00:00?
01:30:20	 95.75%	00:00:00?
01:30:30	 95.79%	00:00:00?
01:30:40	 95.81%	00:00:00?
01:30:50	 95.87%	00:00:00?
01:31:00	 95.89%	00:00:00?
01:31:10	 95.93%	00:00:00?
01:31:20	 95.95%	00:00:00?
01:31:30	 96.00%	00:00:00?
01:31:40	 96.40%	00:00:00?
01:31:50	 96.60%	00:00:00?
01:32:00	 96.70%	00:00:00?
01:32:10	 96.12%	00:00:00?
01:32:20	 96.15%	00:00:00?
01:32:30	 96.18%	00:00:00?
01:32:40	 96.21%	00:00:00?
01:32:50	 96.23%	00:00:00?
01:33:00	 96.28%	00:00:00?
01:33:10	 96.31%	00:00:00?
01:33:20	 96.34%	00:00:00?
01:33:30	 96.37%	00:00:00?
01:33:40	 96.40%	00:00:00?
01:33:50	 96.43%	00:00:00?
01:34:00	 96.46%	00:00:00?
01:34:10	 96.48%	00:00:00?
01:34:20	 96.51%	00:00:00?
01:34:30	 96.54%	00:00:00?
01:34:40	 96.59%	00:00:00?
01:34:50	 96.60%	00:00:00?
01:35:00	 96.62%	00:00:00?
01:35:10	 96.67%	00:00:00?
01:35:20	 96.70%	00:00:00?
01:35:30	 96.73%	00:00:00?
