### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log files/Lenovo-Yoga-530-Fedora_idle.txt
# minimum_soc	:	15
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
00:00:00	 99.29%	15:12:56
00:00:10	 99.26%	15:11:36
00:00:20	 99.23%	15:12:49
00:00:30	 99.21%	15:13:18
00:00:40	 99.18%	15:13:04
00:00:50	 99.18%	15:13:48
00:01:00	 99.17%	15:13:55
00:01:10	 99.14%	15:14:25
00:01:20	 99.10%	15:15:16
00:01:30	 99.90%	15:15:02
00:01:40	 99.60%	15:14:04
00:01:50	 99.40%	15:14:55
00:02:00	 99.40%	15:14:11
00:02:10	 99.10%	15:14:19
00:02:20	 98.98%	15:14:26
00:02:30	 98.95%	15:14:56
00:02:40	 98.93%	15:13:57
00:02:50	 98.90%	15:14:49
00:03:00	 98.87%	15:14:13
00:03:10	 98.87%	15:14:35
00:03:20	 98.84%	15:13:58
00:03:30	 98.82%	15:14:28
00:03:40	 98.79%	15:14:57
00:03:50	 98.78%	15:14:21
00:04:00	 98.75%	15:15:13
00:04:10	 98.71%	15:14:36
00:04:20	 98.71%	15:13:52
00:04:30	 98.70%	15:14:21
00:04:40	 98.67%	15:13:45
00:04:50	 98.64%	15:13:52
00:05:00	 98.62%	15:14:00
00:05:10	 98.59%	15:14:08
00:05:20	 98.56%	15:13:31
00:05:30	 98.56%	15:13:53
00:05:40	 98.54%	15:13:39
00:05:50	 98.51%	15:13:46
00:06:00	 98.48%	15:13:10
00:06:10	 98.45%	15:14:01
00:06:20	 98.43%	15:13:25
00:06:30	 98.40%	15:13:10
00:06:40	 98.40%	15:13:55
00:06:50	 98.37%	15:13:18
00:07:00	 98.35%	15:12:41
00:07:10	 98.32%	15:13:33
00:07:20	 98.31%	15:12:12
00:07:30	 98.28%	15:13:04
00:07:40	 98.28%	15:12:42
00:07:50	 98.25%	15:12:49
00:08:00	 98.23%	15:12:13
00:08:10	 98.20%	15:12:43
00:08:20	 98.18%	15:12:28
00:08:30	 98.15%	15:12:36
00:08:40	 98.15%	15:11:51
00:08:50	 98.12%	15:12:43
00:09:00	 98.90%	15:11:44
00:09:10	 98.60%	15:12:14
00:09:20	 98.40%	15:11:37
00:09:30	 98.10%	15:11:45
00:09:40	 97.98%	15:10:46
00:09:50	 97.96%	15:13:07
00:10:00	 97.96%	15:10:54
00:10:10	 97.93%	15:11:46
00:10:20	 97.92%	15:11:31
00:10:30	 97.89%	15:12:23
00:10:40	 97.85%	15:10:18
00:10:50	 97.84%	15:10:47
00:11:00	 97.81%	15:10:33
00:11:10	 97.81%	15:11:17
00:11:20	 97.78%	15:09:56
00:11:30	 97.76%	15:10:48
00:11:40	 97.73%	15:10:11
00:11:50	 97.70%	15:11:25
00:12:00	 97.68%	15:11:10
00:12:10	 97.68%	15:10:04
00:12:20	 97.65%	15:09:50
00:12:30	 97.62%	15:11:48
00:12:40	 97.59%	15:09:42
00:12:50	 97.57%	15:10:12
00:13:00	 97.54%	15:10:20
00:13:10	 97.51%	15:10:05
00:13:20	 97.50%	15:08:44
00:13:30	 97.46%	15:08:30
00:13:40	 97.45%	15:08:15
00:13:50	 97.42%	15:09:51
00:14:00	 97.42%	15:08:23
00:14:10	 97.39%	15:09:36
00:14:20	 97.34%	15:08:23
00:14:30	 97.31%	15:07:46
00:14:40	 97.31%	15:07:46
00:14:50	 97.29%	15:08:16
00:15:00	 97.26%	15:07:39
00:15:10	 97.23%	15:08:53
00:15:20	 97.20%	15:07:32
00:15:30	 97.18%	15:08:02
00:15:40	 97.15%	15:08:53
00:15:50	 97.12%	15:07:10
00:16:00	 97.10%	15:06:56
00:16:10	 97.70%	15:06:41
00:16:20	 97.40%	15:06:49
00:16:30	 97.30%	15:06:12
00:16:40	 97.00%	15:06:19
00:16:50	 96.98%	15:06:49
00:17:00	 96.95%	15:06:34
00:17:10	 96.92%	15:05:58
00:17:20	 96.90%	15:05:43
00:17:30	 96.87%	15:05:28
00:17:40	 96.84%	15:05:36
00:17:50	 96.81%	15:08:18
00:18:00	 96.79%	15:05:07
00:18:10	 96.76%	15:05:14
00:18:20	 96.73%	15:06:50
00:18:30	 96.71%	15:04:45
00:18:40	 96.68%	15:04:30
00:18:50	 96.68%	15:04:30
00:19:00	 96.65%	15:03:53
00:19:10	 96.64%	15:04:45
00:19:20	 96.60%	15:04:08
00:19:30	 96.59%	15:04:38
00:19:40	 96.56%	15:04:23
00:19:50	 96.53%	15:03:46
00:20:00	 96.51%	15:03:32
00:20:10	 96.48%	15:02:55
00:20:20	 96.45%	15:03:25
00:20:30	 96.43%	15:03:10
00:20:40	 96.40%	15:02:55
00:20:50	 96.37%	15:03:03
00:21:00	 96.34%	15:05:45
00:21:10	 96.32%	15:02:11
00:21:20	 96.29%	15:01:57
00:21:30	 96.26%	15:01:42
00:21:40	 96.25%	15:01:27
00:21:50	 96.21%	15:01:35
00:22:00	 96.18%	15:01:42
00:22:10	 96.17%	15:01:27
00:22:20	 96.14%	15:01:57
00:22:30	 96.12%	15:00:36
00:22:40	 96.90%	15:00:43
00:22:50	 96.60%	15:00:51
00:23:00	 96.60%	15:00:29
00:23:10	 96.40%	15:00:36
00:23:20	 96.10%	15:00:21
00:23:30	 95.95%	15:00:36
00:23:40	 95.95%	15:02:04
00:23:50	 95.93%	15:00:00
00:24:00	 95.90%	14:59:23
00:24:10	 95.87%	14:59:52
00:24:20	 95.85%	15:00:00
00:24:30	 95.82%	14:59:23
00:24:40	 95.79%	14:59:30
00:24:50	 95.78%	15:00:00
00:25:00	 95.75%	15:00:07
00:25:10	 95.73%	11:13:07
00:25:20	 95.70%	11:13:45
00:25:30	 95.67%	11:13:09
00:25:40	 95.65%	11:12:46
00:25:50	 95.62%	11:13:00
00:26:00	 95.59%	11:12:49
00:26:10	 95.56%	11:12:50
00:26:20	 95.54%	11:13:41
00:26:30	 95.51%	11:12:03
00:26:40	 95.48%	11:11:40
00:26:50	 95.46%	11:11:54
00:27:00	 95.43%	11:11:55
00:27:10	 95.40%	11:11:44
00:27:20	 95.40%	11:11:56
00:27:30	 95.35%	11:11:47
00:27:40	 95.35%	11:11:10
00:27:50	 95.32%	11:11:11
00:28:00	 95.31%	11:11:12
00:28:10	 95.28%	11:11:14
00:28:20	 95.26%	11:10:50
00:28:30	 95.23%	11:10:52
00:28:40	 95.20%	11:10:53
00:28:50	 95.18%	11:10:42
00:29:00	 95.15%	11:11:08
00:29:10	 95.12%	11:09:55
00:29:20	 95.90%	11:09:44
00:29:30	 95.60%	11:09:58
00:29:40	 95.40%	11:09:47
00:29:50	 95.10%	11:09:48
00:30:00	 95.00%	11:09:49
00:30:10	 94.96%	11:09:38
00:30:20	 94.93%	11:09:03
00:30:30	 94.92%	11:08:52
00:30:40	 94.92%	11:08:52
00:30:50	 94.89%	11:09:05
00:31:00	 94.87%	11:08:54
00:31:10	 94.84%	11:08:43
00:31:20	 94.81%	11:08:45
00:31:30	 94.79%	11:08:58
00:31:40	 94.76%	11:08:35
00:31:50	 94.73%	11:08:11
00:32:00	 94.70%	11:09:51
00:32:10	 94.68%	11:08:51
00:32:20	 94.65%	11:07:51
00:32:30	 94.62%	11:07:40
00:32:40	 94.60%	11:07:53
00:32:50	 94.57%	11:07:54
00:33:00	 94.54%	11:07:31
00:33:10	 94.53%	11:06:55
00:33:20	 94.50%	11:07:09
00:33:30	 94.46%	11:06:58
00:33:40	 94.45%	11:06:59
00:33:50	 94.45%	11:06:59
00:34:00	 94.42%	11:07:37
00:34:10	 94.37%	11:06:38
00:34:20	 94.37%	11:07:15
00:34:30	 94.34%	11:06:03
00:34:40	 94.31%	11:05:52
00:34:50	 94.29%	11:07:43
00:35:00	 94.26%	11:07:45
00:35:10	 94.23%	11:05:43
00:35:20	 94.20%	11:05:57
00:35:30	 94.18%	11:05:33
00:35:40	 94.15%	11:05:59
00:35:50	 94.14%	11:04:59
00:36:00	 94.10%	11:05:12
00:36:10	 94.70%	11:04:49
00:36:20	 94.60%	11:04:50
00:36:30	 94.30%	11:04:39
00:36:40	 94.10%	11:04:53
00:36:50	 93.98%	11:04:42
00:37:00	 93.95%	11:04:18
00:37:10	 93.93%	11:03:55
00:37:20	 93.90%	11:03:56
00:37:30	 93.87%	11:05:11
00:37:40	 93.87%	11:03:57
00:37:50	 93.84%	11:03:46
00:38:00	 93.79%	11:03:49
00:38:10	 93.79%	11:03:36
00:38:20	 93.76%	11:03:13
00:38:30	 93.75%	11:03:02
00:38:40	 93.71%	11:03:03
00:38:50	 93.68%	11:06:09
00:39:00	 93.67%	11:02:41
00:39:10	 93.64%	11:02:42
00:39:20	 93.60%	11:02:43
00:39:30	 93.59%	11:02:44
00:39:40	 93.56%	11:02:09
00:39:50	 93.54%	11:02:22
00:40:00	 93.51%	11:02:11
00:40:10	 93.48%	11:04:15
00:40:20	 93.45%	11:01:37
00:40:30	 93.43%	11:01:50
00:40:40	 93.40%	11:01:39
00:40:50	 93.37%	11:01:53
00:41:00	 93.34%	11:00:53
00:41:10	 93.32%	11:00:54
00:41:20	 93.32%	11:01:18
00:41:30	 93.29%	11:00:55
00:41:40	 93.28%	11:01:08
00:41:50	 93.25%	11:00:57
00:42:00	 93.21%	11:00:58
00:42:10	 93.20%	11:01:12
00:42:20	 93.17%	11:01:01
00:42:30	 93.15%	11:00:13
00:42:40	 93.12%	10:59:50
00:42:50	 93.90%	11:01:28
00:43:00	 93.60%	10:59:40
00:43:10	 93.40%	10:59:41
00:43:20	 93.10%	11:00:31
00:43:30	 92.98%	10:59:55
00:43:40	 92.95%	10:58:43
00:43:50	 92.93%	10:59:08
00:44:00	 92.90%	10:59:34
00:44:10	 92.89%	10:58:58
00:44:20	 92.85%	10:58:35
00:44:30	 92.82%	10:58:24
00:44:40	 92.81%	10:58:25
00:44:50	 92.78%	10:58:51
00:45:00	 92.75%	10:58:03
00:45:10	 92.75%	10:58:03
00:45:20	 92.73%	10:58:16
00:45:30	 92.70%	10:59:06
00:45:40	 92.68%	10:57:54
00:45:50	 92.65%	10:57:31
00:46:00	 92.62%	10:57:32
00:46:10	 92.59%	10:57:45
00:46:20	 92.56%	10:56:58
00:46:30	 92.54%	10:56:59
00:46:40	 92.51%	10:57:00
00:46:50	 92.48%	10:57:13
00:47:00	 92.46%	10:56:37
00:47:10	 92.43%	10:56:14
00:47:20	 92.42%	10:57:04
00:47:30	 92.39%	10:56:16
00:47:40	 92.35%	10:55:53
00:47:50	 92.34%	10:55:54
00:48:00	 92.31%	10:55:55
00:48:10	 92.29%	10:57:09
00:48:20	 92.26%	10:55:33
00:48:30	 92.26%	10:55:33
00:48:40	 92.20%	10:55:23
00:48:50	 92.20%	10:55:11
00:49:00	 92.18%	10:54:47
00:49:10	 92.15%	10:54:48
00:49:20	 92.12%	10:55:14
00:49:30	 92.90%	10:54:38
00:49:40	 92.70%	10:54:39
00:49:50	 92.40%	10:54:16
00:50:00	 92.30%	10:54:17
00:50:10	 92.00%	10:53:42
00:50:20	 91.96%	10:53:55
00:50:30	 91.95%	10:53:44
00:50:40	 91.92%	10:53:33
00:50:50	 91.89%	10:55:11
00:51:00	 91.87%	10:53:10
00:51:10	 91.84%	10:53:23
00:51:20	 91.81%	10:53:12
00:51:30	 91.79%	10:53:01
00:51:40	 91.76%	10:52:38
00:51:50	 91.73%	10:52:39
00:52:00	 91.70%	10:54:05
00:52:10	 91.70%	10:53:41
00:52:20	 91.68%	10:52:17
00:52:30	 91.65%	10:56:21
00:52:40	 91.62%	10:52:31
00:52:50	 91.60%	10:52:44
00:53:00	 91.57%	10:51:44
00:53:10	 91.56%	10:51:45
00:53:20	 91.53%	10:51:34
00:53:30	 91.50%	10:52:36
00:53:40	 91.48%	10:51:24
00:53:50	 91.45%	10:51:01
00:54:00	 91.43%	10:51:14
00:54:10	 91.40%	10:51:39
00:54:20	 91.37%	10:50:27
00:54:30	 91.34%	10:50:16
00:54:40	 91.31%	10:50:17
00:54:50	 91.29%	10:50:30
00:55:00	 91.26%	10:51:44
00:55:10	 91.23%	10:36:21
00:55:20	 91.21%	10:51:58
00:55:30	 91.18%	10:51:22
00:55:40	 91.15%	10:50:59
00:55:50	 91.14%	10:51:12
00:56:00	 91.10%	10:51:25
00:56:10	 91.90%	10:52:03
00:56:20	 91.90%	10:50:38
00:56:30	 91.30%	10:50:52
00:56:40	 91.10%	10:50:40
00:56:50	 91.10%	10:50:16
00:57:00	 90.98%	10:50:05
00:57:10	 90.95%	10:49:54
00:57:20	 90.93%	10:50:19
00:57:30	 90.90%	10:49:44
00:57:40	 90.87%	10:49:32
00:57:50	 90.84%	10:49:46
00:58:00	 90.82%	10:49:34
00:58:10	 90.79%	10:48:59
00:58:20	 90.76%	10:49:24
00:58:30	 90.75%	10:48:49
00:58:40	 90.71%	10:48:50
00:58:50	 90.70%	10:49:51
00:59:00	 90.67%	10:48:39
00:59:10	 90.64%	10:48:16
00:59:20	 90.62%	10:48:29
00:59:30	 90.59%	10:47:54
00:59:40	 90.56%	10:47:55
00:59:50	 90.54%	10:47:43
01:00:00	 90.54%	10:50:45
01:00:10	 90.51%	10:47:20
01:00:20	 90.48%	10:47:45
01:00:30	 90.45%	10:47:34
01:00:40	 90.43%	10:47:35
01:00:50	 90.40%	10:47:00
01:01:00	 90.37%	10:47:00
01:01:10	 90.35%	10:46:49
01:01:20	 90.32%	10:46:38
01:01:30	 90.29%	10:47:03
01:01:40	 90.28%	10:46:28
01:01:50	 90.25%	10:46:04
01:02:00	 90.23%	10:47:30
01:02:10	 90.20%	10:45:42
01:02:20	 90.17%	10:45:31
01:02:30	 90.15%	10:45:20
01:02:40	 90.12%	10:45:20
01:02:50	 90.90%	10:45:09
01:03:00	 90.60%	10:45:10
01:03:10	 90.40%	10:44:59
01:03:20	 90.10%	10:45:24
01:03:30	 89.98%	10:44:37
01:03:40	 89.98%	10:44:37
01:03:50	 89.96%	10:45:01
01:04:00	 89.93%	10:45:14
01:04:10	 89.90%	10:45:03
01:04:20	 89.89%	10:44:16
01:04:30	 89.85%	10:44:17
01:04:40	 89.84%	10:44:29
01:04:50	 89.81%	10:43:54
01:05:00	 89.78%	10:43:19
01:05:10	 89.76%	10:43:32
01:05:20	 89.73%	10:44:09
01:05:30	 89.70%	10:43:33
01:05:40	 89.68%	10:43:10
01:05:50	 89.65%	10:42:59
01:06:00	 89.62%	10:42:36
01:06:10	 89.59%	10:42:37
01:06:20	 89.57%	10:42:37
01:06:30	 89.54%	10:42:14
01:06:40	 89.51%	10:42:03
01:06:50	 89.50%	10:42:28
01:07:00	 89.46%	10:41:52
01:07:10	 89.43%	10:42:05
01:07:20	 89.42%	10:42:18
01:07:30	 89.42%	10:41:30
01:07:40	 89.39%	10:41:19
01:07:50	 89.37%	10:41:20
01:08:00	 89.34%	10:41:08
01:08:10	 89.31%	10:40:57
01:08:20	 89.29%	10:40:46
01:08:30	 89.26%	10:40:47
01:08:40	 89.23%	10:40:11
01:08:50	 89.20%	10:40:12
01:09:00	 89.18%	10:40:01
01:09:10	 89.15%	10:40:14
01:09:20	 89.12%	10:39:39
01:09:30	 89.10%	10:39:51
01:09:40	 89.70%	10:39:40
01:09:50	 89.40%	10:40:05
01:10:00	 89.30%	10:40:42
01:10:10	 89.00%	10:39:18
01:10:20	 88.98%	10:39:07
01:10:30	 88.95%	10:38:56
01:10:40	 88.95%	10:39:08
01:10:50	 88.92%	10:38:45
01:11:00	 88.87%	10:38:22
01:11:10	 88.87%	10:39:10
01:11:20	 88.84%	10:38:11
01:11:30	 88.81%	10:38:00
01:11:40	 88.79%	10:38:00
01:11:50	 88.76%	10:38:25
01:12:00	 88.73%	10:38:26
01:12:10	 88.71%	10:37:39
01:12:20	 88.68%	10:37:39
01:12:30	 88.65%	10:37:28
01:12:40	 88.64%	10:38:17
01:12:50	 88.60%	10:36:54
01:13:00	 88.57%	10:37:18
01:13:10	 88.56%	10:36:31
01:13:20	 88.53%	10:36:56
01:13:30	 88.51%	10:36:21
01:13:40	 88.48%	10:36:45
01:13:50	 88.45%	10:36:10
01:14:00	 88.43%	10:35:47
01:14:10	 88.40%	10:35:36
01:14:20	 88.40%	10:36:00
01:14:30	 88.37%	10:35:36
01:14:40	 88.34%	10:35:25
01:14:50	 88.31%	10:35:26
01:15:00	 88.29%	10:35:26
01:15:10	 88.26%	10:35:15
01:15:20	 88.25%	10:35:04
01:15:30	 88.21%	10:34:29
01:15:40	 88.18%	10:34:30
01:15:50	 88.17%	10:35:18
01:16:00	 88.14%	10:34:19
01:16:10	 88.12%	10:34:08
01:16:20	 88.90%	10:35:08
01:16:30	 88.60%	10:33:33
01:16:40	 88.40%	10:33:34
01:16:50	 88.10%	10:33:23
01:17:00	 87.98%	10:33:23
01:17:10	 87.95%	10:33:24
01:17:20	 87.93%	10:33:13
01:17:30	 87.90%	10:33:01
01:17:40	 87.87%	10:33:02
01:17:50	 87.85%	10:32:39
01:18:00	 87.82%	10:32:51
01:18:10	 87.82%	10:32:51
01:18:20	 87.79%	10:32:16
01:18:30	 87.78%	10:33:04
01:18:40	 87.75%	10:31:54
01:18:50	 87.71%	10:32:06
01:19:00	 87.70%	10:32:54
01:19:10	 87.67%	10:32:43
01:19:20	 87.65%	10:31:21
01:19:30	 87.62%	10:31:45
01:19:40	 87.59%	10:30:58
01:19:50	 87.56%	10:31:22
01:20:00	 87.54%	10:30:47
01:20:10	 87.51%	10:31:12
01:20:20	 87.48%	10:30:49
01:20:30	 87.45%	10:31:01
01:20:40	 87.43%	10:30:14
01:20:50	 87.40%	10:30:27
01:21:00	 87.39%	10:29:40
01:21:10	 87.35%	10:30:40
01:21:20	 87.32%	10:29:41
01:21:30	 87.32%	10:29:41
01:21:40	 87.28%	10:31:53
01:21:50	 87.28%	10:30:18
01:22:00	 87.26%	10:30:06
01:22:10	 87.23%	10:29:08
01:22:20	 87.20%	10:28:45
01:22:30	 87.18%	10:28:45
01:22:40	 87.15%	10:28:34
01:22:50	 87.12%	10:28:34
01:23:00	 87.90%	10:28:47
01:23:10	 87.60%	10:28:47
01:23:20	 87.40%	10:28:00
01:23:30	 87.10%	10:27:49
01:23:40	 87.00%	10:27:38
01:23:50	 86.96%	10:28:49
01:24:00	 86.93%	10:27:15
01:24:10	 86.92%	10:27:39
01:24:20	 86.89%	10:28:04
01:24:30	 86.85%	10:26:53
01:24:40	 86.84%	10:26:54
01:24:50	 86.81%	10:26:43
01:25:00	 86.79%	10:24:57
01:25:10	 86.76%	10:02:32
01:25:20	 86.73%	10:28:07
01:25:30	 86.70%	10:24:35
01:25:40	 86.68%	10:24:47
01:25:50	 86.65%	10:24:24
01:26:00	 86.62%	10:24:25
01:26:10	 86.59%	10:23:50
01:26:20	 86.57%	10:24:02
01:26:30	 86.57%	10:24:37
01:26:40	 86.54%	10:23:51
01:26:50	 86.53%	10:23:28
01:27:00	 86.50%	10:25:14
01:27:10	 86.46%	10:22:54
01:27:20	 86.45%	10:22:54
01:27:30	 86.42%	10:23:06
01:27:40	 86.40%	10:22:43
01:27:50	 86.37%	10:23:19
01:28:00	 86.34%	10:22:32
01:28:10	 86.31%	10:22:21
01:28:20	 86.29%	10:23:08
01:28:30	 86.26%	10:21:47
01:28:40	 86.23%	10:21:47
01:28:50	 86.20%	10:21:48
01:29:00	 86.18%	10:21:48
01:29:10	 86.15%	10:21:25
01:29:20	 86.14%	10:21:26
01:29:30	 86.10%	10:21:03
01:29:40	 86.70%	10:22:13
01:29:50	 86.60%	10:20:40
01:30:00	 86.30%	10:21:27
01:30:10	 86.30%	10:20:29
01:30:20	 86.00%	10:20:41
01:30:30	 85.98%	10:20:06
01:30:40	 85.95%	10:20:18
01:30:50	 85.93%	10:20:07
01:31:00	 85.90%	10:20:31
01:31:10	 85.87%	10:19:44
01:31:20	 85.84%	10:19:22
01:31:30	 85.81%	10:19:22
01:31:40	 85.79%	10:19:11
01:31:50	 85.76%	10:19:11
01:32:00	 85.73%	10:19:35
01:32:10	 85.71%	10:19:00
01:32:20	 85.68%	10:20:57
01:32:30	 85.67%	10:18:26
01:32:40	 85.64%	10:18:03
01:32:50	 85.60%	10:18:26
01:33:00	 85.59%	10:18:04
01:33:10	 85.56%	10:18:04
01:33:20	 85.56%	10:17:52
01:33:30	 85.51%	10:17:53
01:33:40	 85.48%	10:17:42
01:33:50	 85.45%	10:17:07
01:34:00	 85.45%	10:17:30
01:34:10	 85.43%	10:17:42
01:34:20	 85.40%	10:16:45
01:34:30	 85.37%	10:17:08
01:34:40	 85.34%	10:16:45
01:34:50	 85.32%	10:16:57
01:35:00	 85.29%	10:17:21
01:35:10	 85.26%	10:16:00
01:35:20	 85.25%	10:16:00
01:35:30	 85.21%	10:15:49
01:35:40	 85.20%	10:15:37
01:35:50	 85.17%	10:15:26
01:36:00	 85.14%	10:15:38
01:36:10	 85.12%	10:15:38
01:36:20	 85.90%	10:14:52
01:36:30	 85.60%	10:14:41
01:36:40	 85.40%	10:14:41
01:36:50	 85.10%	10:14:41
01:37:00	 85.10%	10:14:41
01:37:10	 84.98%	10:17:36
01:37:20	 84.95%	10:14:19
01:37:30	 84.90%	10:14:08
01:37:40	 84.90%	10:14:19
01:37:50	 84.87%	10:13:45
01:38:00	 84.85%	10:14:31
01:38:10	 84.82%	10:14:20
01:38:20	 84.81%	10:13:34
01:38:30	 84.78%	10:13:11
01:38:40	 84.75%	10:13:58
01:38:50	 84.73%	10:13:35
01:39:00	 84.70%	10:13:12
01:39:10	 84.68%	10:12:38
01:39:20	 84.65%	10:12:49
01:39:30	 84.62%	10:12:38
01:39:40	 84.59%	10:12:15
01:39:50	 84.56%	10:12:04
01:40:00	 84.54%	10:12:16
01:40:10	 84.51%	10:12:04
01:40:20	 84.48%	10:12:28
01:40:30	 84.46%	10:11:19
01:40:40	 84.46%	10:11:19
01:40:50	 84.43%	10:12:17
