### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	Lenovo-Yoga-530-oldBatt-Fedora_videoNoSound_-_1.txt
# minimum_soc	:	15
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
00:00:00	 99.93%	03:33:46
00:00:10	 99.84%	03:13:41
00:00:20	 99.73%	03:17:14
00:00:30	 99.68%	03:23:38
00:00:40	 99.57%	03:42:43
00:00:50	 99.51%	04:08:42
00:01:00	 99.45%	03:41:04
00:01:10	 99.35%	03:40:02
00:01:20	 99.35%	03:41:36
00:01:30	 99.29%	03:38:32
00:01:40	 99.20%	03:38:34
00:01:50	 99.12%	03:39:13
00:02:00	 99.40%	03:41:20
00:02:10	 98.96%	03:41:56
00:02:20	 98.90%	03:50:25
00:02:30	 98.81%	03:53:38
00:02:40	 98.75%	04:03:45
00:02:50	 98.68%	04:00:26
00:03:00	 98.59%	04:02:30
00:03:10	 98.53%	03:49:52
00:03:20	 98.45%	03:45:30
00:03:30	 98.37%	03:36:36
00:03:40	 98.29%	03:38:23
00:03:50	 98.20%	03:39:44
00:04:00	 98.14%	03:44:33
00:04:10	 98.70%	03:39:57
00:04:20	 97.98%	03:35:42
00:04:30	 97.89%	03:36:41
00:04:40	 97.81%	03:37:47
00:04:50	 97.73%	03:39:39
00:05:00	 97.65%	03:39:23
00:05:10	 97.59%	03:43:09
00:05:20	 97.50%	03:40:14
00:05:30	 97.43%	03:47:09
00:05:40	 97.37%	03:51:04
00:05:50	 97.31%	04:00:10
00:06:00	 97.23%	03:57:45
00:06:10	 97.15%	03:56:32
00:06:20	 97.70%	03:52:41
00:06:30	 97.10%	03:46:21
00:06:40	 96.92%	03:38:08
00:06:50	 96.85%	03:38:16
00:07:00	 96.76%	03:38:01
00:07:10	 96.70%	03:39:45
00:07:20	 96.59%	03:38:06
00:07:30	 96.54%	03:36:11
00:07:40	 96.48%	03:31:59
00:07:50	 96.37%	03:28:27
00:08:00	 96.31%	03:27:40
00:08:10	 96.21%	03:29:21
00:08:20	 96.12%	03:32:45
00:08:30	 96.30%	03:32:22
00:08:40	 95.93%	03:38:56
00:08:50	 95.82%	03:48:50
00:09:00	 95.76%	03:53:34
00:09:10	 95.67%	03:51:21
00:09:20	 95.57%	03:50:42
00:09:30	 95.48%	03:40:36
00:09:40	 95.39%	03:34:25
00:09:50	 95.31%	03:31:40
00:10:00	 95.23%	03:32:29
00:10:10	 95.12%	03:33:43
00:10:20	 95.30%	03:36:02
00:10:30	 94.93%	03:35:05
00:10:40	 94.84%	03:32:41
00:10:50	 94.75%	03:31:26
00:11:00	 94.65%	03:28:45
00:11:10	 94.54%	03:28:38
00:11:20	 94.45%	03:30:11
00:11:30	 94.39%	03:32:37
00:11:40	 94.29%	03:30:50
00:11:50	 94.20%	03:38:19
00:12:00	 94.90%	03:43:56
00:12:10	 94.40%	03:50:18
00:12:20	 93.93%	03:50:24
00:12:30	 93.87%	03:51:00
00:12:40	 93.78%	03:44:26
00:12:50	 93.68%	03:35:04
00:13:00	 93.56%	03:33:00
00:13:10	 93.50%	03:29:46
00:13:20	 93.40%	03:30:06
00:13:30	 93.29%	03:32:20
00:13:40	 93.20%	03:32:13
00:13:50	 93.10%	03:28:11
00:14:00	 93.10%	03:26:54
00:14:10	 92.92%	03:24:13
00:14:20	 92.81%	03:22:21
00:14:30	 92.73%	03:22:48
00:14:40	 92.62%	03:23:25
00:14:50	 92.56%	03:23:45
00:15:00	 92.46%	03:27:13
00:15:10	 92.37%	03:36:21
00:15:20	 92.28%	03:42:08
00:15:30	 92.18%	03:47:06
00:15:40	 92.12%	03:46:24
00:15:50	 92.10%	03:42:19
00:16:00	 91.93%	03:33:18
00:16:10	 91.82%	03:28:50
00:16:20	 91.73%	03:28:32
00:16:30	 91.67%	03:29:08
00:16:40	 91.56%	03:29:02
00:16:50	 91.48%	03:30:11
00:17:00	 91.37%	03:25:32
00:17:10	 91.28%	03:22:27
00:17:20	 91.18%	03:24:08
00:17:30	 91.90%	03:23:59
00:17:40	 91.00%	03:23:07
00:17:50	 90.90%	03:22:16
00:18:00	 90.79%	03:22:02
00:18:10	 90.73%	03:24:05
00:18:20	 90.64%	03:32:13
00:18:30	 90.54%	03:39:26
00:18:40	 90.48%	03:44:30
00:18:50	 90.39%	03:42:51
00:19:00	 90.29%	03:38:11
00:19:10	 90.23%	03:33:02
00:19:20	 90.12%	03:22:44
00:19:30	 90.00%	03:19:50
00:19:40	 89.90%	03:19:44
00:19:50	 89.81%	03:19:54
00:20:00	 89.75%	03:23:24
00:20:10	 89.65%	03:20:12
00:20:20	 89.54%	03:18:05
00:20:30	 89.45%	03:18:03
00:20:40	 89.35%	03:17:43
00:20:50	 89.26%	03:17:56
00:21:00	 89.17%	03:15:57
00:21:10	 89.60%	03:18:51
00:21:20	 88.98%	03:16:51
00:21:30	 88.87%	03:09:37
00:21:40	 88.71%	02:29:43
00:21:50	 88.56%	02:13:33
00:22:00	 88.46%	02:23:33
00:22:10	 88.37%	02:47:55
00:22:20	 88.26%	03:02:51
00:22:30	 88.18%	03:08:41
00:22:40	 88.70%	03:09:56
00:22:50	 88.10%	03:14:24
00:23:00	 87.92%	03:16:40
00:23:10	 87.81%	03:19:29
00:23:20	 87.73%	03:17:48
00:23:30	 87.62%	03:16:14
00:23:40	 87.54%	03:16:13
00:23:50	 87.43%	03:13:09
00:24:00	 87.34%	03:13:36
00:24:10	 87.25%	03:11:11
00:24:20	 87.12%	02:55:11
00:24:30	 87.60%	03:03:53
00:24:40	 86.95%	03:14:52
00:24:50	 86.85%	03:21:23
00:25:00	 86.79%	03:30:50
00:25:10	 86.70%	03:32:35
00:25:20	 86.60%	03:32:45
00:25:30	 86.54%	03:26:22
00:25:40	 86.45%	03:20:07
00:25:50	 86.31%	03:15:22
00:26:00	 86.21%	03:16:03
00:26:10	 86.15%	03:14:47
00:26:20	 86.60%	03:16:22
00:26:30	 85.96%	03:13:05
00:26:40	 85.87%	03:10:29
00:26:50	 85.76%	03:10:48
00:27:00	 85.68%	03:08:13
00:27:10	 85.60%	03:09:15
00:27:20	 85.51%	03:08:31
00:27:30	 85.42%	03:11:08
00:27:40	 85.32%	03:07:34
00:27:50	 85.23%	03:14:13
00:28:00	 85.12%	03:20:07
00:28:10	 85.40%	03:27:31
00:28:20	 84.96%	03:27:20
00:28:30	 84.87%	03:29:54
00:28:40	 84.78%	03:21:14
00:28:50	 84.68%	03:14:57
00:29:00	 84.62%	03:12:01
00:29:10	 84.51%	03:11:30
00:29:20	 84.43%	03:09:10
00:29:30	 84.32%	03:11:23
00:29:40	 84.23%	03:08:00
00:29:50	 84.14%	03:04:36
00:30:00	 84.40%	03:04:44
00:30:10	 83.95%	03:02:05
00:30:20	 83.84%	03:03:22
00:30:30	 83.76%	03:03:13
00:30:40	 83.65%	03:04:06
00:30:50	 83.56%	03:03:04
00:31:00	 83.46%	03:09:31
00:31:10	 83.37%	03:13:07
00:31:20	 83.31%	03:19:18
00:31:30	 83.20%	03:20:44
00:31:40	 83.15%	03:23:34
00:31:50	 83.40%	03:19:20
00:32:00	 82.95%	03:10:37
00:32:10	 82.85%	03:08:04
00:32:20	 82.76%	03:07:41
00:32:30	 82.67%	03:05:07
00:32:40	 82.56%	03:07:38
00:32:50	 82.46%	03:05:28
00:33:00	 82.37%	03:03:33
00:33:10	 82.31%	03:02:32
00:33:20	 82.21%	03:00:51
00:33:30	 82.12%	03:01:19
00:33:40	 82.10%	02:59:59
00:33:50	 81.93%	02:59:42
00:34:00	 81.82%	02:59:13
00:34:10	 81.73%	03:02:58
00:34:20	 81.64%	03:07:46
00:34:30	 81.54%	03:12:04
00:34:40	 81.48%	03:16:25
00:34:50	 81.37%	03:20:49
00:35:00	 81.29%	03:14:34
00:35:10	 81.18%	03:07:20
00:35:20	 81.90%	03:05:49
00:35:30	 81.30%	03:03:15
00:35:40	 80.93%	03:01:59
00:35:50	 80.84%	03:03:17
00:36:00	 80.73%	03:05:10
00:36:10	 80.65%	03:00:34
00:36:20	 80.54%	02:58:11
00:36:30	 80.45%	03:00:01
00:36:40	 80.35%	02:58:22
00:36:50	 80.26%	02:59:17
00:37:00	 80.17%	02:56:51
00:37:10	 80.60%	02:57:00
00:37:20	 79.96%	02:59:49
00:37:30	 79.87%	03:04:55
00:37:40	 79.78%	03:08:19
00:37:50	 79.68%	03:12:56
00:38:00	 79.62%	03:16:59
00:38:10	 79.53%	03:12:40
00:38:20	 79.43%	03:06:58
00:38:30	 79.29%	02:59:05
00:38:40	 79.20%	02:57:50
00:38:50	 79.10%	02:56:53
00:39:00	 79.10%	02:58:18
00:39:10	 78.92%	02:58:48
00:39:20	 78.79%	02:55:17
00:39:30	 78.68%	02:53:40
00:39:40	 78.59%	02:52:13
00:39:50	 78.50%	02:51:13
00:40:00	 78.40%	02:51:20
00:40:10	 78.31%	02:49:19
00:40:20	 78.18%	02:54:00
00:40:30	 78.70%	02:51:17
00:40:40	 77.98%	02:58:50
00:40:50	 77.89%	03:03:38
00:41:00	 77.79%	03:07:48
00:41:10	 77.70%	03:07:03
00:41:20	 77.59%	03:07:52
00:41:30	 77.51%	03:01:13
00:41:40	 77.40%	02:54:54
00:41:50	 77.31%	02:54:39
00:42:00	 77.21%	02:55:32
00:42:10	 77.12%	02:54:45
00:42:20	 77.30%	02:56:21
00:42:30	 76.93%	02:51:00
00:42:40	 76.82%	02:49:03
00:42:50	 76.70%	02:49:56
00:43:00	 76.60%	02:48:09
00:43:10	 76.51%	02:46:53
00:43:20	 76.42%	02:46:10
00:43:30	 76.31%	02:48:22
00:43:40	 76.23%	02:48:50
00:43:50	 76.12%	02:54:18
00:44:00	 76.30%	02:57:47
00:44:10	 75.93%	03:03:00
00:44:20	 75.84%	02:59:29
00:44:30	 75.73%	02:59:31
00:44:40	 75.65%	02:55:38
00:44:50	 75.54%	02:50:11
00:45:00	 75.42%	02:46:53
00:45:10	 75.32%	02:48:06
00:45:20	 75.23%	02:48:16
00:45:30	 75.14%	02:51:37
00:45:40	 75.40%	02:47:53
00:45:50	 74.93%	02:46:04
00:46:00	 74.84%	02:45:39
00:46:10	 74.75%	02:43:45
00:46:20	 74.65%	02:44:41
00:46:30	 74.53%	02:44:04
00:46:40	 74.43%	02:45:50
00:46:50	 74.34%	02:43:20
00:47:00	 74.23%	02:49:01
00:47:10	 74.14%	02:51:37
00:47:20	 74.40%	03:00:17
00:47:30	 73.95%	02:58:53
00:47:40	 73.84%	02:59:07
00:47:50	 73.76%	02:52:06
00:48:00	 73.65%	02:46:50
00:48:10	 73.56%	02:43:31
00:48:20	 73.46%	02:43:24
00:48:30	 73.37%	02:45:27
00:48:40	 73.28%	02:46:40
00:48:50	 73.18%	02:45:37
00:49:00	 73.90%	02:42:23
00:49:10	 72.95%	02:40:10
00:49:20	 72.85%	02:37:27
00:49:30	 72.76%	02:38:54
00:49:40	 72.67%	02:37:55
00:49:50	 72.54%	02:37:22
00:50:00	 72.43%	02:37:31
00:50:10	 72.34%	02:44:21
00:50:20	 72.25%	02:47:09
00:50:30	 72.18%	02:53:17
00:50:40	 72.90%	02:51:34
00:50:50	 72.00%	02:53:46
00:51:00	 71.90%	02:48:42
00:51:10	 71.79%	02:44:26
00:51:20	 71.68%	02:43:43
00:51:30	 71.57%	02:44:53
00:51:40	 71.48%	02:40:54
00:51:50	 71.39%	02:42:34
00:52:00	 71.29%	02:40:49
00:52:10	 71.20%	02:38:59
00:52:20	 71.90%	02:37:39
00:52:30	 70.96%	02:33:59
00:52:40	 70.87%	02:34:24
00:52:50	 70.78%	02:34:19
00:53:00	 70.68%	02:34:57
00:53:10	 70.59%	02:33:21
00:53:20	 70.48%	02:37:35
00:53:30	 70.35%	02:43:06
00:53:40	 70.29%	02:46:29
00:53:50	 70.20%	02:47:38
00:54:00	 70.60%	02:41:37
00:54:10	 69.98%	02:31:08
00:54:20	 69.87%	02:29:58
00:54:30	 69.79%	02:18:25
00:54:40	 69.65%	02:24:48
00:54:50	 69.56%	02:25:40
00:55:00	 69.45%	02:31:14
00:55:10	 69.37%	02:34:22
00:55:20	 69.26%	02:33:14
00:55:30	 69.18%	02:32:27
00:55:40	 69.40%	02:32:46
00:55:50	 68.95%	02:33:16
00:56:00	 68.85%	02:31:39
00:56:10	 68.76%	02:30:47
00:56:20	 68.65%	02:32:40
00:56:30	 68.56%	02:34:11
00:56:40	 68.46%	02:37:39
00:56:50	 68.37%	02:41:37
00:57:00	 68.28%	02:44:39
00:57:10	 68.18%	02:47:05
00:57:20	 68.90%	02:43:57
00:57:30	 67.98%	02:36:42
00:57:40	 67.85%	02:32:56
00:57:50	 67.76%	02:32:14
00:58:00	 67.67%	02:32:27
00:58:10	 67.56%	02:33:56
00:58:20	 67.48%	02:34:26
00:58:30	 67.37%	02:31:07
00:58:40	 67.29%	02:28:51
00:58:50	 67.18%	02:28:27
00:59:00	 67.90%	02:27:29
00:59:10	 67.00%	02:27:39
00:59:20	 66.87%	02:24:59
00:59:30	 66.81%	02:26:06
00:59:40	 66.68%	02:27:15
00:59:50	 66.57%	02:30:27
01:00:00	 66.48%	02:33:13
01:00:10	 66.39%	02:38:44
01:00:20	 66.29%	02:38:26
01:00:30	 66.20%	02:36:45
01:00:40	 66.90%	02:30:20
01:00:50	 66.00%	02:26:15
01:01:00	 65.90%	02:25:40
01:01:10	 65.81%	02:25:46
01:01:20	 65.71%	02:26:58
01:01:30	 65.62%	02:29:42
01:01:40	 65.51%	02:26:40
01:01:50	 65.40%	02:24:34
01:02:00	 65.29%	02:24:34
01:02:10	 65.20%	02:23:56
01:02:20	 65.70%	02:24:15
01:02:30	 64.98%	02:22:42
01:02:40	 64.87%	02:23:56
01:02:50	 64.79%	02:24:42
01:03:00	 64.68%	02:30:58
01:03:10	 64.59%	02:33:06
01:03:20	 64.53%	02:36:01
01:03:30	 64.43%	02:36:15
01:03:40	 64.34%	02:35:58
01:03:50	 64.23%	02:31:08
01:04:00	 64.15%	02:25:45
01:04:10	 64.10%	02:23:40
01:04:20	 63.92%	02:22:05
01:04:30	 63.82%	02:21:51
01:04:40	 63.72%	02:24:32
01:04:50	 63.63%	02:21:47
01:05:00	 63.53%	02:20:27
01:05:10	 63.43%	02:20:42
01:05:20	 63.35%	02:19:27
01:05:30	 63.25%	02:19:21
01:05:40	 63.11%	02:18:28
01:05:50	 63.20%	02:20:20
01:06:00	 62.92%	02:19:00
01:06:10	 62.82%	02:24:16
01:06:20	 62.74%	02:26:33
01:06:30	 62.64%	02:30:43
01:06:40	 62.53%	02:28:21
01:06:50	 62.45%	02:28:48
01:07:00	 62.35%	02:24:53
01:07:10	 62.25%	02:20:22
01:07:20	 62.15%	02:17:39
01:07:30	 62.60%	02:18:19
01:07:40	 61.96%	02:18:48
01:07:50	 61.86%	02:21:15
01:08:00	 61.78%	02:18:59
01:08:10	 61.67%	02:18:17
01:08:20	 61.54%	02:16:35
01:08:30	 61.45%	02:15:52
01:08:40	 61.35%	02:14:59
01:08:50	 61.22%	02:13:46
01:09:00	 61.13%	02:15:52
01:09:10	 61.30%	02:14:41
01:09:20	 60.93%	02:17:59
01:09:30	 60.85%	02:21:31
01:09:40	 60.75%	02:25:29
01:09:50	 60.68%	02:24:56
01:10:00	 60.59%	02:24:50
01:10:10	 60.49%	02:21:07
01:10:20	 60.39%	02:16:32
01:10:30	 60.27%	02:14:46
01:10:40	 60.17%	02:13:45
01:10:50	 60.70%	02:14:18
01:11:00	 59.97%	02:16:30
01:11:10	 59.88%	02:14:42
01:11:20	 59.78%	02:13:02
01:11:30	 59.68%	02:13:02
01:11:40	 59.60%	02:10:38
01:11:50	 59.50%	02:10:46
01:12:00	 59.36%	02:10:41
01:12:10	 59.28%	02:12:01
01:12:20	 59.17%	02:09:58
01:12:30	 59.70%	02:13:47
01:12:40	 58.99%	02:17:19
01:12:50	 58.89%	02:20:59
01:13:00	 58.79%	02:20:35
01:13:10	 58.70%	02:20:34
01:13:20	 58.60%	02:18:18
01:13:30	 58.50%	02:13:50
01:13:40	 58.40%	02:13:00
01:13:50	 58.31%	02:11:00
01:14:00	 58.21%	02:11:11
01:14:10	 58.11%	02:10:35
01:14:20	 58.30%	02:09:27
01:14:30	 57.92%	02:07:04
01:14:40	 57.79%	02:06:10
01:14:50	 57.71%	02:05:32
01:15:00	 57.60%	02:06:15
01:15:10	 57.50%	02:05:34
01:15:20	 57.42%	02:05:56
01:15:30	 57.32%	02:05:46
01:15:40	 57.22%	02:08:39
01:15:50	 57.13%	02:12:00
01:16:00	 57.30%	02:15:49
01:16:10	 56.93%	02:17:08
01:16:20	 56.86%	02:17:16
01:16:30	 56.78%	02:14:16
01:16:40	 56.64%	02:08:27
01:16:50	 56.54%	02:05:58
01:17:00	 56.46%	02:05:01
01:17:10	 56.35%	02:04:45
01:17:20	 56.25%	02:07:38
01:17:30	 56.17%	02:08:47
01:17:40	 56.70%	02:06:04
01:17:50	 55.93%	02:04:55
01:18:00	 55.85%	02:02:46
01:18:10	 55.75%	02:03:38
01:18:20	 55.65%	02:02:34
01:18:30	 55.56%	02:01:49
01:18:40	 55.46%	02:03:09
01:18:50	 55.36%	02:04:16
01:19:00	 55.24%	02:08:30
01:19:10	 55.17%	02:10:25
01:19:20	 55.70%	02:13:14
01:19:30	 54.97%	02:12:19
01:19:40	 54.89%	02:09:47
01:19:50	 54.78%	02:05:10
01:20:00	 54.68%	02:03:43
01:20:10	 54.60%	02:03:01
01:20:20	 54.50%	02:02:55
01:20:30	 54.40%	02:02:12
01:20:40	 54.31%	02:03:57
01:20:50	 54.21%	02:00:55
01:21:00	 54.90%	01:59:36
01:21:10	 53.99%	01:59:25
01:21:20	 53.89%	01:58:32
01:21:30	 53.79%	01:57:49
01:21:40	 53.67%	01:57:34
01:21:50	 53.57%	01:58:38
01:22:00	 53.50%	01:58:50
01:22:10	 53.40%	02:03:03
01:22:20	 53.32%	02:05:52
01:22:30	 53.21%	02:08:49
01:22:40	 53.11%	02:08:14
01:22:50	 53.30%	02:06:34
01:23:00	 52.92%	02:02:37
01:23:10	 52.84%	01:58:26
01:23:20	 52.71%	01:56:14
01:23:30	 52.60%	01:57:03
01:23:40	 52.52%	01:56:55
01:23:50	 52.42%	01:58:38
01:24:00	 52.32%	01:56:44
01:24:10	 52.22%	01:55:09
01:24:20	 52.10%	01:44:16
01:24:30	 52.00%	01:47:46
01:24:40	 51.90%	01:50:23
01:24:50	 51.81%	01:51:21
01:25:00	 51.71%	01:54:28
01:25:10	 51.61%	01:52:26
01:25:20	 51.49%	01:57:29
01:25:30	 51.39%	01:59:18
01:25:40	 51.32%	02:02:50
01:25:50	 51.22%	02:01:58
01:26:00	 51.14%	02:01:44
01:26:10	 51.30%	01:58:15
01:26:20	 50.95%	01:54:52
01:26:30	 50.85%	01:52:13
01:26:40	 50.71%	01:52:54
01:26:50	 50.61%	01:53:18
01:27:00	 50.56%	01:55:59
01:27:10	 50.42%	01:53:17
01:27:20	 50.34%	01:51:42
01:27:30	 50.24%	01:51:41
01:27:40	 50.14%	01:49:54
01:27:50	 50.40%	01:49:39
01:28:00	 49.92%	01:49:40
01:28:10	 49.82%	01:50:46
01:28:20	 49.72%	01:50:16
01:28:30	 49.63%	01:54:49
01:28:40	 49.57%	01:55:37
01:28:50	 49.46%	01:59:13
01:29:00	 49.38%	01:57:22
01:29:10	 49.28%	01:57:18
01:29:20	 49.17%	01:53:32
01:29:30	 49.90%	01:50:17
01:29:40	 48.96%	01:48:20
01:29:50	 48.85%	01:48:41
01:30:00	 48.77%	01:48:42
01:30:10	 48.67%	01:50:33
01:30:20	 48.57%	01:46:48
01:30:30	 48.47%	01:46:55
01:30:40	 48.38%	01:47:04
01:30:50	 48.25%	01:45:26
01:31:00	 48.15%	01:45:28
01:31:10	 48.60%	01:45:06
01:31:20	 47.96%	01:46:12
01:31:30	 47.86%	01:44:35
01:31:40	 47.77%	01:48:52
01:31:50	 47.67%	01:51:10
01:32:00	 47.57%	01:54:12
01:32:10	 47.47%	01:54:27
01:32:20	 47.39%	01:53:34
01:32:30	 47.28%	01:51:44
01:32:40	 47.20%	01:45:21
01:32:50	 47.10%	01:45:32
01:33:00	 47.00%	01:44:56
01:33:10	 46.90%	01:44:18
01:33:20	 46.81%	01:45:55
01:33:30	 46.71%	01:45:11
01:33:40	 46.61%	01:43:59
01:33:50	 46.49%	01:42:23
01:34:00	 46.39%	01:42:01
01:34:10	 46.29%	01:42:26
01:34:20	 46.20%	01:38:46
01:34:30	 46.10%	01:39:52
01:34:40	 45.97%	01:40:20
01:34:50	 45.88%	01:40:30
01:35:00	 45.78%	01:43:57
01:35:10	 45.71%	01:47:39
01:35:20	 45.63%	01:48:23
01:35:30	 45.53%	01:50:02
01:35:40	 45.42%	01:46:51
01:35:50	 45.34%	01:42:41
01:36:00	 45.21%	01:40:59
01:36:10	 45.10%	01:40:21
01:36:20	 45.20%	01:40:22
01:36:30	 44.92%	01:41:46
01:36:40	 44.82%	01:40:52
01:36:50	 44.72%	01:39:41
01:37:00	 44.63%	01:38:54
01:37:10	 44.53%	01:37:37
01:37:20	 44.40%	01:37:42
01:37:30	 44.31%	01:37:37
01:37:40	 44.21%	01:36:37
01:37:50	 44.11%	01:37:13
01:38:00	 44.20%	01:38:20
01:38:10	 43.92%	01:42:11
01:38:20	 43.82%	01:44:03
01:38:30	 43.74%	01:45:43
01:38:40	 43.64%	01:46:15
01:38:50	 43.53%	01:43:12
01:39:00	 43.45%	01:39:43
01:39:10	 43.35%	01:37:38
01:39:20	 43.25%	01:35:21
01:39:30	 43.15%	01:35:56
01:39:40	 43.60%	01:36:28
01:39:50	 42.96%	01:37:22
01:40:00	 42.86%	01:35:08
01:40:10	 42.77%	01:34:31
01:40:20	 42.64%	01:36:40
01:40:30	 42.54%	01:33:49
01:40:40	 42.45%	01:34:03
