### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	log_file/Lenovo-Yoga-530-oldBatt-Fedora_videoNoSound_-_2.txt
# minimum_soc	:	15
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown now
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
00:00:00	100.00%	01:14:55
00:00:10	100.00%	00:35:34
00:00:20	100.00%	00:22:14
00:00:30	100.00%	00:28:40
00:00:40	100.00%	00:33:31
00:00:50	100.00%	00:30:12
00:01:00	100.00%	00:34:29
00:01:10	100.00%	00:36:41
00:01:20	100.00%	00:36:32
00:01:30	100.00%	00:34:57
00:01:40	100.00%	00:34:11
00:01:50	100.00%	00:34:06
00:02:00	 94.90%	00:34:52
00:02:10	 93.70%	00:35:17
00:02:20	 93.14%	00:36:00
00:02:30	 92.56%	00:34:00
00:02:40	 92.18%	00:33:15
00:02:50	 91.81%	00:33:34
00:03:00	 91.23%	00:32:56
00:03:10	 90.85%	00:33:33
00:03:20	 90.29%	00:33:00
00:03:30	 89.90%	00:32:47
00:03:40	 89.51%	00:33:18
00:03:50	 88.95%	00:34:18
00:04:00	 88.56%	00:35:02
00:04:10	 88.18%	00:36:16
00:04:20	 87.81%	00:35:46
00:04:30	 87.43%	00:35:17
00:04:40	 86.85%	00:34:01
00:04:50	 86.48%	00:33:03
00:05:00	 85.90%	00:31:59
00:05:10	 85.51%	00:31:59
00:05:20	 85.14%	00:32:20
00:05:30	 84.76%	00:32:45
00:05:40	 84.18%	00:32:01
00:05:50	 83.81%	00:31:33
00:06:00	 83.43%	00:31:37
00:06:10	 82.85%	00:30:46
00:06:20	 82.48%	00:30:25
00:06:30	 81.90%	00:30:25
00:06:40	 81.51%	00:29:58
00:06:50	 80.95%	00:29:55
00:07:00	 80.56%	00:31:16
00:07:10	 80.18%	00:31:23
00:07:20	 79.81%	00:32:30
00:07:30	 79.43%	00:33:11
00:07:40	 79.40%	00:32:58
00:07:50	 78.67%	00:31:29
00:08:00	 78.90%	00:30:20
00:08:10	 77.70%	00:29:34
00:08:20	 77.51%	00:29:43
00:08:30	 77.32%	00:29:36
00:08:40	 77.14%	00:27:44
00:08:50	 76.95%	00:28:11
00:09:00	 76.95%	00:28:32
00:09:10	 76.76%	00:28:30
00:09:20	 76.56%	00:27:48
00:09:30	 76.37%	00:28:07
00:09:40	 76.37%	00:28:28
00:09:50	 76.18%	00:28:41
00:10:00	 76.00%	00:28:50
00:10:10	 76.00%	00:30:00
00:10:20	 75.81%	00:30:06
00:10:30	 75.81%	00:31:35
00:10:40	 75.62%	00:31:44
00:10:50	 75.43%	00:31:04
00:11:00	 75.43%	00:30:24
00:11:10	 75.23%	00:29:13
00:11:20	 75.40%	00:28:56
00:11:30	 74.85%	00:28:50
00:11:40	 74.85%	00:28:49
00:11:50	 74.67%	00:29:16
00:12:00	 74.48%	00:28:49
00:12:10	 74.48%	00:28:43
00:12:20	 74.29%	00:28:23
00:12:30	 74.90%	00:27:48
00:12:40	 74.90%	00:28:11
00:12:50	 73.90%	00:28:01
00:13:00	 73.70%	00:28:01
00:13:10	 73.51%	00:24:59
00:13:20	 73.51%	00:26:31
00:13:30	 73.32%	00:27:42
00:13:40	 73.14%	00:28:46
00:13:50	 73.14%	00:29:38
00:14:00	 72.95%	00:30:08
00:14:10	 72.76%	00:29:01
00:14:20	 72.76%	00:28:25
00:14:30	 72.56%	00:28:03
00:14:40	 72.37%	00:27:49
00:14:50	 72.37%	00:27:45
00:15:00	 72.18%	00:27:45
00:15:10	 72.00%	00:27:33
00:15:20	 71.81%	00:26:45
00:15:30	 71.81%	00:26:56
00:15:40	 71.62%	00:26:39
00:15:50	 71.43%	00:26:49
00:16:00	 71.43%	00:26:34
00:16:10	 71.23%	00:26:26
00:16:20	 71.40%	00:26:19
00:16:30	 71.40%	00:26:47
00:16:40	 70.85%	00:27:38
00:16:50	 70.67%	00:28:27
00:17:00	 70.67%	00:28:56
00:17:10	 70.48%	00:29:26
00:17:20	 70.29%	00:28:56
00:17:30	 70.29%	00:27:49
00:17:40	 70.90%	00:26:50
00:17:50	 69.90%	00:26:39
00:18:00	 69.90%	00:26:45
00:18:10	 69.70%	00:27:02
00:18:20	 69.51%	00:27:09
00:18:30	 69.51%	00:26:21
00:18:40	 69.32%	00:26:08
00:18:50	 69.14%	00:26:02
00:19:00	 68.95%	00:26:15
00:19:10	 68.95%	00:26:01
00:19:20	 68.76%	00:25:42
00:19:30	 68.56%	00:25:41
00:19:40	 68.56%	00:25:50
00:19:50	 68.37%	00:26:51
00:20:00	 68.18%	00:27:15
00:20:10	 68.18%	00:28:01
00:20:20	 68.00%	00:28:28
00:20:30	 67.81%	00:27:37
00:20:40	 67.81%	00:26:29
00:20:50	 67.62%	00:25:44
00:21:00	 67.43%	00:25:42
00:21:10	 67.43%	00:26:03
00:21:20	 67.23%	00:25:53
00:21:30	 67.40%	00:26:06
00:21:40	 67.40%	00:25:41
00:21:50	 66.85%	00:25:26
00:22:00	 66.67%	00:25:13
00:22:10	 66.48%	00:24:51
00:22:20	 66.48%	00:24:58
00:22:30	 66.29%	00:24:33
00:22:40	 66.90%	00:25:02
00:22:50	 66.90%	00:24:50
00:23:00	 65.90%	00:25:56
00:23:10	 65.70%	00:26:47
00:23:20	 65.70%	00:27:18
00:23:30	 65.51%	00:27:22
00:23:40	 65.51%	00:27:05
00:23:50	 65.32%	00:26:11
00:24:00	 65.14%	00:25:06
00:24:10	 64.95%	00:24:38
00:24:20	 64.95%	00:24:33
00:24:30	 64.76%	00:24:55
00:24:40	 64.56%	00:25:18
00:24:50	 64.56%	00:24:35
00:25:00	 64.37%	00:24:04
00:25:10	 64.18%	00:23:53
00:25:20	 64.00%	00:23:26
00:25:30	 64.00%	00:23:37
00:25:40	 63.81%	00:23:14
00:25:50	 63.61%	00:23:16
00:26:00	 63.42%	00:23:17
00:26:10	 63.42%	00:24:18
00:26:20	 63.24%	00:24:35
00:26:30	 63.24%	00:25:46
00:26:40	 63.40%	00:25:44
00:26:50	 62.85%	00:25:42
00:27:00	 62.85%	00:24:43
00:27:10	 62.67%	00:23:47
00:27:20	 62.47%	00:23:37
00:27:30	 62.28%	00:23:43
00:27:40	 62.28%	00:23:36
00:27:50	 62.10%	00:24:11
00:28:00	 61.89%	00:23:19
00:28:10	 61.89%	00:23:30
00:28:20	 61.71%	00:23:23
00:28:30	 61.52%	00:22:59
00:28:40	 61.32%	00:23:08
00:28:50	 61.32%	00:23:10
00:29:00	 61.14%	00:23:16
00:29:10	 60.95%	00:23:10
00:29:20	 60.95%	00:23:56
00:29:30	 60.75%	00:24:21
00:29:40	 60.75%	00:25:15
00:29:50	 60.57%	00:25:18
00:30:00	 60.38%	00:25:19
00:30:10	 60.38%	00:24:18
00:30:20	 60.18%	00:23:23
00:30:30	 60.00%	00:23:10
00:30:40	 59.81%	00:22:49
00:30:50	 59.81%	00:23:08
00:31:00	 59.61%	00:23:34
00:31:10	 59.42%	00:22:26
00:31:20	 59.42%	00:22:40
00:31:30	 59.24%	00:22:30
00:31:40	 59.40%	00:22:07
00:31:50	 59.40%	00:21:50
00:32:00	 58.85%	00:21:39
00:32:10	 58.67%	00:21:40
00:32:20	 58.47%	00:21:15
00:32:30	 58.47%	00:22:09
00:32:40	 58.28%	00:22:59
00:32:50	 58.10%	00:23:26
00:33:00	 58.10%	00:23:59
00:33:10	 57.89%	00:23:48
00:33:20	 57.71%	00:22:46
00:33:30	 57.71%	00:22:02
00:33:40	 57.52%	00:21:50
00:33:50	 57.32%	00:21:41
00:34:00	 57.32%	00:21:53
00:34:10	 57.14%	00:22:19
00:34:20	 56.95%	00:22:00
00:34:30	 56.95%	00:21:52
00:34:40	 56.75%	00:21:34
00:34:50	 56.57%	00:21:18
00:35:00	 56.38%	00:21:01
00:35:10	 56.38%	00:21:01
00:35:20	 56.18%	00:20:57
00:35:30	 56.00%	00:21:00
00:35:40	 56.00%	00:21:43
00:35:50	 55.81%	00:22:11
00:36:00	 55.61%	00:22:49
00:36:10	 55.61%	00:23:02
00:36:20	 55.42%	00:23:09
00:36:30	 55.42%	00:22:19
00:36:40	 55.24%	00:21:23
00:36:50	 55.40%	00:21:16
00:37:00	 54.85%	00:20:47
00:37:10	 54.85%	00:20:53
00:37:20	 54.67%	00:21:02
00:37:30	 54.47%	00:20:48
00:37:40	 54.47%	00:20:32
00:37:50	 54.28%	00:20:20
00:38:00	 54.28%	00:20:26
00:38:10	 54.28%	00:20:29
00:38:20	 54.10%	00:20:21
00:38:30	 54.10%	00:20:11
00:38:40	 54.10%	00:20:23
00:38:50	 53.89%	00:20:38
00:39:00	 53.89%	00:21:27
00:39:10	 53.89%	00:21:55
00:39:20	 53.71%	00:22:08
00:39:30	 53.71%	00:22:33
00:39:40	 53.71%	00:21:52
00:39:50	 53.52%	00:21:04
00:40:00	 53.52%	00:20:30
00:40:10	 53.52%	00:20:27
00:40:20	 53.32%	00:20:27
00:40:30	 53.32%	00:20:49
00:40:40	 53.32%	00:20:59
00:40:50	 53.14%	00:20:27
00:41:00	 53.14%	00:20:06
00:41:10	 53.14%	00:20:08
00:41:20	 52.95%	00:19:42
00:41:30	 52.95%	00:20:03
00:41:40	 52.95%	00:19:31
00:41:50	 52.75%	00:19:41
00:42:00	 52.75%	00:20:05
00:42:10	 52.75%	00:20:53
00:42:20	 52.57%	00:21:13
00:42:30	 52.57%	00:21:50
00:42:40	 52.57%	00:22:02
00:42:50	 52.38%	00:19:45
00:43:00	 52.38%	00:19:36
00:43:10	 52.18%	00:19:21
00:43:20	 52.18%	00:18:54
00:43:30	 52.18%	00:19:17
00:43:40	 52.00%	00:19:26
00:43:50	 52.00%	00:20:12
00:44:00	 52.00%	00:19:15
00:44:10	 51.81%	00:19:15
00:44:20	 51.81%	00:19:28
00:44:30	 51.81%	00:19:33
00:44:40	 51.61%	00:19:30
00:44:50	 51.61%	00:19:28
00:45:00	 51.61%	00:19:19
00:45:10	 51.42%	00:19:17
00:45:20	 51.42%	00:20:13
00:45:30	 51.42%	00:20:22
00:45:40	 51.24%	00:21:05
00:45:50	 51.24%	00:21:32
00:46:00	 51.24%	00:21:05
00:46:10	 51.40%	00:20:14
00:46:20	 51.40%	00:19:41
00:46:30	 51.40%	00:19:23
00:46:40	 50.85%	00:19:21
00:46:50	 50.85%	00:19:21
00:47:00	 50.85%	00:19:40
00:47:10	 50.67%	00:19:07
00:47:20	 50.67%	00:19:06
00:47:30	 50.67%	00:19:04
00:47:40	 50.47%	00:18:38
00:47:50	 50.47%	00:18:53
00:48:00	 50.47%	00:18:48
00:48:10	 50.28%	00:19:01
00:48:20	 50.28%	00:19:00
00:48:30	 50.28%	00:19:42
00:48:40	 50.10%	00:19:50
00:48:50	 50.10%	00:20:41
00:49:00	 50.10%	00:20:54
00:49:10	 49.89%	00:20:51
00:49:20	 49.89%	00:20:02
00:49:30	 49.89%	00:19:14
00:49:40	 49.71%	00:18:40
00:49:50	 49.71%	00:18:33
00:50:00	 49.71%	00:18:36
00:50:10	 49.52%	00:18:47
00:50:20	 49.52%	00:18:31
00:50:30	 49.52%	00:18:17
00:50:40	 49.32%	00:18:24
00:50:50	 49.32%	00:18:22
00:51:00	 49.14%	00:18:28
00:51:10	 49.14%	00:18:26
00:51:20	 49.14%	00:18:37
00:51:30	 48.95%	00:18:29
00:51:40	 48.95%	00:19:17
00:51:50	 48.95%	00:19:35
00:52:00	 48.75%	00:20:05
00:52:10	 48.75%	00:20:15
00:52:20	 48.75%	00:20:19
00:52:30	 48.75%	00:19:30
00:52:40	 48.57%	00:18:52
00:52:50	 48.57%	00:18:24
00:53:00	 48.38%	00:18:09
00:53:10	 48.38%	00:18:14
00:53:20	 48.38%	00:18:34
00:53:30	 48.18%	00:18:01
00:53:40	 48.18%	00:18:00
00:53:50	 48.18%	00:17:58
00:54:00	 48.00%	00:17:32
00:54:10	 48.00%	00:17:57
00:54:20	 48.00%	00:18:07
00:54:30	 47.81%	00:18:01
00:54:40	 47.81%	00:18:04
00:54:50	 47.81%	00:18:34
00:55:00	 47.61%	00:18:38
00:55:10	 47.61%	00:19:30
00:55:20	 47.61%	00:19:51
00:55:30	 47.42%	00:19:55
00:55:40	 47.42%	00:19:10
00:55:50	 47.42%	00:18:21
00:56:00	 47.24%	00:18:09
00:56:10	 47.24%	00:17:47
00:56:20	 47.24%	00:17:50
00:56:30	 47.40%	00:18:07
00:56:40	 47.40%	00:17:40
00:56:50	 47.40%	00:17:37
00:57:00	 46.85%	00:17:34
00:57:10	 46.85%	00:17:24
00:57:20	 46.85%	00:17:37
00:57:30	 46.67%	00:17:35
00:57:40	 46.67%	00:17:34
00:57:50	 46.67%	00:17:50
00:58:00	 46.47%	00:18:04
00:58:10	 46.47%	00:18:23
00:58:20	 46.47%	00:18:55
00:58:30	 46.28%	00:18:59
00:58:40	 46.28%	00:19:15
00:58:50	 46.28%	00:18:51
00:59:00	 46.10%	00:18:04
00:59:10	 46.10%	00:17:44
00:59:20	 46.10%	00:17:32
00:59:30	 45.89%	00:17:27
00:59:40	 45.89%	00:17:38
00:59:50	 45.89%	00:17:50
01:00:00	 45.71%	00:17:16
01:00:10	 45.71%	00:17:08
01:00:20	 45.52%	00:17:11
01:00:30	 45.52%	00:16:56
01:00:40	 45.52%	00:16:58
01:00:50	 45.32%	00:16:50
01:01:00	 45.32%	00:16:53
01:01:10	 45.32%	00:17:22
01:01:20	 45.14%	00:17:59
01:01:30	 45.14%	00:18:26
01:01:40	 45.14%	00:18:46
01:01:50	 45.14%	00:19:03
01:02:00	 44.95%	00:18:32
01:02:10	 44.95%	00:18:02
01:02:20	 44.75%	00:17:12
01:02:30	 44.75%	00:17:06
01:02:40	 44.75%	00:17:05
01:02:50	 44.57%	00:17:19
01:03:00	 44.57%	00:17:29
01:03:10	 44.57%	00:16:59
01:03:20	 44.38%	00:16:33
01:03:30	 44.38%	00:16:33
01:03:40	 44.38%	00:16:12
01:03:50	 44.18%	00:16:22
01:04:00	 44.18%	00:16:09
01:04:10	 44.18%	00:16:21
01:04:20	 44.00%	00:16:26
01:04:30	 44.00%	00:17:07
01:04:40	 44.00%	00:17:21
01:04:50	 43.81%	00:18:01
01:05:00	 43.81%	00:18:06
01:05:10	 43.81%	00:17:51
01:05:20	 43.61%	00:17:11
01:05:30	 43.61%	00:16:42
01:05:40	 43.61%	00:16:37
01:05:50	 43.42%	00:16:35
01:06:00	 43.42%	00:16:43
01:06:10	 43.42%	00:16:54
01:06:20	 43.24%	00:16:35
01:06:30	 43.24%	00:16:33
01:06:40	 43.24%	00:16:09
01:06:50	 43.40%	00:15:44
01:07:00	 43.40%	00:15:51
01:07:10	 43.40%	00:15:56
01:07:20	 42.85%	00:15:54
01:07:30	 42.85%	00:16:02
01:07:40	 42.85%	00:16:43
01:07:50	 42.67%	00:16:44
01:08:00	 42.67%	00:17:26
01:08:10	 42.67%	00:17:42
01:08:20	 42.47%	00:17:29
01:08:30	 42.47%	00:16:49
01:08:40	 42.47%	00:16:20
01:08:50	 42.28%	00:15:57
01:09:00	 42.28%	00:16:06
01:09:10	 42.28%	00:16:23
01:09:20	 42.10%	00:16:30
01:09:30	 42.10%	00:16:06
01:09:40	 42.10%	00:15:52
01:09:50	 41.89%	00:15:46
01:10:00	 41.89%	00:15:21
01:10:10	 41.71%	00:15:28
01:10:20	 41.71%	00:15:22
01:10:30	 41.71%	00:15:36
01:10:40	 41.52%	00:15:26
01:10:50	 41.52%	00:16:01
01:11:00	 41.52%	00:16:25
01:11:10	 41.32%	00:17:10
01:11:20	 41.32%	00:17:07
01:11:30	 41.32%	00:17:20
01:11:40	 41.32%	00:16:28
01:11:50	 41.14%	00:16:02
01:12:00	 41.14%	00:15:41
01:12:10	 41.14%	00:15:38
01:12:20	 40.95%	00:15:38
01:12:30	 40.95%	00:15:34
01:12:40	 40.75%	00:15:23
01:12:50	 40.75%	00:15:18
01:13:00	 40.57%	00:15:10
01:13:10	 40.57%	00:14:52
01:13:20	 40.57%	00:14:52
01:13:30	 40.38%	00:14:41
01:13:40	 40.38%	00:14:50
01:13:50	 40.38%	00:14:55
01:14:00	 40.18%	00:15:32
01:14:10	 40.18%	00:15:52
01:14:20	 40.18%	00:16:38
01:14:30	 40.00%	00:16:43
01:14:40	 40.00%	00:16:41
01:14:50	 40.00%	00:16:12
01:15:00	 39.81%	00:15:32
01:15:10	 39.81%	00:15:29
01:15:20	 39.81%	00:15:14
01:15:30	 39.61%	00:15:04
01:15:40	 39.61%	00:15:16
01:15:50	 39.61%	00:15:02
01:16:00	 39.42%	00:14:51
01:16:10	 39.42%	00:14:46
01:16:20	 39.42%	00:14:29
01:16:30	 39.24%	00:14:43
01:16:40	 39.24%	00:14:37
01:16:50	 39.40%	00:14:29
01:17:00	 39.40%	00:14:35
01:17:10	 39.40%	00:15:09
01:17:20	 38.85%	00:15:21
01:17:30	 38.85%	00:15:53
01:17:40	 38.85%	00:16:12
01:17:50	 38.85%	00:16:13
01:18:00	 38.67%	00:15:43
01:18:10	 38.67%	00:14:59
01:18:20	 38.47%	00:14:41
01:18:30	 38.47%	00:14:39
01:18:40	 38.47%	00:14:22
01:18:50	 38.28%	00:14:31
01:19:00	 38.28%	00:14:38
01:19:10	 38.28%	00:14:33
01:19:20	 38.10%	00:14:06
01:19:30	 38.10%	00:14:20
01:19:40	 38.10%	00:14:15
01:19:50	 37.89%	00:14:06
01:20:00	 37.89%	00:14:12
01:20:10	 37.89%	00:14:02
01:20:20	 37.71%	00:14:18
01:20:30	 37.71%	00:14:57
01:20:40	 37.71%	00:15:20
01:20:50	 37.52%	00:15:36
01:21:00	 37.52%	00:15:50
01:21:10	 37.52%	00:15:21
01:21:20	 37.32%	00:14:48
01:21:30	 37.32%	00:14:20
01:21:40	 37.32%	00:14:17
01:21:50	 37.14%	00:14:09
01:22:00	 37.14%	00:14:13
01:22:10	 37.14%	00:14:18
01:22:20	 36.95%	00:13:58
01:22:30	 36.95%	00:13:43
01:22:40	 36.95%	00:13:51
01:22:50	 36.75%	00:13:44
01:23:00	 36.75%	00:13:52
01:23:10	 36.57%	00:13:29
01:23:20	 36.57%	00:13:39
01:23:30	 36.57%	00:13:34
01:23:40	 36.38%	00:14:07
01:23:50	 36.38%	00:14:29
01:24:00	 36.38%	00:14:58
01:24:10	 36.18%	00:14:49
01:24:20	 36.18%	00:14:36
01:24:30	 36.18%	00:14:12
01:24:40	 36.00%	00:13:44
01:24:50	 36.00%	00:13:39
01:25:00	 36.00%	00:13:50
01:25:10	 35.81%	00:13:48
01:25:20	 35.81%	00:13:54
01:25:30	 35.81%	00:13:30
01:25:40	 35.61%	00:13:12
01:25:50	 35.61%	00:13:19
01:26:00	 35.61%	00:13:13
01:26:10	 35.42%	00:13:11
01:26:20	 35.42%	00:13:09
01:26:30	 35.24%	00:13:17
01:26:40	 35.24%	00:13:11
01:26:50	 35.24%	00:13:49
01:27:00	 35.24%	00:14:07
01:27:10	 35.40%	00:14:31
01:27:20	 35.40%	00:14:44
01:27:30	 35.40%	00:14:35
01:27:40	 34.85%	00:13:54
01:27:50	 34.85%	00:13:14
01:28:00	 34.67%	00:13:00
01:28:10	 34.67%	00:13:09
01:28:20	 34.67%	00:12:56
01:28:30	 34.47%	00:12:50
01:28:40	 34.47%	00:12:39
01:28:50	 34.47%	00:12:37
01:29:00	 34.28%	00:12:48
01:29:10	 34.28%	00:12:33
01:29:20	 34.28%	00:12:41
01:29:30	 34.10%	00:12:32
01:29:40	 34.10%	00:12:49
01:29:50	 34.10%	00:12:42
01:30:00	 33.89%	00:13:14
01:30:10	 33.89%	00:13:25
01:30:20	 33.89%	00:13:58
01:30:30	 33.71%	00:14:14
01:30:40	 33.71%	00:14:04
01:30:50	 33.71%	00:13:27
01:31:00	 33.52%	00:12:58
01:31:10	 33.52%	00:12:44
01:31:20	 33.52%	00:12:50
01:31:30	 33.32%	00:12:53
01:31:40	 33.32%	00:12:53
01:31:50	 33.32%	00:12:42
01:32:00	 33.14%	00:12:26
01:32:10	 33.14%	00:12:31
01:32:20	 32.95%	00:12:08
01:32:30	 32.95%	00:12:11
01:32:40	 32.95%	00:12:00
01:32:50	 32.75%	00:12:08
01:33:00	 32.75%	00:11:57
01:33:10	 32.75%	00:12:25
01:33:20	 32.57%	00:12:33
01:33:30	 32.57%	00:13:14
01:33:40	 32.57%	00:13:24
01:33:50	 32.38%	00:13:32
01:34:00	 32.38%	00:13:17
01:34:10	 32.38%	00:12:27
01:34:20	 32.18%	00:12:19
01:34:30	 32.18%	00:12:17
01:34:40	 32.18%	00:12:22
01:34:50	 32.00%	00:12:30
01:35:00	 32.00%	00:12:21
01:35:10	 32.00%	00:12:06
01:35:20	 31.80%	00:11:50
01:35:30	 31.80%	00:11:37
01:35:40	 31.80%	00:11:45
01:35:50	 31.62%	00:11:44
01:36:00	 31.62%	00:11:48
01:36:10	 31.42%	00:11:35
01:36:20	 31.42%	00:12:01
01:36:30	 31.42%	00:12:20
01:36:40	 31.23%	00:12:42
01:36:50	 31.23%	00:13:01
01:37:00	 31.23%	00:13:11
01:37:10	 31.23%	00:12:42
01:37:20	 31.50%	00:12:07
01:37:30	 31.50%	00:12:02
01:37:40	 31.50%	00:11:56
01:37:50	 30.85%	00:11:48
01:38:00	 30.85%	00:12:00
01:38:10	 30.67%	00:11:52
01:38:20	 30.67%	00:11:39
01:38:30	 30.67%	00:11:30
01:38:40	 30.48%	00:11:09
01:38:50	 30.48%	00:11:19
01:39:00	 30.48%	00:11:16
01:39:10	 30.28%	00:11:12
01:39:20	 30.28%	00:11:14
01:39:30	 30.28%	00:11:31
01:39:40	 30.10%	00:11:47
01:39:50	 30.10%	00:12:10
01:40:00	 30.10%	00:12:19
01:40:10	 29.89%	00:12:24
01:40:20	 29.89%	00:12:15
01:40:30	 29.89%	00:11:42
01:40:40	 29.71%	00:11:22
01:40:50	 29.71%	00:11:21
