### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	videoNoSound-LOG-2.txt
# minimum_soc	:	15
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown /s /t 20
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
00:00:00	100.00%	1193046:28:15
00:00:10	100.00%	1193046:28:15
00:00:20	 99.00%	1193046:28:15
00:00:30	 98.00%	00:59:26
00:00:40	 98.00%	00:59:26
00:00:50	 97.00%	01:01:20
00:01:00	 97.00%	01:01:20
00:01:10	 97.00%	01:01:20
00:01:20	 97.00%	01:01:20
00:01:30	 96.00%	00:45:21
00:01:40	 96.00%	00:45:21
00:01:50	 96.00%	00:45:21
00:02:00	 95.00%	00:51:32
00:02:10	 95.00%	00:51:32
00:02:20	 94.00%	00:57:53
00:02:30	 94.00%	00:57:53
00:02:40	 94.00%	00:57:53
00:02:50	 94.00%	00:57:53
00:03:00	 93.00%	01:01:19
00:03:10	 91.00%	1193046:28:15
00:03:20	 91.00%	1193046:28:15
00:03:30	 90.00%	00:50:22
00:03:40	 90.00%	00:53:04
00:03:50	 90.00%	00:53:04
00:04:00	 89.00%	00:51:51
00:04:10	 89.00%	00:51:51
00:04:20	 89.00%	00:51:51
00:04:30	 89.00%	00:51:51
00:04:40	 88.00%	01:00:50
00:04:50	 88.00%	01:00:50
00:05:00	 88.00%	01:00:50
00:05:10	 88.00%	01:00:50
00:05:20	 87.00%	01:01:05
00:05:30	 87.00%	01:01:05
00:05:40	 87.00%	01:01:05
00:05:50	 87.00%	01:01:05
00:06:00	 86.00%	00:58:55
00:06:10	 86.00%	00:58:55
00:06:20	 86.00%	00:58:55
00:06:30	 86.00%	00:58:55
00:06:40	 85.00%	01:00:03
00:06:50	 85.00%	01:00:03
00:07:00	 85.00%	01:00:03
00:07:10	 85.00%	01:00:03
00:07:20	 84.00%	00:57:37
00:07:30	 84.00%	00:57:37
00:07:40	 83.00%	00:41:18
00:07:50	 83.00%	00:41:18
00:08:00	 82.00%	00:28:55
00:08:10	 82.00%	00:28:55
00:08:20	 81.00%	00:41:12
00:08:30	 81.00%	00:41:12
00:08:40	 79.00%	00:18:02
00:08:50	 79.00%	00:18:02
00:09:00	 78.00%	00:32:04
00:09:10	 78.00%	00:32:04
00:09:20	 78.00%	00:32:04
00:09:30	 78.00%	00:32:04
00:09:40	 77.00%	00:54:32
00:09:50	 77.00%	00:54:32
00:10:00	 77.00%	00:54:32
00:10:10	 77.00%	00:54:32
00:10:20	 76.00%	00:55:57
00:10:30	 76.00%	00:55:57
00:10:40	 76.00%	00:55:57
00:10:50	 76.00%	00:55:57
00:11:00	 75.00%	00:56:10
00:11:10	 75.00%	00:56:10
00:11:20	 75.00%	00:56:10
00:11:30	 75.00%	00:56:10
00:11:40	 74.00%	00:57:14
00:11:50	 74.00%	00:57:14
00:12:00	 74.00%	00:57:14
00:12:10	 74.00%	00:57:14
00:12:20	 73.00%	00:48:34
00:12:30	 73.00%	00:48:34
00:12:40	 73.00%	00:48:34
00:12:50	 72.00%	00:27:09
00:13:00	 71.00%	00:36:13
00:13:10	 71.00%	00:36:13
00:13:20	 71.00%	00:36:13
00:13:30	 71.00%	00:36:13
00:13:40	 70.00%	00:48:11
00:13:50	 70.00%	00:48:11
00:14:00	 70.00%	00:48:11
00:14:10	 70.00%	00:48:11
00:14:20	 69.00%	00:48:09
00:14:30	 69.00%	00:48:09
00:14:40	 69.00%	00:48:09
00:14:50	 69.00%	00:48:09
00:15:00	 68.00%	00:48:16
00:15:10	 68.00%	00:48:16
00:15:20	 67.00%	00:47:22
00:15:30	 67.00%	00:47:22
00:15:40	 67.00%	00:47:22
00:15:50	 67.00%	00:47:22
00:16:00	 66.00%	00:47:27
00:16:10	 66.00%	00:47:27
00:16:20	 66.00%	00:47:27
00:16:30	 66.00%	00:47:27
00:16:40	 65.00%	00:45:34
00:16:50	 65.00%	00:45:34
00:17:00	 65.00%	00:45:34
00:17:10	 65.00%	00:45:34
00:17:20	 64.00%	00:45:36
00:17:30	 64.00%	00:45:36
00:17:40	 64.00%	00:45:36
00:17:50	 64.00%	00:45:36
00:18:00	 63.00%	00:47:55
00:18:10	 63.00%	00:47:55
00:18:20	 63.00%	00:47:55
00:18:30	 63.00%	00:47:55
00:18:40	 62.00%	00:40:45
00:18:50	 62.00%	00:40:45
00:19:00	 62.00%	00:40:45
00:19:10	 62.00%	00:40:45
00:19:20	 61.00%	00:42:22
00:19:30	 61.00%	00:42:22
00:19:40	 60.00%	00:42:41
00:19:50	 60.00%	00:42:41
00:20:00	 60.00%	00:42:41
00:20:10	 60.00%	00:42:41
00:20:20	 59.00%	00:41:53
00:20:30	 59.00%	00:41:53
00:20:40	 59.00%	00:41:53
00:20:50	 59.00%	00:41:53
00:21:00	 58.00%	00:42:28
00:21:10	 58.00%	00:42:28
00:21:20	 58.00%	00:42:28
00:21:30	 58.00%	00:42:28
00:21:40	 57.00%	00:41:03
00:21:50	 57.00%	00:41:03
00:22:00	 57.00%	00:41:03
00:22:10	 57.00%	00:41:03
00:22:20	 56.00%	00:41:29
00:22:30	 56.00%	00:41:29
00:22:40	 56.00%	00:41:29
00:22:50	 56.00%	00:41:29
00:23:00	 55.00%	00:38:28
00:23:10	 55.00%	00:38:28
00:23:20	 55.00%	00:38:28
00:23:30	 55.00%	00:38:28
00:23:40	 54.00%	00:38:15
00:23:50	 54.00%	00:38:15
00:24:00	 54.00%	00:38:15
00:24:10	 54.00%	00:38:15
00:24:20	 53.00%	00:41:20
00:24:30	 53.00%	00:41:20
00:24:40	 53.00%	00:41:20
00:24:50	 53.00%	00:41:20
00:25:00	 52.00%	00:39:12
00:25:10	 52.00%	00:39:12
00:25:20	 52.00%	00:39:12
00:25:30	 52.00%	00:39:12
00:25:40	 51.00%	00:37:58
00:25:50	 51.00%	00:37:58
00:26:00	 51.00%	00:37:58
00:26:10	 51.00%	00:37:58
00:26:20	 50.00%	00:37:01
00:26:30	 50.00%	00:37:01
00:26:40	 50.00%	00:37:01
00:26:50	 50.00%	00:37:01
00:27:00	 49.00%	00:37:14
00:27:10	 49.00%	00:37:14
00:27:20	 49.00%	00:37:14
00:27:30	 49.00%	00:37:14
00:27:40	 48.00%	00:37:14
00:27:50	 48.00%	00:37:14
00:28:00	 48.00%	00:37:14
00:28:10	 48.00%	00:37:14
00:28:20	 47.00%	00:35:48
00:28:30	 47.00%	00:35:48
00:28:40	 47.00%	00:35:48
00:28:50	 47.00%	00:35:48
00:29:00	 46.00%	00:34:02
00:29:10	 46.00%	00:34:02
00:29:20	 45.00%	00:30:44
00:29:30	 45.00%	00:30:44
00:29:40	 45.00%	00:30:44
00:29:50	 45.00%	00:30:44
00:30:00	 44.00%	00:32:53
00:30:10	 44.00%	00:32:53
00:30:20	 44.00%	00:32:53
00:30:30	 44.00%	00:32:53
00:30:40	 43.00%	00:33:31
00:30:50	 43.00%	00:33:31
00:31:00	 43.00%	00:33:31
00:31:10	 43.00%	00:33:31
00:31:20	 42.00%	00:31:46
00:31:30	 42.00%	00:31:46
00:31:40	 42.00%	00:31:46
00:31:50	 42.00%	00:31:46
00:32:00	 41.00%	00:31:12
00:32:10	 41.00%	00:31:12
00:32:20	 41.00%	00:31:12
00:32:30	 41.00%	00:31:12
00:32:40	 40.00%	00:30:04
00:32:50	 40.00%	00:30:04
00:33:00	 40.00%	00:30:04
00:33:10	 40.00%	00:30:04
00:33:20	 39.00%	00:25:16
00:33:30	 39.00%	00:25:16
00:33:40	 39.00%	00:25:16
00:33:50	 39.00%	00:25:16
00:34:00	 38.00%	00:28:44
00:34:10	 38.00%	00:28:44
00:34:20	 38.00%	00:28:44
00:34:30	 38.00%	00:28:44
00:34:40	 37.00%	00:27:45
00:34:50	 37.00%	00:27:45
00:35:00	 37.00%	00:27:45
00:35:10	 37.00%	00:27:45
00:35:20	 36.00%	00:27:14
00:35:30	 36.00%	00:27:14
00:35:40	 36.00%	00:27:14
00:35:50	 36.00%	00:27:14
00:36:00	 35.00%	00:25:48
00:36:10	 35.00%	00:25:48
00:36:20	 35.00%	00:25:48
00:36:30	 35.00%	00:25:48
00:36:40	 34.00%	00:25:56
00:36:50	 34.00%	00:25:56
00:37:00	 34.00%	00:25:56
00:37:10	 34.00%	00:25:56
00:37:20	 33.00%	00:25:45
00:37:30	 33.00%	00:25:45
00:37:40	 33.00%	00:25:45
00:37:50	 33.00%	00:25:45
00:38:00	 32.00%	00:24:31
00:38:10	 32.00%	00:24:31
00:38:20	 32.00%	00:24:31
00:38:30	 32.00%	00:24:31
00:38:40	 31.00%	00:23:11
00:38:50	 31.00%	00:23:11
00:39:00	 31.00%	00:23:11
00:39:10	 31.00%	00:23:11
00:39:20	 30.00%	00:22:13
00:39:30	 30.00%	00:22:13
00:39:40	 30.00%	00:22:13
00:39:50	 30.00%	00:22:13
00:40:00	 29.00%	00:22:15
00:40:10	 29.00%	00:22:15
00:40:20	 29.00%	00:22:15
00:40:30	 29.00%	00:22:15
00:40:40	 28.00%	00:21:42
00:40:50	 28.00%	00:21:42
00:41:00	 28.00%	00:21:42
00:41:10	 28.00%	00:21:42
00:41:20	 27.00%	00:20:53
00:41:30	 27.00%	00:20:53
00:41:40	 27.00%	00:20:53
00:41:50	 27.00%	00:20:53
00:42:00	 26.00%	00:19:10
00:42:10	 26.00%	00:19:10
00:42:20	 26.00%	00:19:10
00:42:30	 26.00%	00:19:10
00:42:40	 25.00%	00:18:33
00:42:50	 25.00%	00:18:33
00:43:00	 25.00%	00:18:33
00:43:10	 25.00%	00:18:33
00:43:20	 24.00%	00:17:11
00:43:30	 24.00%	00:17:11
00:43:40	 24.00%	00:17:11
00:43:50	 24.00%	00:17:11
00:44:00	 23.00%	00:16:00
00:44:10	 23.00%	00:16:00
00:44:20	 23.00%	00:16:00
00:44:30	 23.00%	00:16:00
00:44:40	 22.00%	00:15:48
00:44:50	 22.00%	00:15:48
00:45:00	 21.00%	00:15:05
00:45:10	 21.00%	00:15:05
00:45:20	 21.00%	00:15:05
00:45:30	 21.00%	00:15:05
00:45:40	 20.00%	00:13:08
00:45:50	 20.00%	00:13:08
00:46:00	 19.00%	00:13:13
00:46:10	 19.00%	00:13:13
00:46:20	 19.00%	00:13:13
00:46:30	 19.00%	00:13:13
00:46:40	 19.00%	00:13:13
00:46:50	 19.00%	00:13:13
00:47:00	 18.00%	00:13:14
00:47:10	 18.00%	00:13:14
00:47:20	 17.00%	00:11:52
00:47:30	 17.00%	00:11:52
00:47:40	 17.00%	00:11:52
00:47:50	 17.00%	00:11:52
00:48:00	 16.00%	00:11:42
00:48:10	 16.00%	00:11:42
00:48:20	 16.00%	00:11:42
00:48:30	 16.00%	00:11:42
00:48:40	 15.00%	00:09:49
Batteries state of charge reached the minimum level. Terminating script.

# Script started at 16.12.2021 09:19:27 with 100% and expected runtime of 1193046:28:15.
# Script terminated at 16.12.2021 10:08:07 with 15% and expected runtime of 00:09:49.
Goodbye!
