### BatterySoCMonitor version 1.1.0
# delay		:	10
# verbose	:	True
# beautify	:	True
# log_file	:	Lenovo-Yoga-530-oldBatt-Win11-videoNoSound_-_2.txt
# minimum_soc	:	15
# maximum_soc	:	None
# cmd_start	:	None
# cmd_end	:	shutdown /s /t 20
# workers	:	None

timeExecuted	bat %	timeRemaining
hh:mm:ss		hh:mm:ss
---------	-------	---------
00:00:00	 99.00%	1193046:28:15
00:00:10	 99.00%	1193046:28:15
00:00:20	 98.00%	00:33:01
00:00:30	 98.00%	00:52:51
00:00:40	 98.00%	00:52:51
00:00:50	 97.00%	00:17:59
00:01:00	 97.00%	00:17:59
00:01:10	 96.00%	00:44:06
00:01:20	 96.00%	00:44:06
00:01:30	 95.00%	00:45:00
00:01:40	 95.00%	00:45:00
00:01:50	 94.00%	00:37:03
00:02:00	 94.00%	00:37:03
00:02:10	 93.00%	00:35:35
00:02:20	 93.00%	00:35:35
00:02:30	 92.00%	00:51:11
00:02:40	 92.00%	00:51:11
00:02:50	 92.00%	00:51:11
00:03:00	 92.00%	00:51:11
00:03:10	 92.00%	00:51:11
00:03:20	 91.00%	01:02:40
00:03:30	 91.00%	01:02:40
00:03:40	 91.00%	01:02:40
00:03:50	 90.00%	01:00:35
00:04:00	 90.00%	01:00:35
00:04:10	 90.00%	01:00:35
00:04:20	 90.00%	01:00:35
00:04:30	 89.00%	01:07:04
00:04:40	 89.00%	01:07:04
00:04:50	 89.00%	01:07:04
00:05:00	 88.00%	00:59:19
00:05:10	 88.00%	00:59:19
00:05:20	 88.00%	00:59:19
00:05:30	 88.00%	00:59:19
00:05:40	 87.00%	00:57:16
00:05:50	 87.00%	00:57:16
00:06:00	 87.00%	00:57:16
00:06:10	 86.00%	01:02:04
00:06:20	 86.00%	01:02:04
00:06:30	 86.00%	01:02:04
00:06:40	 86.00%	01:02:04
00:06:50	 86.00%	01:02:04
00:07:00	 85.00%	00:59:44
00:07:10	 85.00%	00:59:44
00:07:20	 85.00%	00:59:44
00:07:30	 85.00%	00:59:44
00:07:40	 83.00%	00:30:53
00:07:50	 83.00%	00:30:53
00:08:00	 83.00%	00:30:53
00:08:10	 81.00%	00:20:09
00:08:20	 81.00%	00:20:09
00:08:30	 80.00%	00:32:13
00:08:40	 80.00%	00:32:13
00:08:50	 80.00%	00:32:13
00:09:00	 80.00%	00:32:13
00:09:10	 80.00%	00:32:13
00:09:20	 79.00%	00:56:18
00:09:30	 79.00%	00:56:18
00:09:40	 79.00%	00:56:18
00:09:50	 78.00%	00:57:18
00:10:00	 78.00%	00:57:18
00:10:10	 78.00%	00:57:18
00:10:20	 78.00%	00:57:18
00:10:30	 77.00%	00:56:22
00:10:40	 77.00%	00:56:22
00:10:50	 77.00%	00:56:22
00:11:00	 77.00%	00:56:22
00:11:10	 77.00%	00:56:22
00:11:20	 76.00%	00:58:37
00:11:30	 76.00%	00:58:37
00:11:40	 76.00%	00:58:37
00:11:50	 75.00%	00:54:13
00:12:00	 75.00%	00:54:13
00:12:10	 75.00%	00:54:13
00:12:20	 75.00%	00:54:13
00:12:30	 74.00%	00:54:54
00:12:40	 74.00%	00:54:54
00:12:50	 74.00%	00:54:54
00:13:00	 74.00%	00:54:54
00:13:10	 74.00%	00:54:54
00:13:20	 73.00%	00:55:14
00:13:30	 73.00%	00:55:14
00:13:40	 73.00%	00:55:14
00:13:50	 73.00%	00:55:14
00:14:00	 73.00%	00:55:14
00:14:10	 72.00%	00:56:21
00:14:20	 72.00%	00:56:21
00:14:30	 72.00%	00:56:21
00:14:40	 72.00%	00:56:21
00:14:50	 72.00%	00:56:21
00:15:00	 71.00%	00:54:03
00:15:10	 71.00%	00:54:03
00:15:20	 70.00%	00:54:33
00:15:30	 70.00%	00:54:33
00:15:40	 70.00%	00:54:33
00:15:50	 70.00%	00:54:33
00:16:00	 70.00%	00:54:33
00:16:10	 69.00%	00:53:47
00:16:20	 69.00%	00:53:47
00:16:30	 69.00%	00:53:47
00:16:40	 69.00%	00:53:47
00:16:50	 69.00%	00:53:47
00:17:00	 68.00%	00:52:55
00:17:10	 68.00%	00:52:55
00:17:20	 68.00%	00:52:55
00:17:30	 68.00%	00:52:55
00:17:40	 67.00%	00:50:45
00:17:50	 67.00%	00:50:45
00:18:00	 67.00%	00:50:45
00:18:10	 66.00%	00:50:39
00:18:20	 66.00%	00:50:39
00:18:30	 66.00%	00:50:39
00:18:40	 66.00%	00:50:39
00:18:50	 66.00%	00:50:39
00:19:00	 65.00%	00:50:51
00:19:10	 65.00%	00:50:51
00:19:20	 65.00%	00:50:51
00:19:30	 65.00%	00:50:51
00:19:40	 64.00%	00:49:30
00:19:50	 64.00%	00:49:30
00:20:00	 64.00%	00:49:30
00:20:10	 63.00%	00:48:30
00:20:20	 63.00%	00:48:30
00:20:30	 63.00%	00:48:30
00:20:40	 63.00%	00:48:30
00:20:50	 63.00%	00:48:30
00:21:00	 63.00%	00:48:30
00:21:10	 63.00%	00:48:30
00:21:20	 62.00%	00:48:19
00:21:30	 62.00%	00:48:19
00:21:40	 62.00%	00:48:19
00:21:50	 61.00%	00:47:21
00:22:00	 61.00%	00:47:21
00:22:10	 61.00%	00:47:21
00:22:20	 61.00%	00:47:21
00:22:30	 60.00%	00:46:30
00:22:40	 60.00%	00:46:30
00:22:50	 60.00%	00:46:30
00:23:00	 60.00%	00:46:30
00:23:10	 60.00%	00:46:30
00:23:20	 59.00%	00:45:52
00:23:30	 59.00%	00:45:52
00:23:40	 59.00%	00:45:52
00:23:50	 58.00%	00:46:12
00:24:00	 58.00%	00:46:12
00:24:10	 58.00%	00:46:12
00:24:20	 58.00%	00:46:12
00:24:30	 57.00%	00:44:18
00:24:40	 57.00%	00:44:18
00:24:50	 57.00%	00:44:18
00:25:00	 57.00%	00:44:18
00:25:10	 57.00%	00:44:18
00:25:20	 56.00%	00:44:01
00:25:30	 56.00%	00:44:01
00:25:40	 56.00%	00:44:01
00:25:50	 56.00%	00:44:01
00:26:00	 56.00%	00:44:01
00:26:10	 55.00%	00:42:23
00:26:20	 55.00%	00:42:23
00:26:30	 55.00%	00:42:23
00:26:40	 55.00%	00:42:23
00:26:50	 55.00%	00:42:23
00:27:00	 54.00%	00:42:12
00:27:10	 54.00%	00:42:12
00:27:20	 54.00%	00:42:12
00:27:30	 54.00%	00:42:12
00:27:40	 53.00%	00:42:05
00:27:50	 53.00%	00:42:05
00:28:00	 53.00%	00:42:05
00:28:10	 52.00%	00:38:57
00:28:20	 52.00%	00:38:57
00:28:30	 52.00%	00:38:57
00:28:40	 52.00%	00:38:57
00:28:50	 52.00%	00:38:57
00:29:00	 51.00%	00:39:11
00:29:10	 51.00%	00:39:11
00:29:20	 51.00%	00:39:11
00:29:30	 51.00%	00:39:11
00:29:40	 50.00%	00:38:45
00:29:50	 50.00%	00:38:45
00:30:00	 50.00%	00:37:22
00:30:10	 50.00%	00:37:22
00:30:20	 49.00%	00:38:13
00:30:30	 49.00%	00:38:13
00:30:40	 49.00%	00:38:13
00:30:50	 49.00%	00:38:13
00:31:00	 49.00%	00:38:13
00:31:10	 48.00%	00:36:45
00:31:20	 48.00%	00:36:45
00:31:30	 48.00%	00:36:45
00:31:40	 48.00%	00:36:45
00:31:50	 47.00%	00:36:28
00:32:00	 47.00%	00:36:28
00:32:10	 46.00%	00:31:40
00:32:20	 46.00%	00:31:40
00:32:30	 46.00%	00:31:40
00:32:40	 46.00%	00:31:40
00:32:50	 46.00%	00:31:40
00:33:00	 45.00%	00:34:43
00:33:10	 45.00%	00:34:43
00:33:20	 45.00%	00:34:43
00:33:30	 45.00%	00:34:43
00:33:40	 45.00%	00:34:43
00:33:50	 44.00%	00:35:11
00:34:00	 44.00%	00:35:11
00:34:10	 44.00%	00:35:11
00:34:20	 44.00%	00:35:11
00:34:30	 43.00%	00:33:34
00:34:40	 43.00%	00:33:34
00:34:50	 43.00%	00:33:34
00:35:00	 43.00%	00:33:34
00:35:10	 43.00%	00:33:34
00:35:20	 42.00%	00:32:56
00:35:30	 42.00%	00:32:56
00:35:40	 42.00%	00:32:56
00:35:50	 41.00%	00:30:56
00:36:00	 41.00%	00:30:56
00:36:10	 41.00%	00:30:56
00:36:20	 41.00%	00:30:56
00:36:30	 40.00%	00:32:23
00:36:40	 40.00%	00:32:23
00:36:50	 40.00%	00:32:23
00:37:00	 40.00%	00:32:23
00:37:10	 40.00%	00:32:23
00:37:20	 39.00%	00:30:09
00:37:30	 39.00%	00:30:09
00:37:40	 39.00%	00:30:09
00:37:50	 38.00%	00:30:03
00:38:00	 38.00%	00:30:03
00:38:10	 38.00%	00:30:03
00:38:20	 38.00%	00:30:03
00:38:30	 38.00%	00:30:03
00:38:40	 37.00%	00:28:59
00:38:50	 37.00%	00:28:59
00:39:00	 37.00%	00:28:59
00:39:10	 37.00%	00:28:59
00:39:20	 36.00%	00:28:11
00:39:30	 36.00%	00:28:11
00:39:40	 36.00%	00:28:11
00:39:50	 36.00%	00:28:11
00:40:00	 36.00%	00:28:11
00:40:10	 35.00%	00:28:13
00:40:20	 35.00%	00:28:13
00:40:30	 35.00%	00:28:13
00:40:40	 35.00%	00:28:13
00:40:50	 35.00%	00:28:13
00:41:00	 34.00%	00:26:50
00:41:10	 34.00%	00:26:50
00:41:20	 34.00%	00:26:50
00:41:30	 34.00%	00:26:50
00:41:40	 33.00%	00:25:54
00:41:50	 32.00%	00:11:35
00:42:00	 32.00%	00:11:35
00:42:10	 30.00%	00:07:02
00:42:20	 30.00%	00:07:02
00:42:30	 30.00%	00:07:02
00:42:40	 29.00%	00:06:56
00:42:50	 29.00%	00:06:56
00:43:00	 28.00%	00:13:56
00:43:10	 28.00%	00:13:56
00:43:20	 28.00%	00:13:56
00:43:30	 28.00%	00:13:56
00:43:40	 27.00%	00:19:15
00:43:50	 27.00%	00:19:15
00:44:00	 27.00%	00:19:15
00:44:10	 27.00%	00:19:15
00:44:20	 27.00%	00:19:15
00:44:30	 27.00%	00:19:15
00:44:40	 26.00%	00:19:48
00:44:50	 26.00%	00:19:48
00:45:00	 25.00%	00:19:33
00:45:10	 25.00%	00:19:33
00:45:20	 25.00%	00:19:33
00:45:30	 25.00%	00:19:33
00:45:40	 25.00%	00:19:33
00:45:50	 24.00%	00:18:56
00:46:00	 24.00%	00:18:56
00:46:10	 24.00%	00:18:56
00:46:20	 24.00%	00:18:56
00:46:30	 24.00%	00:18:56
00:46:40	 23.00%	00:18:15
00:46:50	 23.00%	00:18:15
00:47:00	 23.00%	00:18:15
00:47:10	 23.00%	00:18:15
00:47:20	 22.00%	00:15:07
00:47:30	 22.00%	00:15:07
00:47:40	 22.00%	00:15:07
00:47:50	 21.00%	00:15:57
00:48:00	 21.00%	00:15:57
00:48:10	 21.00%	00:15:57
00:48:20	 21.00%	00:15:57
00:48:30	 20.00%	00:15:05
00:48:40	 20.00%	00:15:05
00:48:50	 20.00%	00:15:05
00:49:00	 20.00%	00:15:05
00:49:10	 20.00%	00:15:05
00:49:20	 19.00%	00:15:42
00:49:30	 19.00%	00:15:42
00:49:40	 19.00%	00:15:42
00:49:50	 18.00%	00:14:24
00:50:00	 18.00%	00:14:24
00:50:10	 18.00%	00:14:24
00:50:20	 18.00%	00:14:24
00:50:30	 18.00%	00:14:24
00:50:40	 17.00%	00:13:43
00:50:50	 17.00%	00:13:43
00:51:00	 17.00%	00:13:43
00:51:10	 17.00%	00:13:43
00:51:20	 16.00%	00:12:57
00:51:30	 16.00%	00:12:57
00:51:40	 16.00%	00:12:57
00:51:50	 16.00%	00:12:57
00:52:00	 16.00%	00:12:57
00:52:10	 15.00%	00:12:01
Batteries state of charge reached the minimum level. Terminating script.

# Script started at 16.12.2021 21:02:48 with 99% and expected runtime of 1193046:28:15.
# Script terminated at 16.12.2021 21:54:58 with 15% and expected runtime of 00:12:01.
Goodbye!
